APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
8962105,m,b,"9323560,9565173,9319794,9144844,8997390","312500.0,312500.0,312500.0,327500.0,332500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"8732790,9123843,8732625,8721480,8793915","675000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8152547,8153835,8876689,8335413,8689016","1120000.0,1120000.0,1064000.0,1096000.0,1064000.0","RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002"
9421907,f,w,"10202909,10380875,10208164,10207946,10207226","348000.0,321000.0,348000.0,348000.0,348000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"8436004,8436052,8686992,10264076,10153972","6850000.000000001,6850000.000000001,6750000.0,116000.0,123000.0","RFA-DK-11-019,RFA-DK-11-019,RFA-DK-11-019,RFA-DK-19-026,RFA-DK-19-026"
9682510,f,w,"9924653,9686783,9321301,9321305,9321304","307500.0,307500.0,312500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"8264290,7638021,7940064,7637904,8128463","146000.0,146000.0,146000.0,1095000.0,1400000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-07-008,RFA-CA-08-021"
8810682,m,w,"8955131,9135265,9554769,9771364,9769626","4655000.0,4585000.0,4375000.0,4305000.0,4305000.0","RFA-HS-14-011,RFA-HS-14-011,RFA-HS-14-011,RFA-HS-14-011,RFA-HS-14-011"
10686340,m,w,"9325602,9338321,9114659,9133114,9114138","1562500.0,1562500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"10588560,8145360,8321258,7929526,7682323","257500.0,1008000.0,980000.0,1022000.0,1022000.0","RFA-ES-22-001,RFA-ES-05-006,RFA-ES-05-006,RFA-ES-05-006,RFA-ES-05-006"
