APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_p_w,APPVAL_RECS_bert-x_p_w,FOA_RECS_bert-x_p_w
8962105,m,b,"8120246,7755519,7900940,7900938,7903201","1960000.0,2044000.0,2016000.0,2016000.0,2016000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8247968,8732790,9123843,8890180,8925858","700000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8513990,8331617,8335413,8876689,8153835","1080000.0,1096000.0,1096000.0,1064000.0,1120000.0","RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002"
9421907,f,w,"9928385,9421907,9565384,9695908,10665678","430500.0,437500.0,437500.0,430500.0,257500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-044"
10017961,m,w,"8248477,8334552,8703096,8889316,8336912","700000.0,685000.0,665000.0,665000.0,685000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"9101967,8912367,8754186,9293252,9519544","458500.0,465500.0,465500.0,437500.0,437500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"10360627,10130852,10130746,10322155,10130683","533930.0,578840.0,578840.0,533930.0,578840.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"10241239,9965878,9411341,9743795,9544151","429200.0,455100.0,462500.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"7883329,7879409,7663167,7673974,7840696","288000.0,288000.0,292000.0,292000.0,292000.0","RFA-DE-08-005,RFA-DE-08-005,RFA-DE-08-005,RFA-DE-08-005,RFA-DE-08-005"
7551990,f,h,"7741691,7551990,7558266,7551996,7547058","79200.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"10003929,9205081,9548544,9562025,9782700","4305000.0,4585000.0,4375000.0,4375000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"10114279,9857598,9741953,8320216,8141235","406000.0,430500.0,430500.0,685000.0,700000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-09-004,RFA-DK-09-004"
9896674,f,a,"9115018,9114846,8948053,8500523,8498793","294750.0,294750.0,332500.0,337500.0,337500.0","RFA-MD-15-008,RFA-MD-15-008,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
10424380,m,a,"9262115,9679452,9698238,9698237,9698231","2250000.0,2214000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"9524992,10197344,9658441,9526088,10897683","312500.0,307500.0,307500.0,312500.0,257500.0","RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-19-013"
7637363,m,w,"9452092,9251863,9077988,9070948,9078754","250000.0,250000.0,262000.0,262000.0,262000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"10294338,10480924,10297562,10297205,10297060","638000.0,588500.0,638000.0,638000.0,638000.0","RFA-HG-20-047,RFA-HG-20-047,RFA-HG-20-047,RFA-HG-20-047,RFA-HG-20-047"
9960850,m,w,"9695908,9928385,9565384,9421907,10264818","430500.0,430500.0,437500.0,437500.0,928000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-020"
