APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_p_wi,APPVAL_RECS_bert-x_p_wi,FOA_RECS_bert-x_p_wi
8962105,m,b,"8997390,9319794,9565173,9323560,9145766","332500.0,312500.0,312500.0,312500.0,327500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"8247968,8336923,8793915,8732625,9123843","700000.0,685000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7908145,7880349,7665031,7662466,7668684","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"9928385,9421907,9695908,9565384,10432084","430500.0,437500.0,430500.0,437500.0,267500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-044"
10017961,m,w,"9989832,9774044,10457348,10159887,9979867","615000.0,615000.0,535000.0,535000.0,615000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10784019,10784407,10783393,9828246,10132315","256470.0,256470.0,256470.0,246000.0,232000.0","RFA-NS-22-025,RFA-NS-22-022,RFA-NS-22-022,RFA-NS-18-042,RFA-NS-18-042"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","2397500.0,2362500.0,2555000.0,2555000.0,2450000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9544151,9743795,9411341,10241239,9965878","462500.0,455100.0,462500.0,429200.0,455100.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"9543923,9938659,9929448,9929449,9929450","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017"
7551990,f,h,"10379210,10377742,10378934,10379613,10190949","274540.60000000003,274540.60000000003,274540.60000000003,274540.60000000003,1160000.0","RFA-ES-21-003,RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-002,RFA-ES-18-003"
9781466,m,w,"9548545,9205191,9562023,9548539,9548544","4375000.0,4375000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,9741953,10114279,7798339,7798326","430500.0,430500.0,406000.0,4171428.78,4171428.78","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-006,RFA-DK-08-006"
9896674,f,a,"8852011,8449601,8734507,8734505,8281153","332500.0,337500.0,337500.0,337500.0,342500.0","RFA-MD-12-001,RFA-MD-12-001,RFA-MD-12-001,RFA-MD-12-001,RFA-MD-12-001"
10424380,m,a,"10425231,10609544,10646281,10646276,10646271","1230500.0,1184500.0,1184500.0,1184500.0,1184500.0","RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001"
10676778,m,w,"9658441,9526088,9524992,10197344,10897683","307500.0,312500.0,312500.0,307500.0,257500.0","RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-19-013"
7637363,m,w,"9077034,9234572,9076666,9078827,9077988","262000.0,250000.0,262000.0,262000.0,262000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"8110379,7762619,7921800,7689895,7689901","1080000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012"
9960850,m,w,"10641819,10650877,10430544,10430514,9204120","309000.0,309000.0,321000.0,321000.0,229250.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-16-020"
8119772,m,w,"9696863,9276457,9275763,9276887,9276178","922500.0,937500.0,937500.0,937500.0,937500.0","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
9998967,m,w,"7899875,8266853,8115053,8144872,7910454","720000.0,700000.0,720000.0,720000.0,720000.0","RFA-NS-08-003,RFA-NS-08-003,RFA-NS-08-003,RFA-NS-08-003,RFA-NS-08-003"
9935976,f,w,"8644947,8456143,8330544,8644944,8486383","299250.0,303750.0,308250.0,665000.0,675000.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-060,RFA-MH-12-060"
9539516,m,w,"8927819,9056630,8927904,9513717,9545258","498750.0,491250.0,498750.0,468750.0,468750.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10518914,m,w,"10251990,10485311,10021639,10693843,10693844","696000.0,696000.0,738000.0,618000.0,618000.0","RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005"
