APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_r_w,APPVAL_RECS_bert-x_r_w,FOA_RECS_bert-x_r_w
8962105,m,b,"8997390,9319794,9323560,9145766,9144844","332500.0,312500.0,312500.0,327500.0,327500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"8890180,9338933,8925858,8536036,8536037","665000.0,655000.0,665000.0,685000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7677989,7677986,7677984,7668684,7662466","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"9695908,9565384,9928385,9421907,9264681","430500.0,437500.0,430500.0,437500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
10017961,m,w,"8866869,8698744,8897362,9109755,8893072","665000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"10537743,10536567,10760002,10759735,10759550","1070000.0,1070000.0,284038.98,284038.98,284038.98","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006"
8932663,m,w,"10130852,10441141,10570305,10130683,10130746","578840.0,533930.0,513970.0,578840.0,578840.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9935976,9623982,9747383,8657324,8657325","276750.0,281250.0,276750.0,266000.0,266000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-14-140,RFA-MH-14-140"
10686340,m,w,"9194247,9358335,7673974,7879409,7883557","262000.0,250000.0,292000.0,288000.0,288000.0","RFA-HD-16-004,RFA-HD-16-004,RFA-DE-08-005,RFA-DE-08-005,RFA-DE-08-005"
7551990,f,h,"10355531,10355532,10210397,10171852,10171851","802500.0,802500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
9781466,m,w,"9065464,8605381,9291406,8847623,9205078","65500.0,66500.0,62500.0,66500.0,4585000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-16-014"
8060626,m,w,"10114279,9857598,9741953,7797933,7798326","406000.0,430500.0,430500.0,4171428.78,4171428.78","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-006,RFA-DK-08-006"
9896674,f,a,"8278852,8334501,8335426,8334494,8335396","1050000.0,1027500.0,1027500.0,1027500.0,1027500.0","RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005"
