APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_r_wi,APPVAL_RECS_bert-x_r_wi,FOA_RECS_bert-x_r_wi
8962105,m,b,"7756325,7900897,8316179,8322625,8322627","2044000.0,2016000.0,1918000.0,1918000.0,1918000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8536037,8793915,8732790,8336923,9338933","685000.0,665000.0,675000.0,685000.0,655000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8391430,8311964,8413786,8312849,8311950","245000.0,245000.0,245000.0,245000.0,245000.0","RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-007,RFA-MD-11-007"
9421907,f,w,"9565384,9695908,9421907,9928385,10087404","437500.0,430500.0,437500.0,430500.0,307500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-044"
10017961,m,w,"8530640,8535244,8698855,8693334,8535269","685000.0,675000.0,675000.0,675000.0,675000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"10537743,10536567,10784019,10759550,10759735","1070000.0,1070000.0,256470.0,284038.98,284038.98","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-22-025,RFA-NS-23-006,RFA-NS-23-006"
8932663,m,w,"10526305,10708072,10517810,10526304,10517809","1070000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"9935976,9747383,9623982,8604913,8733202","276750.0,276750.0,281250.0,270000.0,266000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-13-091,RFA-MH-13-091"
10686340,m,w,"8930195,9145794,9114674,9115048,9114136","1662500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"10392366,10617821,10617824,10617828,10617829","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003"
9781466,m,w,"10402548,10250341,9390020,9205191,9390021","4060000.0,4060000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9741953,10114279,9857598,8436052,8686992","430500.0,406000.0,430500.0,6850000.000000001,6750000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-11-019,RFA-DK-11-019"
9896674,f,a,"8693015,8500523,8498701,8500548,8500823","332500.0,337500.0,337500.0,337500.0,337500.0","RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
10424380,m,a,"7886893,7881459,7886890,7886888,7646419","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-AA-07-001,RFA-AA-07-001,RFA-AA-07-001,RFA-AA-07-001,RFA-AA-07-001"
10676778,m,w,"9720733,9959331,10124292,10124290,10642790","615000.0,615000.0,580000.0,580000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8448209,8081491,8081289,8081465,8081510","270000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"10578526,10710052,10578616,10578579,10578468","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041"
9960850,m,w,"9353347,9204120,9200118,9203505,9203373","218750.0,229250.0,229250.0,229250.0,229250.0","RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020"
