APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_o_wi,APPVAL_RECS_bert-xx_o_wi,FOA_RECS_bert-xx_o_wi
8962105,m,b,"9172674,9174325,9103741,9121688,8961416","98250.0,98250.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"9701260,10002332,9514218,9729825,9537659","615000.0,615000.0,625000.0,615000.0,625000.0","RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036"
8722014,f,w,"7741691,7547058,7847078,7551990,7551992","79200.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9421907,f,w,"9421907,9928385,9565384,9695908,8323234","437500.0,430500.0,437500.0,430500.0,68500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-11-007"
10017961,m,w,"10363505,10488757,10645854,10361741,9696976","64959.99999999999,59920.0,59920.0,64959.99999999999,625000.0","RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-17-025"
9682510,f,w,"9955328,9484766,9329496,9329494,9325588","430500.0,437500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"7782639,7936995,7784269,7785354,8137238","1460000.0,1440000.0,1460000.0,1460000.0,1400000.0","RFA-CA-08-021,RFA-CA-08-021,RFA-CA-08-021,RFA-CA-08-021,RFA-CA-08-021"
8810682,m,w,"8464492,8605174,8462844,8464978,8463759","405000.0,399000.0,405000.0,405000.0,405000.0","RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006"
10686340,m,w,"8144939,8150047,8144938,7616961,7943167","1750000.0,1800000.0,1800000.0,1825000.0,1825000.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"10004913,10136598,10401934,10474273,10004281","61500.0,57999.99999999999,53500.0,53500.0,61500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"9781466,9390014,10003929,10003930,10006150","4305000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"8447675,9221321,8900270,8775653,8917181","68500.0,62500.0,66500.0,66500.0,66500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"9570705,9697199,9693086,9693087,9693088","1187500.0,1168500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10174613,9882695,10613956,10613948,9882799","1334000.0,1414500.0,1184500.0,1184500.0,1414500.0","RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004"
10676778,m,w,"8479320,8880858,8532647,8532646,8915478","540000.0,532000.0,540000.0,540000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
