APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_p_w,APPVAL_RECS_bert-xx_p_w,FOA_RECS_bert-xx_p_w
8962105,m,b,"9768539,10435711,10208941,10178079,9962481","430500.0,406000.0,406000.0,406000.0,430500.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"9338933,8890180,8536036,8793915,8536037","655000.0,665000.0,685000.0,665000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10744468,10744469,10744467,10479044,10309098","14420000.0,14420000.0,14420000.0,214000.0,232000.0","RFA-OD-22-021,RFA-OD-22-021,RFA-OD-22-021,RFA-ES-20-015,RFA-ES-20-015"
9421907,f,w,"10430514,10430544,10641819,10650877,7881477","321000.0,321000.0,309000.0,309000.0,432000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-06-003"
10017961,m,w,"8892168,8331061,8530640,8893071,8897362","665000.0,700000.0,685000.0,665000.0,665000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"10709636,10592780,8912367,8754186,9101967","772500.0,802500.0,465500.0,465500.0,458500.0","RFA-TR-22-012,RFA-TR-22-012,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"10130852,10130746,10130683,10570305,10544320","578840.0,578840.0,578840.0,513970.0,513970.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9361623,9252101,9896766,9658414,9246424","625000.0,625000.0,615000.0,615000.0,625000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"10016836,9894579,10018872,10020429,10022152","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-OD-19-015,RFA-OD-19-015,RFA-OD-19-015,RFA-OD-19-015,RFA-OD-19-015"
7551990,f,h,"10382421,10617802,9728586,9724615,10194495","802500.0,772500.0,922500.0,922500.0,869999.9999999999","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
9781466,m,w,"8375359,7624820,7624804,7624803,7624801","1370000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001"
8060626,m,w,"9102064,9283513,9233082,9189723,9233081","65500.0,62500.0,62500.0,62500.0,62500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"8796867,8563971,8827190,8820809,8803665","498750.0,506250.00000000006,498750.0,498750.0,498750.0","RFA-MD-13-001,RFA-MD-13-001,RFA-MD-13-001,RFA-MD-13-001,RFA-MD-13-001"
10424380,m,a,"7900507,7681099,7677333,7666251,7939058","360000.0,365000.0,365000.0,365000.0,365000.0","RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004"
10676778,m,w,"8664917,8662788,8450929,8469083,8306428","332500.0,332500.0,337500.0,337500.0,342500.0","RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002"
7637363,m,w,"8004987,7613471,7612084,7622082,7637363","252000.0,262800.0,262800.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8064562,8509157,7691828,7692191,7691831","360000.0,342500.0,365000.0,365000.0,365000.0","RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040"
9960850,m,w,"9654409,9655073,9654886,9654838,9654536","3936000.0,3936000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7692305,7935567,7911680,7911689,7935572","511000.0,511000.0,360000.0,360000.0,365000.0","RFA-RM-07-016,RFA-RM-07-016,RFA-RM-07-015,RFA-RM-07-015,RFA-RM-07-015"
9998967,m,w,"7662432,7890391,8270225,8266799,7934451","730000.0,720000.0,700000.0,700000.0,720000.0","RFA-NS-06-004,RFA-NS-06-004,RFA-NS-06-004,RFA-NS-06-004,RFA-NS-06-004"
9935976,f,w,"9129908,9250815,9751349,9959983,9527799","262000.0,250000.0,307500.0,307500.0,312500.0","RFA-MH-16-205,RFA-MH-16-205,RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017"
9539516,m,w,"7934479,7780326,7624297,7677420,7629068","504000.0,504000.0,511000.0,511000.0,511000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"9482608,9482979,9483217,8685205,8842603","406250.0,406250.0,406250.0,997500.0,997500.0","RFA-CA-17-023,RFA-CA-17-023,RFA-CA-17-023,RFA-CA-12-006,RFA-CA-12-006"
10770832,f,w,"8722121,8876643,10129922,9886701,10213480","266000.0,266000.0,232000.0,246000.0,290000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-19-021,RFA-CA-19-021,RFA-CA-19-049"
8380026,m,w,"10604394,10436133,10666477,10626064,10622624","231750.0,240750.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-032,RFA-DK-20-032,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
10592409,f,w,"7864164,7898591,7906756,7929519,7904998","288000.0,288000.0,288000.0,288000.0,288000.0","RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020"
8339880,m,w,"9706654,9319816,9177874,9812311,9494700","2952000.0,3000000.0,3144000.0,3000000.0,3000000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
9592088,m,a,"10451808,10670199,10296363,9590381,9590189","535000.0,515000.0,580000.0,406250.0,406250.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-17-008,RFA-DK-17-008"
10008967,m,w,"10704095,10684380,10011969,10010238,10008920","721000.0,749000.0,861000.0,861000.0,861000.0","RFA-RM-19-005,RFA-RM-19-005,RFA-RM-19-005,RFA-RM-19-005,RFA-RM-19-005"
10134972,f,w,"9137657,9056289,9056190,9056050,9055423","262000.0,266000.0,266000.0,266000.0,266000.0","RFA-EY-15-001,RFA-EY-15-001,RFA-EY-15-001,RFA-EY-15-001,RFA-EY-15-001"
8988958,f,b,"8118295,8462329,7878823,7878851,7878842","1440000.0,1370000.0,1440000.0,1440000.0,1440000.0","RFA-ES-05-004,RFA-ES-05-004,RFA-ES-05-004,RFA-ES-05-004,RFA-ES-05-004"
8535751,m,w,"9562053,9769005,9768431,9535290,9987622","62500.0,61500.0,61500.0,62500.0,61500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"7798339,7798326,7797933,8636435,8902117","4171428.78,4171428.78,4171428.78,1662500.0,1662500.0","RFA-DK-08-006,RFA-DK-08-006,RFA-DK-08-006,RFA-DK-11-002,RFA-DK-11-002"
8769602,m,a,"8518215,8370150,8368840,8367812,8370230","67500.0,68500.0,68500.0,68500.0,68500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
10406304,f,w,"8967330,9180574,9180184,9179853,10765890","393000.0,393000.0,393000.0,393000.0,309000.0","RFA-DA-15-007,RFA-DA-15-007,RFA-DA-15-007,RFA-DA-15-007,RFA-DA-15-007"
9987453,f,w,"7816331,7884302,7879920,7881422,7658862","985500.0,972000.0,972000.0,972000.0,985500.0","RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007"
9525273,m,w,"9437665,9020204,9011505,9214310,9222699","187500.0,196500.0,196500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
10541697,m,h,"8827925,8826908,8828404,9107924,9093837","399000.0,399000.0,399000.0,393000.0,393000.0","RFA-MH-14-217,RFA-MH-14-217,RFA-MH-14-217,RFA-MH-14-217,RFA-MH-14-217"
8856535,m,w,"8895833,8705776,8819101,8820238,9433510","665000.0,665000.0,665000.0,665000.0,625000.0","RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042"
7886873,m,w,"8286387,8055035,8053904,7903621,7902956","602800.0,616000.0,616000.0,633600.0,633600.0","RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026"
10488630,f,a,"9914194,9897520,9902304,9902305,9903186","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002"
9137625,f,w,"8461738,8914423,9129625,9129526,9129624","205500.00000000003,199500.0,196500.0,196500.0,196500.0","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"8214062,8214456,8213827,8213978,8214049","28000.0,28000.0,28000.0,28000.0,28000.0","RFA-DE-11-003,RFA-DE-11-003,RFA-DE-11-003,RFA-DE-11-003,RFA-DE-11-003"
9485284,m,w,"8310258,8020799,8020664,8150462,8150476","479500.00000000006,504000.0,504000.0,490000.0,490000.0","RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020"
8070326,m,w,"8495266,8390073,8900162,8890100,8391374","405000.0,411000.00000000006,399000.0,399000.0,411000.00000000006","RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032"
8068031,f,w,"9693078,9484830,9693081,9693080,9693079","1168500.0,1187500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"9113735,8528510,8528512,8528515,8525115","399000.0,405000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"9630121,9627007,9787405,9787406,9787407","1000000.0,1000000.0,984000.0,984000.0,984000.0","RFA-CA-17-033,RFA-CA-17-033,RFA-CA-17-033,RFA-CA-17-033,RFA-CA-17-033"
9150566,m,w,"10669861,10408032,10623257,10621257,10004044","802500.0,802500.0,772500.0,772500.0,922500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
10478136,m,w,"9146688,9545522,9324749,9321934,9342650","1637500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
