APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxx_p_w,APPVAL_RECS_bert-xxx_p_w,FOA_RECS_bert-xxx_p_w
8962105,m,b,"9843530,10083763,9657194,10335171,10216322","492000.0,464000.0,492000.0,428000.0,290000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-17-009"
7885660,m,w,"9934219,9613939,10418618,9930463,10152373","615000.0,625000.0,535000.0,615000.0,580000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"10580910,10216223,9699473,9530921,9385960","515000.0,174000.0,184500.0,187500.0,187500.0","RFA-DK-21-025,RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006,RFA-DK-16-006"
9421907,f,w,"10430514,10430544,10641819,10650877,8572654","321000.0,321000.0,309000.0,309000.0,1096000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-10-009"
10017961,m,w,"9174711,9517852,9724442,9724451,9724452","982500.0,937500.0,922500.0,922500.0,922500.0","RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010"
9682510,f,w,"9101967,8754186,8912367,9519544,9293252","458500.0,465500.0,465500.0,437500.0,437500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"7664282,7665545,7664494,7665450,7666797","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-EB-06-003,RFA-EB-06-003,RFA-EB-06-003,RFA-EB-06-003,RFA-EB-06-003"
8810682,m,w,"8787871,9320782,8916813,9087275,10637036","465500.0,437500.0,465500.0,458500.0,721000.0","RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-AI-22-015"
10686340,m,w,"9979656,9352237,9525986,9524829,9517980","221400.0,225000.0,225000.0,225000.0,225000.0","RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012"
7551990,f,h,"10383762,9922296,9918404,9918407,9918409","1070000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003"
9781466,m,w,"8847623,9291406,8605381,9065464,9781466","66500.0,62500.0,66500.0,65500.0,4305000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-16-014"
8060626,m,w,"10114279,9857598,9741953,9831543,10205060","406000.0,430500.0,430500.0,61500.0,57999.99999999999","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-026,RFA-DK-17-026"
9896674,f,a,"8585093,8842479,8586274,8585879,8590223","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
10424380,m,a,"9201284,9201285,9404932,9614845,9614843","9250000.0,9250000.0,9250000.0,9102000.0,9102000.0","RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002"
10676778,m,w,"9877971,9356806,9404756,9356804,9356808","1845000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014"
7637363,m,w,"8020043,7884581,8004987,8004982,8009486","252000.0,259200.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7895048,7876885,7637076,7649211,7649063","288000.0,288000.0,292000.0,292000.0,292000.0","RFA-RR-08-005,RFA-RR-08-005,RFA-RR-08-005,RFA-RR-08-005,RFA-RR-08-005"
9960850,m,w,"7644994,7672236,7880120,7911837,7907198","438000.0,438000.0,432000.0,432000.0,438000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
8119772,m,w,"9727895,10630048,10196932,10393529,9918850","922500.0,772500.0,802500.0,802500.0,922500.0","RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014"
9998967,m,w,"9918850,10196932,9577408,9575666,9727895","922500.0,802500.0,937500.0,937500.0,922500.0","RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014"
9935976,f,w,"10076786,10064126,10531132,10523539,9893507","579998.84,579998.84,514998.97,514998.97,614998.77","RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053,RFA-AI-18-053"
9539516,m,w,"9277472,9481714,9567637,9697816,9098205","500000.0,500000.0,500000.0,492000.0,524000.0","RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001"
10518914,m,w,"10414446,10688112,10492026,10492030,10492036","1284000.0,1236000.0,1284000.0,1284000.0,1284000.0","RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029"
10770832,f,w,"8876643,8722121,8107508,7879442,7691751","266000.0,266000.0,525000.0,540000.0,547500.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-08-017,RFA-CA-08-017,RFA-CA-08-017"
8380026,m,w,"10604394,10436133,10007864,9344615,9354447","231750.0,240750.0,307500.0,312500.0,312500.0","RFA-DK-20-032,RFA-DK-20-032,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"7706423,7696684,7924138,7898591,7914355","292000.0,292000.0,288000.0,288000.0,288000.0","RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020"
8339880,m,w,"10394622,10490413,10673879,10232833,10232834","2204000.0,2033000.0,1957000.0,535000.0,535000.0","RFA-TW-21-003,RFA-TW-21-003,RFA-TW-21-003,RFA-AR-21-004,RFA-AR-21-004"
9592088,m,a,"10451808,10670199,10296363,10731013,10731254","535000.0,515000.0,580000.0,952750.0,952750.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-22-504,RFA-DK-22-504"
