APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxx_p_wi,APPVAL_RECS_bert-xxx_p_wi,FOA_RECS_bert-xxx_p_wi
8962105,m,b,"9843530,10335171,9657194,10083763,9986881","492000.0,428000.0,492000.0,464000.0,307500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-17-009"
7885660,m,w,"9613939,9934219,10405099,10418618,9930463","625000.0,615000.0,535000.0,535000.0,615000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"10580910,8607541,7789337,8050090,8436322","515000.0,665000.0,720000.0,700000.0,675000.0","RFA-DK-21-025,RFA-DK-08-009,RFA-DK-08-009,RFA-DK-08-009,RFA-DK-08-009"
9421907,f,w,"10650877,10641819,10430544,10430514,8701169","309000.0,309000.0,321000.0,321000.0,1064000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-10-009"
10017961,m,w,"9173674,9972902,9972894,9172968,9173320","982500.0,922500.0,922500.0,982500.0,982500.0","RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010"
9682510,f,w,"8754186,9101967,9293252,9519544,8912367","465500.0,458500.0,437500.0,437500.0,465500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"8722465,7982953,7983248,7983249,7983252","4256000.0,4608000.0,4608000.0,4608000.0,4608000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
8810682,m,w,"8787871,9087275,9320782,8916813,10637036","465500.0,458500.0,437500.0,465500.0,721000.0","RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-AI-22-015"
10686340,m,w,"9352687,9734119,9352237,9352239,9352693","225000.0,221400.0,225000.0,225000.0,225000.0","RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012"
7551990,f,h,"9441650,9199110,9390795,9838753,9841407","593750.0,593750.0,593750.0,584250.0,584250.0","RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003"
9781466,m,w,"10250342,9548544,9781466,9390020,9205193","4060000.0,4375000.0,4305000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9741953,10114279,9857598,9627114,9978061","430500.0,406000.0,430500.0,625000.0,615000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-011,RFA-DK-17-011"
9896674,f,a,"9115018,9114846,8723688,8334479,8933610","294750.0,294750.0,6650000.0,6850000.000000001,6650000.0","RFA-MD-15-008,RFA-MD-15-008,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006"
10424380,m,a,"7882867,7812141,7878744,7631377,7614372","365000.0,360000.0,360000.0,365000.0,365000.0","RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002"
10676778,m,w,"9786533,9401926,9401128,9401936,9401783","937500.0,937500.0,937500.0,937500.0,937500.0","RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017"
7637363,m,w,"8004945,7638663,8018052,8009486,8004982","252000.0,262800.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7650576,7649063,7649211,7637076,7895048","292000.0,292000.0,292000.0,292000.0,288000.0","RFA-RR-08-005,RFA-RR-08-005,RFA-RR-08-005,RFA-RR-08-005,RFA-RR-08-005"
9960850,m,w,"7645172,7881468,7907198,7911837,7880120","438000.0,432000.0,438000.0,432000.0,432000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
8119772,m,w,"10196932,9577408,10393529,9918850,9922858","802500.0,937500.0,802500.0,922500.0,922500.0","RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014"
9998967,m,w,"9918850,10196932,10393529,9922858,10630048","922500.0,802500.0,802500.0,922500.0,772500.0","RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014"
9935976,f,w,"9692355,9127926,9119619,9131807,9332137","307500.0,327500.0,327500.0,327500.0,312500.0","RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017"
9539516,m,w,"8248016,8038123,7677420,7629068,7624657","504000.0,511000.0,511000.0,511000.0,511000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"10272392,10493338,10492022,10492024,10492026","1392000.0,1284000.0,1284000.0,1284000.0,1284000.0","RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029"
10770832,f,w,"8876643,8722121,8305064,7691751,8107508","266000.0,266000.0,513750.00000000006,547500.0,525000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-08-017,RFA-CA-08-017,RFA-CA-08-017"
8380026,m,w,"10436133,10604394,9186362,9186889,9186866","240750.0,231750.0,327500.0,327500.0,327500.0","RFA-DK-20-032,RFA-DK-20-032,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"7701173,7860303,7860355,7898725,7897725","292000.0,288000.0,288000.0,288000.0,288000.0","RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020"
8339880,m,w,"9716564,9540512,9607786,9970196,9607901","307500.0,312500.0,375000.0,369000.0,375000.0","RFA-AR-18-003,RFA-AR-18-003,RFA-AR-18-002,RFA-AR-18-002,RFA-AR-18-002"
9592088,m,a,"10670199,10296363,10451808,10731254,10731013","515000.0,580000.0,535000.0,952750.0,952750.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-22-504,RFA-DK-22-504"
10008967,m,w,"10288585,10288582,10684021,10684010,10459584","1160000.0,1160000.0,1030000.0,1030000.0,1070000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
10134972,f,w,"10177830,9491912,9869047,9905327,9961457","869999.9999999999,937500.0,922500.0,922500.0,922500.0","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"9963224,10440390,10817292,9966999,9996553","492000.0,428000.0,428000.0,492000.0,492000.0","RFA-ES-17-006,RFA-ES-17-006,RFA-ES-17-006,RFA-ES-17-006,RFA-ES-17-006"
