APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_wi,APPVAL_RECS_bert-xxxxx_p_wi,FOA_RECS_bert-xxxxx_p_wi
8962105,m,b,"8996081,9146268,9291402,10645719,10645964","399000.0,393000.0,375000.0,515000.0,515000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-23-009,RFA-AG-23-009"
7885660,m,w,"8996081,9291402,9146268,9812311,9177874","399000.0,375000.0,393000.0,3000000.0,3144000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-MH-16-600,RFA-MH-16-600"
8722014,f,w,"9146268,9291402,8996081,9205914,9519819","393000.0,375000.0,399000.0,655000.0,625000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-16-022,RFA-AG-16-022"
9421907,f,w,"10491848,10670680,10372447,9928881,9654628","267500.0,257500.0,290000.0,4059000.0,4125000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AG-18-021,RFA-AG-18-021"
10017961,m,w,"8758050,10689928,10528845,8369767,8367889","332500.0,515000.0,535000.0,274000.0,274000.0","RFA-AG-14-012,RFA-DA-22-009,RFA-DA-22-009,RFA-AG-12-008,RFA-AG-12-008"
9682510,f,w,"9177874,9319816,9706654,9494700,9812311","3144000.0,3000000.0,2952000.0,3000000.0,3000000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
8932663,m,w,"9477768,9090775,9089463,9313927,9335971","562500.0,589500.0,589500.0,562500.0,562500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
8810682,m,w,"8509163,8617223,9213339,8794412,9000120","1012500.0,997500.0,937500.0,997500.0,982500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
10686340,m,w,"9517023,9697814,9173599,9316605,9951035","562500.0,553500.0,589500.0,562500.0,553500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
7551990,f,h,"10225542,10219250,10179392,10172905,10874947","869999.9999999999,869999.9999999999,869999.9999999999,869999.9999999999,772500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
9781466,m,w,"10166845,10166844,10116143,10114823,10461771","46400.0,46400.0,49200.0,49200.0,42800.0","RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018"
8060626,m,w,"8881515,9124602,9124604,8925805,8919250","266000.0,262000.0,262000.0,266000.0,266000.0","RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
9896674,f,a,"9926797,9156542,9346002,9691088,9546463","153750.0,163750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10424380,m,a,"9376394,9529618,8883055,9124602,8881515","250000.0,250000.0,266000.0,262000.0,266000.0","RFA-DE-17-005,RFA-DE-17-005,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
10676778,m,w,"9926797,9156542,9346002,9691088,9546463","153750.0,163750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7637363,m,w,"9454567,10701922,10533583,9459899,9246531","500000.0,360500.0,374500.0,116680.0,116680.0","RFA-MH-14-030,RFA-HG-21-033,RFA-HG-21-033,RFA-ES-14-004,RFA-ES-14-004"
9269218,m,w,"8582263,8829218,8743206,8691778,8721417","540000.0,532000.0,532000.0,532000.0,532000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
9960850,m,w,"8833707,8367889,8369767,8758050,9056078","1330000.0,274000.0,274000.0,332500.0,665000.0","RFA-DK-13-027,RFA-AG-12-008,RFA-AG-12-008,RFA-AG-14-012,RFA-DK-14-025"
8119772,m,w,"9928385,9421907,9695908,9565384,9264661","430500.0,437500.0,430500.0,437500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
9998967,m,w,"9237257,9624358,9627971,9849598,9849270","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003"
9935976,f,w,"9130634,8698651,8519139,8258577,8339363","458500.0,465500.0,472500.00000000006,490000.0,479500.00000000006","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
9539516,m,w,"9789137,9654633,10188376,9963133,9934086","4059000.0,4125000.0,3828000.0,4059000.0,4059000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
10518914,m,w,"9546463,9691088,9346002,9156542,9926797","156250.0,153750.0,156250.0,163750.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10770832,f,w,"8758050,8996081,9146268,9291402,9654628","332500.0,399000.0,393000.0,375000.0,4125000.0","RFA-AG-14-012,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-18-021"
8380026,m,w,"9346002,9156542,9926797,9546463,9691088","156250.0,163750.0,153750.0,156250.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10592409,f,w,"8794412,9213339,8509163,9000120,8617223","997500.0,937500.0,1012500.0,982500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8339880,m,w,"8996081,9291402,9146268,9134613,9318394","399000.0,375000.0,393000.0,589500.0,562500.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-015,RFA-AG-15-015"
9592088,m,a,"10645719,10645964,10645746,10645467,10570917","515000.0,515000.0,515000.0,515000.0,360500.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-ES-20-013"
10008967,m,w,"8996081,9146268,9291402,8711845,9433593","399000.0,393000.0,375000.0,299250.0,281250.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-14-002,RFA-AG-14-002"
10134972,f,w,"9291402,9146268,8996081,9278724,9893855","375000.0,393000.0,399000.0,625000.0,615000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-DC-17-002,RFA-DC-17-002"
