APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_r_w,APPVAL_RECS_bert-xxxxx_r_w,FOA_RECS_bert-xxxxx_r_w
8962105,m,b,"9784662,9674261,8550129,8689156,8411660","625000.0,625000.0,540000.0,532000.0,548000.0","RFA-AG-18-025,RFA-AG-18-025,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035"
7885660,m,w,"8723286,8576073,8723291,8723285,8723293","1103900.0,1120500.0,1103900.0,1103900.0,1103900.0","RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014"
8722014,f,w,"9707686,9353269,9205914,9967926,9519819","615000.0,625000.0,655000.0,615000.0,625000.0","RFA-AG-16-022,RFA-AG-16-022,RFA-AG-16-022,RFA-AG-16-022,RFA-AG-16-022"
9421907,f,w,"9928385,9421907,9695908,9565384,10510294","430500.0,437500.0,430500.0,437500.0,749000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-DA-22-011"
10017961,m,w,"9674261,9784662,9857598,10114279,9741953","625000.0,625000.0,430500.0,406000.0,430500.0","RFA-AG-18-025,RFA-AG-18-025,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019"
9682510,f,w,"9494700,9812311,9706654,9319816,9177874","3000000.0,3000000.0,2952000.0,3000000.0,3144000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
8932663,m,w,"9870748,10551268,10335848,10349434,10359051","369000.0,309000.0,321000.0,321000.0,321000.0","RFA-AI-18-045,RFA-AI-18-045,RFA-AI-18-045,RFA-AI-18-045,RFA-AI-18-045"
8810682,m,w,"9333907,9553847,9767599,9692273,9334534","375000.0,375000.0,369000.0,369000.0,375000.0","RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011"
10686340,m,w,"8706639,8875676,8709709,8709742,8856231","299250.0,299250.0,299250.0,299250.0,299250.0","RFA-DK-13-002,RFA-DK-13-002,RFA-DK-13-002,RFA-DK-13-002,RFA-DK-13-002"
7551990,f,h,"9247181,9044778,8913586,8913347,9459899","116680.0,122280.64,124147.52,124147.52,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"10461730,10461771,10114823,10116143,10166844","42800.0,42800.0,49200.0,49200.0,46400.0","RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018"
8060626,m,w,"9353278,9248089,9349629,9565384,9695908","500000.0,524000.0,524000.0,437500.0,430500.0","RFA-AG-16-012,RFA-AG-16-012,RFA-AG-16-012,RFA-AG-17-002,RFA-AG-17-002"
9896674,f,a,"10492007,10419022,10266163,9204978,10142033","535000.0,580000.0,203000.0,229250.0,215250.0","RFA-AG-21-035,RFA-AG-21-035,RFA-AG-16-008,RFA-AG-16-008,RFA-AG-16-008"
10424380,m,a,"9994836,9670338,10234127,10248323,9785374","307500.0,312500.0,290000.0,290000.0,307500.0","RFA-AT-18-003,RFA-AT-18-003,RFA-AT-18-003,RFA-AT-18-003,RFA-AT-18-003"
10676778,m,w,"9926797,9156542,9346002,9691088,9546463","153750.0,163750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7637363,m,w,"8878311,8371836,8503616,9096672,8703731","2660000.0,2740000.0,2700000.0,2620000.0,2660000.0","RFA-HD-12-209,RFA-HD-12-209,RFA-HD-12-209,RFA-HD-12-209,RFA-HD-12-209"
9269218,m,w,"8792750,9072264,9320330,9529679,9491864","665000.0,655000.0,655000.0,625000.0,625000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"10007190,10050801,10051557,10148796,10200875","246000.0,246000.0,246000.0,232000.0,232000.0","RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007"
8119772,m,w,"9928385,9565384,9421907,9695908,9264681","430500.0,437500.0,437500.0,430500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
9998967,m,w,"8452056,8636993,9036318,8646873,8639457","1012500.0,997500.0,982500.0,997500.0,997500.0","RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004"
9935976,f,w,"10159980,9990853,9853327,10087002,9912346","261000.0,276750.0,276750.0,261000.0,276750.0","RFA-MH-19-410,RFA-MH-19-410,RFA-MH-19-410,RFA-MH-20-202,RFA-MH-20-202"
9539516,m,w,"10372447,10491848,10670680,8635404,8636661","290000.0,267500.0,257500.0,270000.0,270000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-DK-12-024,RFA-DK-12-024"
