APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_r_wi,APPVAL_RECS_bert-xxxxx_r_wi,FOA_RECS_bert-xxxxx_r_wi
8962105,m,b,"9674261,9784662,8689156,8550129,8876775","625000.0,625000.0,532000.0,540000.0,532000.0","RFA-AG-18-025,RFA-AG-18-025,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035"
7885660,m,w,"8723285,9061803,9061804,9066226,8723291","1103900.0,1087300.0,1087300.0,1087300.0,1103900.0","RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014"
8722014,f,w,"9205914,9353269,9707686,9519819,9967926","655000.0,625000.0,615000.0,625000.0,615000.0","RFA-AG-16-022,RFA-AG-16-022,RFA-AG-16-022,RFA-AG-16-022,RFA-AG-16-022"
9421907,f,w,"9421907,9695908,9565384,9928385,10510294","437500.0,430500.0,437500.0,430500.0,749000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-DA-22-011"
10017961,m,w,"9674261,9784662,9741953,10114279,9857598","625000.0,625000.0,430500.0,406000.0,430500.0","RFA-AG-18-025,RFA-AG-18-025,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019"
9682510,f,w,"10598873,10599385,10599396,10596875,10597790","214000.0,214000.0,214000.0,214000.0,214000.0","RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011"
8932663,m,w,"10359051,10112825,10088403,10088401,10574613","321000.0,348000.0,348000.0,348000.0,309000.0","RFA-AI-18-045,RFA-AI-18-045,RFA-AI-18-045,RFA-AI-18-045,RFA-AI-18-045"
8810682,m,w,"10326825,10078590,10673469,9844060,9872117","535000.0,535000.0,535000.0,615000.0,615000.0","RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039"
10686340,m,w,"8856231,8875678,8875676,8709742,8709709","299250.0,299250.0,299250.0,299250.0,299250.0","RFA-DK-13-002,RFA-DK-13-002,RFA-DK-13-002,RFA-DK-13-002,RFA-DK-13-002"
7551990,f,h,"10641509,8994397,9702658,9702822,9702821","772500.0,1330000.0,1230000.0,1230000.0,1230000.0","RFA-ES-22-002,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010"
9781466,m,w,"9705957,9770847,10461825,10356642,10454243","312500.0,307500.0,267500.0,290000.0,321000.0","RFA-FD-18-017,RFA-FD-18-017,RFA-FD-21-013,RFA-FD-21-013,RFA-FD-21-012"
8060626,m,w,"9349629,9353278,9248089,9550778,9551754","524000.0,500000.0,524000.0,625000.0,625000.0","RFA-AG-16-012,RFA-AG-16-012,RFA-AG-16-012,RFA-CA-14-010,RFA-CA-14-010"
9896674,f,a,"10419022,10492007,9546463,9346002,9156542","580000.0,535000.0,156250.0,156250.0,163750.0","RFA-AG-21-035,RFA-AG-21-035,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10424380,m,a,"9990702,9670449,9994219,9994836,10018668","307500.0,312500.0,307500.0,307500.0,307500.0","RFA-AT-18-003,RFA-AT-18-003,RFA-AT-18-003,RFA-AT-18-003,RFA-AT-18-003"
10676778,m,w,"9156542,9346002,9691088,9546463,9926797","163750.0,156250.0,153750.0,156250.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7637363,m,w,"8878311,8371836,8703731,9096672,8503616","2660000.0,2740000.0,2660000.0,2620000.0,2700000.0","RFA-HD-12-209,RFA-HD-12-209,RFA-HD-12-209,RFA-HD-12-209,RFA-HD-12-209"
9269218,m,w,"9052201,8792751,9116910,9320330,9071599","655000.0,665000.0,655000.0,655000.0,655000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"10137988,10007190,10200875,10148796,10051557","214000.0,246000.0,232000.0,232000.0,246000.0","RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007"
8119772,m,w,"9421907,9928385,9565384,9695908,9264681","437500.0,430500.0,437500.0,430500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
9998967,m,w,"8821571,8715947,8449564,8666913,9034537","997500.0,1012500.0,1012500.0,1012500.0,982500.0","RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004"
9935976,f,w,"10087002,9912346,10360448,9990853,10159980","261000.0,276750.0,240750.0,276750.0,261000.0","RFA-MH-20-202,RFA-MH-20-202,RFA-MH-20-202,RFA-MH-19-410,RFA-MH-19-410"
9539516,m,w,"8636843,8636552,8636647,8636661,8635404","270000.0,270000.0,270000.0,270000.0,270000.0","RFA-DK-12-024,RFA-DK-12-024,RFA-DK-12-024,RFA-DK-12-024,RFA-DK-12-024"
10518914,m,w,"9537709,9293384,9318599,9308002,9313947","500000.0,500000.0,500000.0,500000.0,500000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
10770832,f,w,"10022097,10019329,10617940,10684552,10017652","307500.0,307500.0,267500.0,267500.0,307500.0","RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013"
8380026,m,w,"8337274,8544021,8786575,8786578,8481564","5822500.0,5822500.0,5652500.0,5652500.0,5652500.0","RFA-HD-10-001,RFA-HD-10-001,RFA-HD-10-001,RFA-HD-10-001,RFA-HD-10-001"
10592409,f,w,"9404231,9965016,9477753,9475256,9452743","664998.67,614998.77,624998.75,624998.75,624998.75","RFA-HL-14-024,RFA-HL-14-024,RFA-HL-14-024,RFA-HL-14-024,RFA-HL-14-024"
8339880,m,w,"10599976,10447898,8739904,10629324,10426470","669500.0,695500.0,133000.0,515000.0,535000.0","RFA-DE-22-001,RFA-DE-22-001,RFA-NS-14-002,RFA-AG-22-006,RFA-AG-22-006"
9592088,m,a,"9145766,9144844,9323560,9565173,9319794","327500.0,327500.0,312500.0,312500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
10008967,m,w,"9293407,8536398,9293398,9293375,8339418","250000.0,270000.0,250000.0,250000.0,274000.0","RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008"
10134972,f,w,"9487321,9319995,10098064,9961457,9905327","250000.0,250000.0,869999.9999999999,922500.0,922500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"8636552,8636843,8635404,8636661,8636647","270000.0,270000.0,270000.0,270000.0,270000.0","RFA-DK-12-024,RFA-DK-12-024,RFA-DK-12-024,RFA-DK-12-024,RFA-DK-12-024"
8535751,m,w,"9768431,9987622,9535290,9562053,9769005","61500.0,61500.0,62500.0,62500.0,61500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"9564694,9736785,9454132,10178077,9955301","625000.0,615000.0,625000.0,580000.0,615000.0","RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020"
8769602,m,a,"8531723,8735667,8728040,8255223,8257480","405000.0,399000.0,399000.0,420000.0,420000.0","RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008"
10406304,f,w,"10605763,10606115,10708152,10749018,9892887","535000.0,535000.0,515000.0,515000.0,430500.0","RFA-NR-22-001,RFA-NR-22-001,RFA-NR-22-001,RFA-NR-22-001,RFA-MD-18-003"
9987453,f,w,"9918029,10709865,10021041,10475828,10475830","11992500.0,10042500.0,11992500.0,10432500.0,10432500.0","RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012"
9525273,m,w,"9248352,9237258,9624757,9627971,9648028","1250000.0,1250000.0,1230000.0,1230000.0,1230000.0","RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003"
10541697,m,h,"9205998,9340202,9547441,9287024,10152382","655000.0,625000.0,625000.0,625000.0,535000.0","RFA-EY-15-002,RFA-EY-15-002,RFA-EY-15-002,RFA-MH-17-300,RFA-MH-17-300"
8856535,m,w,"9213339,8794412,8617223,9000120,8509163","937500.0,997500.0,997500.0,982500.0,1012500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
7886873,m,w,"10569668,10548819,10358379,10358069,10730758","772500.0,772500.0,802500.0,802500.0,875500.0","RFA-AI-20-057,RFA-AI-20-057,RFA-AI-20-057,RFA-AI-20-057,RFA-DK-22-505"
10488630,f,a,"10645964,10645467,10645719,10645746,9916559","515000.0,515000.0,515000.0,515000.0,307500.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-DK-13-026"
9137625,f,w,"9930709,9932631,9929063,9929365,9930378","369000.0,369000.0,369000.0,369000.0,369000.0","RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018"
8085924,m,w,"8004280,8081313,8130131,8081356,7916508","360000.0,360000.0,360000.0,360000.0,360000.0","RFA-TW-06-003,RFA-TW-06-003,RFA-TW-06-003,RFA-TW-06-003,RFA-TW-06-003"
9485284,m,w,"8236219,9064911,9270754,8416328,8416344","1027500.0,997500.0,982500.0,1012500.0,1012500.0","RFA-HG-10-018,RFA-HG-10-018,RFA-HG-10-018,RFA-HG-10-018,RFA-HG-10-018"
8070326,m,w,"8354615,8892565,8839870,8875583,8867128","411000.00000000006,399000.0,399000.0,399000.0,399000.0","RFA-AI-11-027,RFA-AI-11-027,RFA-AI-11-027,RFA-AI-11-027,RFA-AI-11-027"
8068031,f,w,"9066527,8774029,8772925,8773743,8773551","327500.0,332500.0,332500.0,332500.0,332500.0","RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006"
9961343,m,w,"9539149,9561895,9759658,9478480,9476389","500000.0,500000.0,492000.0,468750.0,468750.0","RFA-FD-17-011,RFA-FD-17-011,RFA-FD-17-011,RFA-FD-17-005,RFA-FD-17-005"
8870884,m,h,"9001756,9932272,9512632,9001462,9001630","665000.0,615000.0,625000.0,665000.0,665000.0","RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018,RFA-AG-15-018"
9150566,m,w,"10377742,10379613,10378934,10379210,10529887","274540.60000000003,274540.60000000003,274540.60000000003,274540.60000000003,342400.0","RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-002,RFA-ES-21-003,RFA-DA-22-020"
10478136,m,w,"9975609,9975573,9526215,9524950,9554218","307500.0,307500.0,281250.0,281250.0,500000.0","RFA-AR-20-003,RFA-AR-20-003,RFA-AR-18-005,RFA-AR-18-005,RFA-AR-12-002"
