APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_o_wi,APPVAL_RECS_biobert_o_wi,FOA_RECS_biobert_o_wi
8962105,m,b,"9843530,9657194,10083763,10335171,9174325","492000.0,492000.0,464000.0,428000.0,98250.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"9309036,9309059,9062146,8852242,8906921","312500.0,312500.0,332500.0,332500.0,332500.0","RFA-HL-14-004,RFA-HL-14-004,RFA-HL-14-004,RFA-HL-14-004,RFA-HL-14-004"
8722014,f,w,"8390349,8388796,8391285,8387978,8525399","274000.0,274000.0,274000.0,274000.0,270000.0","RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010"
9421907,f,w,"9145617,9507751,9145624,9276547,9697743","327500.0,312500.0,327500.0,312500.0,307500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"10017961,9907503,10059105,10059131,10598623","61500.0,61500.0,61500.0,61500.0,51500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9696416,9325589,9329494,9329496,9329493","430500.0,437500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"7940064,7638021,8264290,7637904,7895738","146000.0,146000.0,146000.0,1095000.0,360000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-07-008,RFA-CA-08-008"
8810682,m,w,"8857379,8655156,8810682,8669982,8601419","399000.0,399000.0,399000.0,399000.0,399000.0","RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006"
10686340,m,w,"10652522,10207814,10237192,10237190,10237189","1030000.0,1160000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"8137255,7922626,7681140,9669041,9459899","812000.0,835200.0,846800.0,114813.12,116680.0","RFA-ES-06-005,RFA-ES-06-005,RFA-ES-06-005,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"10450034,10035015,10229542,10247591,10247592","802500.0,922500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023"
8060626,m,w,"9960295,10646144,10633149,10633134,10633119","1230000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9451942,9665266,9675128,9675127,9675126","1875000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10674485,10169186,9608547,9608546,10686851","1184500.0,1334000.0,1414500.0,1414500.0,1184500.0","RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001"
10676778,m,w,"10183171,10602566,10626813,10626809,10626807","580000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8638051,8447534,8081465,8081370,8081493","266000.0,270000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"9492574,9335390,9340238,9323471,9336940","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
9960850,m,w,"8851498,9272297,8720663,8721317,8707932","266000.0,250000.0,266000.0,266000.0,266000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
8119772,m,w,"8119772,7686900,7883672,7743004,7920833","420000.0,438000.0,432000.0,432000.0,432000.0","RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004"
9998967,m,w,"9985892,10199755,10172921,10172922,10172923","922500.0,869999.9999999999,869999.9999999999,869999.9999999999,869999.9999999999","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
9935976,f,w,"10398242,10236905,10233273,10465110,10237063","214000.0,232000.0,232000.0,214000.0,232000.0","RFA-DA-21-002,RFA-DA-21-002,RFA-DA-21-002,RFA-DA-21-002,RFA-DA-21-002"
9539516,m,w,"9381286,10229453,10231192,10234007,10234085","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10518914,m,w,"10441646,9627276,9627727,9627418,9627577","1856000.0,2000000.0,2000000.0,2000000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
10770832,f,w,"8722121,8876643,8389512,8508243,8390609","266000.0,266000.0,274000.0,270000.0,274000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-12-005,RFA-DE-12-005,RFA-DE-12-005"
8380026,m,w,"8090493,7842565,7828104,7828105,7637293","1368000.0,1387000.0,1387000.0,1387000.0,1387000.0","RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002"
10592409,f,w,"9893788,10134236,10113531,10134201,10134210","184500.0,174000.0,174000.0,174000.0,174000.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8339880,m,w,"8917845,8916538,8919213,8917844,8919212","99750.0,99750.0,99750.0,99750.0,99750.0","RFA-AG-14-010,RFA-AG-14-010,RFA-AG-14-010,RFA-AG-14-010,RFA-AG-14-010"
9592088,m,a,"8625413,9124617,9124661,9124647,9124615","1012500.0,982500.0,982500.0,982500.0,982500.0","RFA-DK-12-008,RFA-DK-12-008,RFA-DK-12-008,RFA-DK-12-008,RFA-DK-12-008"
10008967,m,w,"9067244,9320706,9067249,8736366,8736371","1310000.0,1250000.0,1310000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"10425350,10312509,9988538,10059052,10620841","1070000.0,1160000.0,1230000.0,1230000.0,1030000.0","RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242"
