APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_p_w,APPVAL_RECS_biobert_p_w,FOA_RECS_biobert_p_w
8962105,m,b,"9657194,10083763,9843530,10335171,9144844","492000.0,464000.0,492000.0,428000.0,327500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-024"
7885660,m,w,"8732625,8531341,9123843,8890180,8925858","665000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10667381,10670756,9879494,10475270,10460169","122570.0,122570.0,146370.0,127330.0,127330.0","RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024"
9421907,f,w,"8720662,8572720,9077610,9264452,9075536","66500.0,67500.0,65500.0,62500.0,65500.0","RFA-AG-13-005,RFA-AG-13-005,RFA-AG-16-003,RFA-AG-16-003,RFA-AG-16-003"
10017961,m,w,"10747107,9898962,9899079,10226341,10064156","154500.0,922500.0,922500.0,580000.0,615000.0","RFA-DK-22-002,RFA-DK-18-023,RFA-DK-18-023,RFA-DK-19-014,RFA-DK-19-014"
9682510,f,w,"10491953,10665746,10378786,10536567,10537743","615250.0,592250.0,667000.0,1070000.0,1070000.0","RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-NS-22-002,RFA-NS-22-002"
8932663,m,w,"10708066,10526305,10515451,10515452,10515453","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"8927687,8922763,9099900,9043947,9069954","664998.67,664998.67,654998.6900000001,654998.6900000001,654998.6900000001","RFA-HL-14-023,RFA-HL-14-023,RFA-HL-14-023,RFA-HL-14-023,RFA-HL-14-023"
10686340,m,w,"10559603,9270571,10281384,10485232,10280201","309000.0,187500.0,535000.0,515000.0,580000.0","RFA-TR-21-008,RFA-RM-15-004,RFA-FD-21-001,RFA-FD-21-001,RFA-FD-21-001"
7551990,f,h,"8197873,7847078,7845330,7742612,7741691","75350.0,80300.0,80300.0,79200.0,79200.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8605381,9065464,9291406,8847623,8849787","66500.0,65500.0,62500.0,66500.0,266000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-14-017"
8060626,m,w,"9857843,9691325,9272883,9282431,9272881","1562500.0,1537500.0,1562500.0,1562500.0,1562500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"8900335,8719172,8925140,8473018,8472725","266000.0,266000.0,266000.0,270000.0,270000.0","RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001"
10424380,m,a,"8323527,8508767,8201884,8200205,8702054","685000.0,675000.0,700000.0,700000.0,665000.0","RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002"
10676778,m,w,"8894408,8725468,8725470,8681153,8681149","532000.0,532000.0,532000.0,532000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"9901562,9240653,9234570,9244044,9229560","246000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"8381473,8534152,7905601,7905602,7905606","2740000.0,2700000.0,2920000.0,2920000.0,2920000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
9960850,m,w,"9655073,10228544,10704736,10887735,10086379","3936000.0,3712000.0,3296000.0,3296000.0,3712000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9547758,9380898,9767010,9767009,9767006","250000.0,250000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
