APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_p_wi,APPVAL_RECS_biomedbert_p_wi,FOA_RECS_biomedbert_p_wi
8962105,m,b,"8959886,8961416,9121688,9103741,9174325","99750.0,99750.0,99750.0,98250.0,98250.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"8890180,8541847,8925858,8536036,8536037","665000.0,675000.0,665000.0,685000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10130607,10572302,10466580,10619007,9206524","278400.0,158620.0,164780.0,158620.0,293750.0","RFA-HL-19-019,RFA-HL-22-012,RFA-HL-22-012,RFA-HL-22-012,RFA-HL-16-017"
9421907,f,w,"10166753,9737780,9931108,9937636,10174655","290000.0,307500.0,307500.0,307500.0,290000.0","RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040"
10017961,m,w,"10746147,10361741,10645854,10363505,10488757","58413.36,64959.99999999999,59920.0,64959.99999999999,59920.0","RFA-DK-21-033,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"10760002,10759735,10759550,10592780,10709636","284038.98,284038.98,284038.98,802500.0,772500.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-TR-22-012,RFA-TR-22-012"
8932663,m,w,"10360627,10322155,10441141,10544320,10570305","533930.0,533930.0,533930.0,513970.0,513970.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"8712326,7920494,7920499,7911259,7919825","665000.0,720000.0,720000.0,720000.0,720000.0","RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025"
10686340,m,w,"9593147,10696473,9593059,9789913,9788516","1375000.0,1177000.0,1375000.0,1353000.0,1353000.0","RFA-RM-17-019,RFA-RM-17-019,RFA-RM-17-019,RFA-RM-17-019,RFA-RM-17-019"
7551990,f,h,"8656335,8490589,8464108,8554435,8464113","1463000.0,1485000.0,1485000.0,1485000.0,1485000.0","RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001"
9781466,m,w,"9562023,9390021,9562020,9548539,9548545","4375000.0,4375000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"7590335,7901997,7980514,8133589,7980519","1825000.0,1825000.0,1800000.0,1800000.0,1800000.0","RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014"
9896674,f,a,"9451956,9457245,9145862,9146147,9146205","1875000.0,1875000.0,1965000.0,1965000.0,1965000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"7614372,7631377,7615108,7882867,8231792","365000.0,365000.0,365000.0,365000.0,360000.0","RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002"
10676778,m,w,"9968022,9743080,9729524,9729520,9729519","615000.0,615000.0,615000.0,615000.0,615000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7637363,m,w,"10379324,10251456,10379323,10379410,10379413","214000.0,232000.0,214000.0,214000.0,214000.0","RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029"
9269218,m,w,"7919258,7767257,7672429,7660318,7683893","720000.0,730000.0,730000.0,730000.0,730000.0","RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005"
9960850,m,w,"9655073,10101619,9654886,9654838,9654536","3936000.0,3712000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7740575,8494063,8304914,7740475,7741453","365000.0,337500.0,342500.0,365000.0,365000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"8605291,9198246,8603715,8605657,8605628","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"9623982,9747383,9935976,8729741,10217030","281250.0,276750.0,276750.0,299250.0,261000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-14-182,RFA-MH-20-521"
9539516,m,w,"9150695,9000998,9783563,9783555,9782746","327500.0,332500.0,307500.0,307500.0,307500.0","RFA-RM-14-004,RFA-RM-14-004,RFA-RM-14-004,RFA-RM-14-004,RFA-RM-14-004"
10518914,m,w,"10729386,10526103,10526101,10525593,10525592","1545000.0,1605000.0,1605000.0,1605000.0,1605000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"8876643,8722121,10770832,10770711,8443710","266000.0,266000.0,515000.0,515000.0,274000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-23-013,RFA-DE-23-013,RFA-DE-12-012"
8380026,m,w,"9354457,9562051,9352830,9353763,9353793","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9523358,9767650,9767011,9767010,9767009","250000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
8339880,m,w,"10442398,10434050,9978678,9978679,9978680","882750.0,882750.0,1014750.0,1014750.0,1014750.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
