APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_r_w,APPVAL_RECS_biomedbert_r_w,FOA_RECS_biomedbert_r_w
8962105,m,b,"10083763,10335171,9843530,9657194,7917445","464000.0,428000.0,492000.0,492000.0,720000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-08-006"
7885660,m,w,"8890180,8536036,8336923,8732790,8531341","665000.0,685000.0,685000.0,675000.0,675000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8209527,8514718,8692021,8722014,8731270","700000.0,675000.0,665000.0,665000.0,665000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
9421907,f,w,"9145617,9001684,9001539,9506629,9507751","327500.0,332500.0,332500.0,312500.0,312500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"10747107,10363505,10361741,10645854,10488757","154500.0,64959.99999999999,64959.99999999999,59920.0,59920.0","RFA-DK-22-002,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"9188331,9321307,9188419,9475566,9475565","327500.0,312500.0,327500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"10570305,10544320,10130852,10130746,10322155","513970.0,513970.0,578840.0,578840.0,533930.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9057971,8885422,9058468,9058469,9058471","6550000.0,6650000.0,6550000.0,6550000.0,6550000.0","RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008"
10686340,m,w,"9338316,9557587,9325428,9308031,9342648","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8832594,8279694,8279592,8279704,8279599","1463000.0,1507000.0000000002,1507000.0000000002,1507000.0000000002,1507000.0000000002","RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001"
9781466,m,w,"10250343,9548545,9562025,9782700,9782699","4060000.0,4375000.0,4375000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9657039,9657023,9701959,9691335,9691334","1230000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020"
9896674,f,a,"9637251,9966061,9266822,9251320,9276130","430500.0,430500.0,437500.0,437500.0,437500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"10056071,10544315,10056072,10350583,10350584","1450000.0,1287500.0,1450000.0,1337500.0,1337500.0","RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002"
10676778,m,w,"10124292,10451723,10460470,9908046,9908053","580000.0,535000.0,535000.0,615000.0,615000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"9906755,9244048,9240652,9234569,9240651","246000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
