APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_r_wi,APPVAL_RECS_biomedbert_r_wi,FOA_RECS_biomedbert_r_wi
8962105,m,b,"10083763,10335171,9843530,9657194,8962105","464000.0,428000.0,492000.0,492000.0,99750.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"8925858,8541847,9123843,8890180,8536036","665000.0,675000.0,665000.0,665000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8514717,8530216,8209501,8208901,8210117","675000.0,675000.0,700000.0,700000.0,700000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
9421907,f,w,"9928385,9421907,9695908,9565384,9264682","430500.0,437500.0,430500.0,437500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
10017961,m,w,"10797443,10794017,10808767,10799234,10797836","98880.0,98880.0,98880.0,98880.0,98880.0","RFA-DK-22-012,RFA-DK-22-012,RFA-DK-22-012,RFA-DK-22-012,RFA-DK-22-012"
9682510,f,w,"9321304,9321248,9188419,9188423,9321247","312500.0,312500.0,327500.0,327500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9267107,9057971,9058469,9058471,9057963","6250000.0,6550000.0,6550000.0,6550000.0,6550000.0","RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008,RFA-HS-14-008"
10686340,m,w,"8545224,8379002,8150047,7938718,8144938","1687500.0,1712500.0000000002,1800000.0,1800000.0,1800000.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"8831663,9040164,9063988,9040179,9063984","1463000.0,1441000.0,1441000.0,1441000.0,1441000.0","RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001"
9781466,m,w,"9205193,9782697,9390014,9205191,9390020","4375000.0,4305000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"10588837,10585208,10588068,10586207,10586206","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029"
9896674,f,a,"9457246,9457250,9675129,9675128,9675127","1875000.0,1875000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
