APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_o_w,APPVAL_RECS_bluebert_o_w,FOA_RECS_bluebert_o_w
8962105,m,b,"8300031,8511846,8074774,8152223,8262208","685000.0,675000.0,720000.0,700000.0,205500.00000000003","RFA-NR-10-004,RFA-NR-10-004,RFA-NR-10-004,RFA-NR-10-004,RFA-HL-12-004"
7885660,m,w,"8925858,9338933,8890180,9123843,8721480","665000.0,655000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8110379,7762619,7921800,7689895,7689901","1080000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012"
9421907,f,w,"9154487,9152898,9153169,9344529,9320966","262000.0,262000.0,262000.0,250000.0,250000.0","RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013"
10017961,m,w,"9907503,10017961,10059105,10059131,10598623","61500.0,61500.0,61500.0,61500.0,51500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9697872,9329493,9329495,9333444,9333443","430500.0,437500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"8926581,8255151,8255149,8541795,8538760","1330000.0,1400000.0,1400000.0,1350000.0,1350000.0","RFA-CA-11-002,RFA-CA-11-002,RFA-CA-11-002,RFA-CA-11-002,RFA-CA-11-002"
8810682,m,w,"9269172,8879032,8868937,8848351,8919863","625000.0,665000.0,665000.0,665000.0,665000.0","RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003"
10686340,m,w,"10442418,10020813,10019407,10019408,10019460","1070000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7992460,8197875,7555392,7558266,7551996","77000.0,75350.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
