APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_p_wi,APPVAL_RECS_bluebert_p_wi,FOA_RECS_bluebert_p_wi
8962105,m,b,"9174325,9172674,8962105,8959886,9121688","98250.0,98250.0,99750.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"10254043,10379416,10255074,10254958,10254784","232000.0,214000.0,232000.0,232000.0,232000.0","RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029"
8722014,f,w,"10549810,9782222,9948736,10015716,10221774","122570.0,146370.0,146370.0,146370.0,138040.0","RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024"
9421907,f,w,"9695908,9565384,9421907,9928385,9506629","430500.0,437500.0,437500.0,430500.0,312500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-15-008"
10017961,m,w,"7664402,7896041,8065303,7985254,7907809","365000.0,365000.0,360000.0,360000.0,360000.0","RFA-DK-05-011,RFA-DK-05-011,RFA-DK-05-011,RFA-DK-05-011,RFA-DK-05-011"
9682510,f,w,"10759735,10759550,10760002,10784019,10783393","284038.98,284038.98,284038.98,256470.0,256470.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-22-025,RFA-NS-22-022"
8932663,m,w,"8467802,7664619,8690240,7884497,7919183","2397500.0,2555000.0,2362500.0,2520000.0,2555000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9435087,9096393,9252099,9096394,9096395","625000.0,655000.0,625000.0,655000.0,655000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"10197918,9589557,9589556,9589558,9766298","348000.0,375000.0,375000.0,375000.0,369000.0","RFA-RM-17-014,RFA-RM-17-014,RFA-RM-17-014,RFA-RM-17-014,RFA-RM-17-014"
7551990,f,h,"9486451,9904630,9485695,9486301,9486454","1250000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003"
9781466,m,w,"8554393,8554931,8806614,8800580,8473040","266000.0,266000.0,266000.0,266000.0,274000.0","RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010"
8060626,m,w,"10228685,10018031,10017180,9831921,9832007","464000.0,492000.0,492000.0,492000.0,492000.0","RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002"
9896674,f,a,"10256798,10254418,10636807,10221177,10213963","406000.0,406000.0,360500.0,430500.0,430500.0","RFA-NR-20-001,RFA-NR-20-001,RFA-NR-20-001,RFA-NR-20-001,RFA-NR-20-001"
10424380,m,a,"7939058,8153648,7900507,7924597,8536992","365000.0,360000.0,360000.0,360000.0,360000.0","RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004"
10676778,m,w,"9658441,10197344,9526088,9524992,9540512","307500.0,307500.0,312500.0,312500.0,312500.0","RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-18-003"
7637363,m,w,"9234572,9445476,9251863,9234570,9901626","250000.0,250000.0,250000.0,250000.0,246000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"7941948,7941949,8133221,7713292,7713471","288000.0,288000.0,288000.0,292000.0,292000.0","RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004"
9960850,m,w,"10487536,10570166,9569528,9568890,9568229","267500.0,257500.0,312500.0,312500.0,312500.0","RFA-RM-17-008,RFA-RM-17-008,RFA-RM-17-008,RFA-RM-17-008,RFA-RM-17-008"
8119772,m,w,"10203525,10775907,10776793,10776871,10777065","232000.0,206000.0,206000.0,206000.0,206000.0","RFA-RM-19-004,RFA-RM-23-003,RFA-RM-23-003,RFA-RM-23-003,RFA-RM-23-003"
