APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_r_w,APPVAL_RECS_bluebert_r_w,FOA_RECS_bluebert_r_w
8962105,m,b,"9768539,10435711,9936066,9962481,10178079","430500.0,406000.0,430500.0,430500.0,406000.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"8336923,9123843,8721480,8793915,8247968","685000.0,665000.0,665000.0,665000.0,700000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10187996,9782061,9719585,10188673,10187779","261000.0,276750.0,276750.0,261000.0,261000.0","RFA-HL-19-016,RFA-HL-19-016,RFA-HL-19-016,RFA-HL-19-016,RFA-HL-19-016"
9421907,f,w,"9143829,9697743,9145617,9145624,9282384","332500.0,307500.0,327500.0,327500.0,312500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"10747107,10435518,10643941,10434857,10453756","154500.0,535000.0,515000.0,535000.0,535000.0","RFA-DK-22-002,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014"
9682510,f,w,"10537743,10536567,10595133,10595896,10784019","1070000.0,1070000.0,1070000.0,1070000.0,256470.0","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-22-037,RFA-NS-22-037,RFA-NS-22-025"
8932663,m,w,"10544320,10130746,10322155,10360627,10441141","513970.0,578840.0,533930.0,533930.0,533930.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"10672295,10327866,8147831,8070168,8070092","499550.0,562600.0,280000.0,288000.0,288000.0","RFA-HL-21-018,RFA-HL-21-018,RFA-NR-10-002,RFA-NR-10-002,RFA-NR-10-002"
10686340,m,w,"10017961,10059105,10059131,10598623,10693345","61500.0,61500.0,61500.0,51500.0,51500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
7551990,f,h,"7793618,8471109,7790073,7790082,7790090","1440000.0,1350000.0,1460000.0,1460000.0,1460000.0","RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
9781466,m,w,"8605381,9065464,9291406,8847623,8539640","66500.0,65500.0,62500.0,66500.0,270000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-HD-12-211"
8060626,m,w,"9741953,10114279,9857598,8436004,8686992","430500.0,406000.0,430500.0,6850000.000000001,6750000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-11-019,RFA-DK-11-019"
9896674,f,a,"9811734,10013287,10021032,10168609,10172976","369000.0,369000.0,369000.0,348000.0,348000.0","RFA-LM-19-001,RFA-LM-19-001,RFA-LM-19-001,RFA-LM-19-001,RFA-LM-19-001"
10424380,m,a,"8546293,8693890,9332306,8867961,8884375","2700000.0,2660000.0,2500000.0,2660000.0,2660000.0","RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007"
10676778,m,w,"10475059,10488613,10459373,10459374,10459375","535000.0,535000.0,535000.0,535000.0,535000.0","RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004"
7637363,m,w,"9452092,9076729,9445480,9234572,9072287","250000.0,262000.0,250000.0,250000.0,262000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"7892940,7691831,7892941,7692191,8064562","360000.0,365000.0,360000.0,365000.0,360000.0","RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040,RFA-MH-08-040"
9960850,m,w,"10468080,9928349,10574601,10553643,10551296","3424000.0,3936000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"10203525,7687367,7684744,8114154,7884268","232000.0,365000.0,365000.0,350000.0,360000.0","RFA-RM-19-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004"
9998967,m,w,"9567191,10223360,10224683,10224717,10224827","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"10686097,10328173,10459630,10479062,10632081","231750.0,261000.0,240750.0,240750.0,231750.0","RFA-MH-21-150,RFA-MH-21-150,RFA-MH-21-150,RFA-MH-21-150,RFA-MH-21-150"
9539516,m,w,"9269290,7900974,8734633,7882889,7692977","411000.00000000006,432000.0,405000.0,438000.0,438000.0","RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013"
10518914,m,w,"10401899,10597079,10223596,9482608,9483217","267500.0,257500.0,290000.0,406250.0,406250.0","RFA-CA-20-031,RFA-CA-20-031,RFA-CA-20-031,RFA-CA-17-023,RFA-CA-17-023"
10770832,f,w,"8876643,8722121,10086915,10686348,10265512","266000.0,266000.0,738000.0,618000.0,696000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-20-006,RFA-CA-20-006,RFA-CA-20-006"
8380026,m,w,"10708941,10581922,7794230,7939689,9557685","206000.0,214000.0,292000.0,288000.0,3125000.0","RFA-DK-21-018,RFA-DK-21-018,RFA-DK-08-013,RFA-DK-08-013,RFA-DK-16-509"
10592409,f,w,"8138112,8138172,8138267,8321903,8321540","700000.0,700000.0,700000.0,685000.0,685000.0","RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026"
8339880,m,w,"9366382,9519771,9532070,9547741,9519844","93750.0,93750.0,93750.0,93750.0,93750.0","RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012"
9592088,m,a,"10451808,10670199,10296363,8545171,8335390","535000.0,515000.0,580000.0,607500.0,616500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-10-011,RFA-DK-10-011"
10008967,m,w,"9067246,9067244,9320708,9067248,9320707","1310000.0,1310000.0,1250000.0,1310000.0,1250000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9487321,9319995,10134972,9320071,9869047","250000.0,250000.0,869999.9999999999,937500.0,922500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10000361,9284475,8913969,8925885,8910705","184500.0,187500.0,199500.0,199500.0,199500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
8535751,m,w,"9987622,10015256,9189072,9188204,9321184","61500.0,61500.0,65500.0,65500.0,62500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"10581922,10708941,9383250,9514978,9557685","214000.0,206000.0,3125000.0,3125000.0,3125000.0","RFA-DK-21-018,RFA-DK-21-018,RFA-DK-16-509,RFA-DK-16-509,RFA-DK-16-509"
8769602,m,a,"8340847,8521043,8339608,8341989,8342359","68500.0,67500.0,68500.0,68500.0,68500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
10406304,f,w,"7845561,7885322,7880871,7667951,7668578","360000.0,360000.0,360000.0,365000.0,365000.0","RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002"
9987453,f,w,"9174325,9172674,9103741,9121688,8961416","98250.0,98250.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"9088360,9276581,9095157,9095165,9114009","3930000.0,3750000.0,3930000.0,3930000.0,3930000.0","RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023"
10541697,m,h,"8081770,7885367,8294757,8308668,8311055","350000.0,360000.0,342500.0,342500.0,342500.0","RFA-MH-09-030,RFA-MH-09-030,RFA-MH-09-030,RFA-MH-09-030,RFA-MH-09-030"
8856535,m,w,"9190794,9519854,9743067,9315726,9315771","4585000.0,4375000.0,4305000.0,4375000.0,4375000.0","RFA-AI-15-029,RFA-AI-15-029,RFA-AI-15-029,RFA-AI-15-029,RFA-AI-15-029"
7886873,m,w,"8532854,8307505,8149926,8014602,8699693","900450.0000000001,913790.0,933800.0,960480.0,887110.0","RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026"
10488630,f,a,"9784662,9674261,10205959,10173608,10404992","625000.0,625000.0,3828000.0,3828000.0,3531000.0","RFA-AG-18-025,RFA-AG-18-025,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
9137625,f,w,"8726763,8459117,8527517,8528514,8520164","399000.0,411000.00000000006,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8085924,m,w,"8624691,9015436,8509686,8465082,8822291","53200.0,52400.0,54000.0,54800.00000000001,53200.0","RFA-DK-12-005,RFA-DK-12-005,RFA-DK-12-005,RFA-DK-12-005,RFA-DK-12-005"
9485284,m,w,"8520392,7796875,7778922,8133733,8116078","675000.0,720000.0,720000.0,700000.0,700000.0","RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001"
8070326,m,w,"9823598,9823033,9975697,9975095,9948568","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025"
8068031,f,w,"9812018,10533818,10308405,10336442,10361235","61500.0,51500.0,53500.0,53500.0,53500.0","RFA-MD-18-007,RFA-MD-18-007,RFA-MD-18-007,RFA-MD-18-007,RFA-MD-18-007"
