APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_r_wi,APPVAL_RECS_bluebert_r_wi,FOA_RECS_bluebert_r_wi
8962105,m,b,"9657194,10083763,9843530,10335171,8959886","492000.0,464000.0,492000.0,428000.0,99750.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"8732790,8721480,8247968,8732625,8536037","675000.0,665000.0,700000.0,665000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7677986,7668684,7662466,7677989,7665031","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"9145624,9001684,9143829,9001539,9506629","327500.0,332500.0,332500.0,332500.0,312500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"9627114,9636928,9775448,9774044,10242772","625000.0,625000.0,615000.0,615000.0,580000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"9474684,9321248,9475566,9475565,9477788","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"10916639,10517808,10704708,10676882,10676875","1030000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"9361623,9098150,9900736,9900737,9900738","625000.0,655000.0,615000.0,615000.0,615000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"9325601,9114659,9127283,9114670,9146694","1562500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"9459899,9044774,8912671,9457435,9460502","116680.0,122280.64,124147.52,116680.0,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"10037854,10037760,10031380,10037968,7817072","613770.0,613770.0,613770.0,613770.0,1440000.0","RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-AG-09-001"
8060626,m,w,"10114279,9741953,9857598,8473855,8458590","406000.0,430500.0,430500.0,1687500.0,1687500.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-008,RFA-DK-08-008"
9896674,f,a,"10823828,9001115,8933610,8933600,9110030","515000.0,299250.0,6650000.0,6650000.0,6550000.0","RFA-FD-23-010,RFA-MD-15-004,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006"
10424380,m,a,"8693889,9127888,8544963,8428627,8428142","2660000.0,2620000.0,2700000.0,2700000.0,2700000.0","RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007,RFA-AA-12-007"
10676778,m,w,"9658441,9524992,9526088,10197344,9087507","307500.0,312500.0,312500.0,307500.0,655000.0","RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-16-004"
7637363,m,w,"8447534,8451571,8442909,8448196,8443823","270000.0,270000.0,270000.0,270000.0,270000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7742703,7742333,7942950,7942955,8141867","730000.0,730000.0,720000.0,720000.0,720000.0","RFA-DK-08-003,RFA-DK-08-003,RFA-DK-08-003,RFA-DK-08-003,RFA-DK-08-003"
9960850,m,w,"10101619,9654409,9654886,10086379,9655000","3712000.0,3936000.0,3936000.0,3712000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9277052,9346576,9119326,9994218,10001107","327500.0,312500.0,589500.0,553500.0,553500.0","RFA-FD-16-012,RFA-FD-16-012,RFA-AT-16-001,RFA-AT-16-001,RFA-AT-16-001"
9998967,m,w,"7846585,7915850,7849855,8309524,7918756","438000.0,438000.0,438000.0,432000.0,432000.0","RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019"
9935976,f,w,"8534366,8209694,8309932,8471785,8469583","308250.0,315000.0,308250.0,303750.0,303750.0","RFA-MH-11-082,RFA-MH-11-082,RFA-MH-11-082,RFA-MH-11-082,RFA-MH-11-082"
9539516,m,w,"8749196,8758248,7647336,8889398,7885526","299250.0,299250.0,365000.0,332500.0,360000.0","RFA-ES-13-009,RFA-ES-13-009,RFA-ES-07-002,RFA-ES-07-002,RFA-ES-07-002"
10518914,m,w,"9476215,9217469,10220891,10019478,9933546","812500.0,812500.0,754000.0,799500.0,799500.0","RFA-CA-15-024,RFA-CA-15-024,RFA-CA-15-024,RFA-CA-15-024,RFA-CA-15-024"
10770832,f,w,"8876643,8722121,9031743,8829800,8839220","266000.0,266000.0,1572000.0,1596000.0,1596000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-13-007,RFA-CA-13-007,RFA-CA-13-007"
8380026,m,w,"10708941,10581922,10583215,10583291,10583296","206000.0,214000.0,515000.0,515000.0,515000.0","RFA-DK-21-018,RFA-DK-21-018,RFA-DK-21-002,RFA-DK-21-002,RFA-DK-21-002"
10592409,f,w,"8233491,7643067,7787067,7898717,7770832","342500.0,365000.0,360000.0,360000.0,360000.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8339880,m,w,"9925783,9580260,9737783,10163762,10449365","430500.0,437500.0,430500.0,406000.0,374500.0","RFA-AG-18-008,RFA-AG-18-008,RFA-AG-18-008,RFA-AG-18-008,RFA-AG-18-008"
9592088,m,a,"10296363,10670199,10451808,9593872,9987330","580000.0,515000.0,535000.0,937500.0,922500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-17-502,RFA-DK-17-502"
10008967,m,w,"10288582,10459584,10288585,10684021,10684010","1160000.0,1070000.0,1160000.0,1030000.0,1030000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
