APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_o_w,APPVAL_RECS_deberta_o_w,FOA_RECS_deberta_o_w
8962105,m,b,"9781767,9789929,9807677,9808185,9809019","61500.0,61500.0,61500.0,61500.0,61500.0","RFA-HL-18-025,RFA-HL-18-025,RFA-HL-18-025,RFA-HL-18-025,RFA-HL-18-025"
7885660,m,w,"7664378,7672283,7664365,7867439,7684826","511000.0,511000.0,511000.0,511000.0,511000.0","RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-DK-05-014"
8722014,f,w,"8701389,8704199,9081240,8441279,8862525","863170.0,863170.0,850190.0,876150.0,863170.0","RFA-HL-13-007,RFA-HL-13-007,RFA-HL-13-007,RFA-HL-13-007,RFA-HL-13-007"
9421907,f,w,"10641819,10430544,10430514,10650877,10544770","309000.0,321000.0,321000.0,309000.0,309000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-21-002"
10017961,m,w,"10059105,9907503,10555519,10017961,10059131","61500.0,61500.0,53500.0,61500.0,61500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9697871,9187750,9329493,9940786,9940787","430500.0,458500.0,437500.0,430500.0,430500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"8333396,8339429,8534049,8154990,8145493","411000.00000000006,411000.00000000006,405000.0,420000.0,420000.0","RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004"
8810682,m,w,"10468020,10009332,10229378,9753568,9496938","1070000.0,1230000.0,1160000.0,1230000.0,1250000.0","RFA-RM-16-019,RFA-RM-16-019,RFA-RM-16-019,RFA-RM-16-019,RFA-RM-16-019"
10686340,m,w,"10019398,10442413,10248354,10242886,10242885","1230000.0,1070000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7742612,7558266,7551992,7551990,7847078","79200.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9750580,9514737,9514739,9514748,9514726","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
8060626,m,w,"10694213,10454984,10427466,10427468,10454978","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9982105,9570692,9570686,9570703,9572427","1168500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10064075,9393236,9393833,9393653,9393652","1450000.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"10460469,10136445,9718540,9718539,10215389","535000.0,580000.0,615000.0,615000.0,580000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"7884581,8018052,7612658,7612689,7613471","259200.0,252000.0,262800.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"10465187,10117747,10684730,10267723,10456277","428000.0,492000.0,412000.0,464000.0,428000.0","RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-005"
9960850,m,w,"9882207,9645893,9654838,9654886,9655000","3936000.0,3936000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7883672,7921642,7530830,7674585,7686900","432000.0,432000.0,438000.0,438000.0,438000.0","RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004"
9998967,m,w,"9533062,9212582,9353889,9355706,9354523","327500.0,327500.0,312500.0,312500.0,312500.0","RFA-RM-15-006,RFA-RM-15-006,RFA-RM-15-006,RFA-RM-15-006,RFA-RM-15-006"
9935976,f,w,"9405193,9728942,9717214,9533524,9522188","281250.0,276750.0,276750.0,281250.0,281250.0","RFA-MH-17-361,RFA-MH-17-361,RFA-MH-17-361,RFA-MH-17-361,RFA-MH-17-361"
9539516,m,w,"9960531,10244905,10240632,10241363,10241451","307500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10518914,m,w,"9627577,9627275,9627724,9627574,9627418","2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
10770832,f,w,"8722121,8876643,9573392,9762081,8443710","266000.0,266000.0,250000.0,246000.0,274000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-18-006,RFA-DE-18-006,RFA-DE-12-012"
8380026,m,w,"10704640,10480956,10289789,10289787,10289786","412000.0,428000.0,464000.0,464000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
10592409,f,w,"9675546,9897488,10579869,10579873,10580753","184500.0,184500.0,154500.0,154500.0,154500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8339880,m,w,"9753104,10165449,9927973,10413034,9597601","861000.0,812000.0,861000.0,749000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9592088,m,a,"9386543,9963205,9963201,9560790,9385114","937500.0,922500.0,922500.0,937500.0,937500.0","RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031"
10008967,m,w,"8846545,9067249,8736366,8736371,8846544","1330000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9126612,8975055,9319995,9487321,9320128","655000.0,665000.0,250000.0,250000.0,937500.0","RFA-MH-15-850,RFA-MH-15-850,RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405"
8988958,f,b,"10543752,10307428,10307481,10307474,10307473","515000.0,535000.0,535000.0,535000.0,535000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"8911299,8728845,8715796,8260907,8261637","66500.0,66500.0,66500.0,70000.0,70000.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"8360491,7959758,7959756,7959755,7959754","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001"
8769602,m,a,"9369086,9366140,9363731,9364332,9364868","93750.0,93750.0,93750.0,93750.0,93750.0","RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012,RFA-AG-17-012"
10406304,f,w,"10630618,10701083,8744508,9553496,9484232","133750.0,128750.0,665000.0,625000.0,625000.0","RFA-LM-22-001,RFA-LM-22-001,RFA-HS-14-004,RFA-HS-14-004,RFA-HS-14-004"
