APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_o_wi,APPVAL_RECS_deberta_o_wi,FOA_RECS_deberta_o_wi
8962105,m,b,"10282282,10615866,10088109,10688160,10677677","57999.99999999999,51500.0,57999.99999999999,51500.0,51500.0","RFA-HL-20-029,RFA-HL-20-029,RFA-HL-20-029,RFA-HL-20-029,RFA-HL-20-029"
7885660,m,w,"10480792,10693795,10308198,9650602,9855012","534998.93,514998.97,579998.84,615000.0,615000.0","RFA-HD-21-006,RFA-HD-21-006,RFA-HD-21-006,RFA-HD-17-004,RFA-HD-17-004"
8722014,f,w,"10584259,10583849,10583235,10583024,10582012","412000.0,412000.0,412000.0,412000.0,412000.0","RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004"
9421907,f,w,"10380875,10208164,10380873,10394326,10433951","321000.0,348000.0,321000.0,321000.0,321000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"10598623,10059105,10017961,10693345,10216255","51500.0,61500.0,61500.0,51500.0,57999.99999999999","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9114886,8821370,9315628,9315629,9532293","628800.0,638400.0,600000.0,600000.0,600000.0","RFA-NR-14-002,RFA-NR-14-002,RFA-NR-14-002,RFA-NR-14-002,RFA-NR-14-002"
8932663,m,w,"8721882,8547684,8655833,8722504,8723136","399000.0,405000.0,399000.0,399000.0,399000.0","RFA-CA-12-003,RFA-CA-12-003,RFA-CA-12-003,RFA-CA-12-003,RFA-CA-12-003"
8810682,m,w,"7944114,8128545,8129648,8842345,7783230","1440000.0,1400000.0,1400000.0,1330000.0,1460000.0","RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023"
10686340,m,w,"9804382,9802533,10248359,10248360,10248361","1230000.0,1230000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7741685,7991864,7551999,7547058,7551996","79200.0,77000.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8677354,9248862,9248853,9248859,9248864","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8060626,m,w,"10407839,10408484,10407865,10407866,10407867","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9146147,9896669,9691056,9691055,9675130","1965000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"9604722,10075855,10064089,10064090,10064091","1537500.0,1450000.0,1450000.0,1450000.0,1450000.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"9720733,10124293,10124290,10642790,10642789","615000.0,580000.0,580000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"9078754,9078445,9251863,9234570,9244044","262000.0,262000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"10664966,10684380,10011969,10010238,10008920","721000.0,749000.0,861000.0,861000.0,861000.0","RFA-RM-19-005,RFA-RM-19-005,RFA-RM-19-005,RFA-RM-19-005,RFA-RM-19-005"
9960850,m,w,"9059010,8720663,8853239,8878151,9282395","262000.0,266000.0,266000.0,266000.0,250000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
8119772,m,w,"8494063,7739524,8304914,8305556,8322023","337500.0,365000.0,342500.0,342500.0,342500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"9719857,10231192,9381398,9382509,9381663","307500.0,290000.0,312500.0,312500.0,312500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8329146,8486383,8644944,8990345,9751349","685000.0,675000.0,665000.0,332500.0,307500.0","RFA-MH-12-060,RFA-MH-12-060,RFA-MH-12-060,RFA-HD-15-017,RFA-HD-15-017"
9539516,m,w,"9991867,9743854,9747940,9747920,9747314","307500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10518914,m,w,"10733236,10733193,10733232,10732948,10732949","834300.0,834300.0,834300.0,834300.0,834300.0","RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012"
10770832,f,w,"8876643,8722121,10352461,10211467,10630286","266000.0,266000.0,214000.0,232000.0,669500.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-20-007,RFA-DE-20-007,RFA-DE-20-002"
8380026,m,w,"8336868,9306978,8382323,8382569,8915682","274000.0,266000.0,274000.0,274000.0,266000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
10592409,f,w,"10370727,9894711,9897489,9897488,9894727","174000.0,184500.0,184500.0,184500.0,184500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8339880,m,w,"10413034,9927973,10165449,9753104,9597601","749000.0,861000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9592088,m,a,"9539648,9728937,9772793,9539645,9983377","937500.0,922500.0,937500.0,937500.0,922500.0","RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031"
10008967,m,w,"9320708,8736363,8736371,8735212,8736372","1250000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9319995,9487321,10134972,9471784,9559620","250000.0,250000.0,869999.9999999999,937500.0,937500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"9145681,9331634,9341297,9323407,9323406","1637500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"8926974,8261836,8911299,8728845,8715796","66500.0,70000.0,66500.0,66500.0,66500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"7959910,8360477,7959571,7959570,7959569","292000.0,280000.0,292000.0,292000.0,292000.0","RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002"
8769602,m,a,"10883873,9981603,10680480,9811610,9812148","231750.0,276750.0,231750.0,276750.0,276750.0","RFA-AG-19-017,RFA-AG-19-017,RFA-AG-19-017,RFA-AG-19-017,RFA-AG-19-017"
10406304,f,w,"10375377,10167671,10088472,10075982,10066310","214000.0,232000.0,232000.0,232000.0,232000.0","RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012"
9987453,f,w,"10291071,10832913,10688232,10683859,10834465","64491.35999999999,57263.880000000005,57263.880000000005,59487.72,57263.880000000005","RFA-AG-21-022,RFA-AG-21-022,RFA-AG-21-022,RFA-AG-21-022,RFA-AG-21-022"
9525273,m,w,"9323176,9323177,9322138,9323804,9332147","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10541697,m,h,"10446346,10446697,10447235,10524286,10524319","240750.0,240750.0,240750.0,240750.0,240750.0","RFA-NS-21-014,RFA-NS-21-014,RFA-NS-21-014,RFA-NS-21-014,RFA-NS-21-014"
8856535,m,w,"8848098,9492681,9513619,9523144,9283606","997500.0,937500.0,937500.0,937500.0,937500.0","RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026"
7886873,m,w,"7938846,8112693,8112621,8112503,8112504","331200.0,322000.0,322000.0,322000.0,322000.0","RFA-TW-09-001,RFA-TW-09-001,RFA-TW-09-001,RFA-TW-09-001,RFA-TW-09-001"
10488630,f,a,"10263907,10259828,9971086,9970999,10433227","232000.0,232000.0,246000.0,246000.0,232000.0","RFA-AG-20-014,RFA-AG-20-014,RFA-AG-20-014,RFA-AG-20-014,RFA-AG-20-014"
9137625,f,w,"8460212,8528512,9114409,9114408,9313381","411000.00000000006,405000.0,393000.0,393000.0,393000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
