APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_p_w,APPVAL_RECS_deberta_p_w,FOA_RECS_deberta_p_w
8962105,m,b,"10083763,10335171,9843530,9657194,8961416","464000.0,428000.0,492000.0,492000.0,99750.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"8247968,8732790,8536037,9123843,8890180","700000.0,675000.0,685000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8825531,9245732,9022512,8604915,9867738","3192000.0,3000000.0,3144000.0,3192000.0,393600.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-19-002"
9421907,f,w,"9264682,9264670,9264681,9264661,7668382","458500.0,458500.0,458500.0,458500.0,292000.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-08-001"
10017961,m,w,"9939013,10242772,10227178,10624752,9627114","615000.0,580000.0,580000.0,515000.0,625000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10592780,10709636,10132315,9828246,9976825","802500.0,772500.0,232000.0,246000.0,246000.0","RFA-TR-22-012,RFA-TR-22-012,RFA-NS-18-042,RFA-NS-18-042,RFA-NS-18-042"
8932663,m,w,"10330219,10492637,10487531,10330342,10690696","579998.84,534998.93,534998.93,579998.84,514998.97","RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054"
8810682,m,w,"10318222,10322168,10193445,10192247,10191573","535000.0,535000.0,580000.0,580000.0,580000.0","RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003"
10686340,m,w,"9712696,9938662,9403608,9403274,9403272","1230000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017"
7551990,f,h,"7743108,7992457,7994756,7991864,7992459","79200.0,77000.0,77000.0,77000.0,77000.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
