APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_p_wi,APPVAL_RECS_deberta_p_wi,FOA_RECS_deberta_p_wi
8962105,m,b,"9657194,10083763,9843530,10335171,9174325","492000.0,464000.0,492000.0,428000.0,98250.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"8721480,8336923,8732625,9123843,8890180","665000.0,685000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9494700,9177874,9812311,9706654,9319816","3000000.0,3144000.0,3000000.0,2952000.0,3000000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
9421907,f,w,"9264682,9264670,9264681,9264661,8996081","458500.0,458500.0,458500.0,458500.0,399000.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-15-004"
10017961,m,w,"10435518,10226352,10226341,10226321,10655345","535000.0,580000.0,580000.0,580000.0,515000.0","RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014"
9682510,f,w,"10378786,10665746,10491953,10595133,10595896","667000.0,592250.0,615250.0,1070000.0,1070000.0","RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-NS-22-037,RFA-NS-22-037"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"8519231,8699120,7911060,7919873,7919878","675000.0,665000.0,720000.0,720000.0,720000.0","RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025"
10686340,m,w,"9543928,9403607,9929450,10174983,10174984","1250000.0,1250000.0,1230000.0,1160000.0,1160000.0","RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017"
7551990,f,h,"9044778,9670111,9044774,9044776,9247185","122280.64,114813.12,122280.64,122280.64,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"8847623,9291406,9065464,8605381,8460025","66500.0,62500.0,65500.0,66500.0,1350000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-09-001"
8060626,m,w,"9857598,10114279,9741953,7798339,7798326","430500.0,406000.0,430500.0,4171428.78,4171428.78","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-006,RFA-DK-08-006"
9896674,f,a,"9581300,9129560,9852922,9966061,9435001","437500.0,458500.0,430500.0,430500.0,437500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"8069346,7625245,8381387,8381388,7826881","2592000.0,2628000.0,2466000.0,2466000.0,2628000.0","RFA-AA-07-002,RFA-AA-07-002,RFA-AA-07-002,RFA-AA-07-002,RFA-AA-07-002"
10676778,m,w,"8053807,8468650,7680842,7668109,7685837","576000.0,540000.0,584000.0,584000.0,584000.0","RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003"
7637363,m,w,"8004987,7612658,7876956,7806393,7884581","252000.0,262800.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"10455604,9985110,10249959,9789925,9678234","417300.0,479700.0,452400.0,479700.0,487500.0","RFA-RM-18-015,RFA-RM-18-015,RFA-RM-18-015,RFA-RM-18-015,RFA-RM-18-015"
9960850,m,w,"8265813,8037684,7643632,7643067,7637487","342500.0,350000.0,365000.0,365000.0,365000.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"10512719,10692678,9736623,9312232,9312233","481500.0,463500.0,1537500.0,1562500.0,1562500.0","RFA-DK-21-014,RFA-DK-21-014,RFA-OD-14-001,RFA-OD-14-001,RFA-OD-14-001"
9998967,m,w,"8788949,9198246,9529663,8823639,9197309","332500.0,312500.0,312500.0,332500.0,312500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"9853327,10159980,9990853,10360448,9912346","276750.0,261000.0,276750.0,240750.0,276750.0","RFA-MH-19-410,RFA-MH-19-410,RFA-MH-19-410,RFA-MH-20-202,RFA-MH-20-202"
9539516,m,w,"7912856,7886480,7759069,7759706,7759425","576000.0,576000.0,584000.0,584000.0,584000.0","RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120"
10518914,m,w,"9520064,9744635,9382042,9536742,9381725","125000.0,123000.0,125000.0,125000.0,125000.0","RFA-CA-16-015,RFA-CA-16-015,RFA-CA-16-015,RFA-CA-16-015,RFA-CA-16-015"
10770832,f,w,"8722121,8876643,9342714,9338192,9503156","266000.0,266000.0,625000.0,625000.0,625000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-14-010,RFA-CA-14-010,RFA-CA-14-010"
8380026,m,w,"7677825,7678500,8054108,7676082,7674783","1752000.0,1752000.0,1752000.0,1752000.0,1752000.0","RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069"
10592409,f,w,"8721335,8547268,8880116,8870291,8926364","266000.0,270000.0,266000.0,266000.0,266000.0","RFA-AI-12-021,RFA-AI-12-021,RFA-AI-12-021,RFA-AI-12-021,RFA-AI-12-021"
8339880,m,w,"10480007,10274937,10489744,10489769,10493321","535000.0,580000.0,535000.0,535000.0,535000.0","RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011"
9592088,m,a,"9339683,9183807,9590189,9995019,9590381","281250.0,294750.0,406250.0,399750.0,406250.0","RFA-DK-15-009,RFA-DK-15-009,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008"
10008967,m,w,"7989616,8377951,8032667,8377178,8377176","1440000.0,1370000.0,1440000.0,1370000.0,1370000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
10134972,f,w,"10336530,10557178,10151850,7755169,8309876","428000.0,412000.0,464000.0,365000.0,342500.0","RFA-AT-20-003,RFA-AT-20-003,RFA-AT-20-003,RFA-HL-09-012,RFA-HL-09-012"
8988958,f,b,"9762106,9928049,9985131,9995496,10163188","369000.0,369000.0,369000.0,369000.0,348000.0","RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007"
8535751,m,w,"8535751,8926974,8333456,8333429,8527771","67500.0,66500.0,68500.0,68500.0,67500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"10471624,10478536,10479606,10614049,10620856","385200.0,385200.0,385200.0,370800.0,370800.0","RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023"
8769602,m,a,"9927973,9597601,9753104,10165449,10413034","861000.0,875000.0,861000.0,812000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"9641707,10207407,10330028,9957603,10038351","276750.0,261000.0,240750.0,276750.0,276750.0","RFA-MH-18-706,RFA-MH-18-706,RFA-MH-18-706,RFA-MH-18-706,RFA-MH-18-706"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","875000.0,861000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"9011505,8892766,8891700,9437665,9437652","196500.0,199500.0,199500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
10541697,m,h,"10515459,10598626,10615485,10616930,10669767","214000.0,206000.0,206000.0,206000.0,206000.0","RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001"
8856535,m,w,"8641735,8209570,8448656,8307769,8822937","1330000.0,1400000.0,1350000.0,1370000.0,1330000.0","RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020"
7886873,m,w,"8307505,8532854,8707400,8014602,8149926","913790.0,900450.0000000001,887110.0,960480.0,933800.0","RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026"
10488630,f,a,"10031380,10037760,10037854,10037968,9914200","613770.0,613770.0,613770.0,613770.0,123000.0","RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-AG-19-003"
9137625,f,w,"9748859,9103992,9748858,9137623,9137625","184500.0,199500.0,184500.0,196500.0,196500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"7892950,7889020,7675307,7664608,7895625","720000.0,730000.0,730000.0,730000.0,720000.0","RFA-RR-06-003,RFA-RR-06-003,RFA-RR-06-003,RFA-RR-06-003,RFA-RR-06-003"
9485284,m,w,"10710052,10578616,10578579,10578526,10578468","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041"
8070326,m,w,"9975095,9822061,9939445,9936155,9935964","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025"
8068031,f,w,"10809411,10800561,10800499,10800500,10800504","257500.0,257500.0,257500.0,257500.0,257500.0","RFA-MD-23-001,RFA-MD-23-001,RFA-MD-23-001,RFA-MD-23-001,RFA-MD-23-001"
9961343,m,w,"9478513,9479644,9476389,9478480,9476678","468750.0,468750.0,468750.0,468750.0,468750.0","RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005"
8870884,m,h,"9627120,9627117,9627669,9627119,9627668","1000000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-CA-17-032,RFA-CA-17-032,RFA-CA-17-032,RFA-CA-17-032,RFA-CA-17-032"
9150566,m,w,"7618058,7618059,8447602,8447600,8737348","1460000.0,1460000.0,1350000.0,1350000.0,1350000.0","RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
10478136,m,w,"8281679,8053901,7868610,7617255,7617258","479500.00000000006,490000.0,511000.0,511000.0,511000.0","RFA-DK-06-018,RFA-DK-06-018,RFA-DK-06-018,RFA-DK-06-018,RFA-DK-06-018"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","772500.0,772500.0,772500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"10006152,9781464,10003929,10003928,9562020","4305000.0,4305000.0,4305000.0,4305000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
10744343,f,a,"7588443,7849076,8075097,8073440,7849074","365000.0,360000.0,350000.0,350000.0,360000.0","RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014"
10116708,f,w,"8722021,8534277,8757713,8911359,8904715","299250.0,303750.0,299250.0,299250.0,299250.0","RFA-HL-12-023,RFA-HL-12-023,RFA-HL-12-023,RFA-HL-12-023,RFA-HL-12-023"
9080334,m,w,"8915478,8915479,8475566,8475563,8475567","532000.0,532000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7659589,7624174,7673567,7673584,7667944","876000.0,876000.0,876000.0,876000.0,876000.0","RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005"
9114017,m,h,"9497756,10149230,10131127,10131128,10131129","625000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"9044149,7895656,8360478,7959574,7959573","465500.0,288000.0,280000.0,292000.0,292000.0","RFA-HG-14-006,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002"
8468754,f,w,"8604915,8825531,9022512,9245732,7631353","3192000.0,3192000.0,3144000.0,3000000.0,730000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-06-002"
7737637,m,w,"8686742,8410185,8704267,8691723,8681356","199500.0,205500.00000000003,199500.0,199500.0,199500.0","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
8664703,m,w,"7900152,8094441,8365118,8365117,8365116","6935000.0,6650000.0,6650000.0,6650000.0,6650000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"7848533,8079051,7917330,7796669,7582243","292000.0,350000.0,360000.0,360000.0,365000.0","RFA-NS-07-002,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"9507884,9119041,9108388,9347029,9305100","625000.0,655000.0,655000.0,655000.0,625000.0","RFA-RM-14-015,RFA-RM-14-015,RFA-RM-14-015,RFA-RM-14-015,RFA-RM-14-015"
