APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_r_w,APPVAL_RECS_deberta_r_w,FOA_RECS_deberta_r_w
8962105,m,b,"9843530,10335171,10083763,9657194,8805847","492000.0,428000.0,464000.0,492000.0,172900.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-12-009"
7885660,m,w,"9338933,9123843,8890180,8925858,8536036","655000.0,665000.0,665000.0,665000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9812311,9494700,9706654,9319816,9177874","3000000.0,3000000.0,2952000.0,3000000.0,3144000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
9421907,f,w,"9565384,9695908,9421907,9928385,10207946","437500.0,430500.0,437500.0,430500.0,348000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-21-002"
10017961,m,w,"10630731,10631295,10632313,10632358,10632608","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030"
9682510,f,w,"10709636,10592780,10665746,10378786,10491953","772500.0,802500.0,592250.0,667000.0,615250.0","RFA-TR-22-012,RFA-TR-22-012,RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029"
8932663,m,w,"7884497,8100298,8467802,8690240,7664619","2520000.0,2450000.0,2397500.0,2362500.0,2555000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10193969,10189368,10310529,10318222,10321967","580000.0,580000.0,535000.0,535000.0,535000.0","RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003"
10686340,m,w,"8882535,8353779,8539071,9103179,8693647","665000.0,685000.0,675000.0,655000.0,665000.0","RFA-HL-12-016,RFA-HL-12-016,RFA-HL-12-016,RFA-HL-12-016,RFA-HL-12-016"
7551990,f,h,"8874984,9257422,9469491,9469504,9469501","1064000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002"
9781466,m,w,"9739126,9903186,9736935,9737153,9738280","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002"
8060626,m,w,"10669032,10407842,10408481,10408480,10407868","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9811716,10172976,10168609,10021032,10013287","369000.0,348000.0,348000.0,369000.0,369000.0","RFA-LM-19-001,RFA-LM-19-001,RFA-LM-19-001,RFA-LM-19-001,RFA-LM-19-001"
10424380,m,a,"7886890,7886895,8120921,8120920,8120919","730000.0,720000.0,720000.0,720000.0,720000.0","RFA-AA-07-001,RFA-AA-07-001,RFA-AA-07-001,RFA-AA-07-001,RFA-AA-07-001"
10676778,m,w,"8381420,8880860,8681154,8695291,8695292","548000.0,532000.0,532000.0,532000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7798554,7884581,7876956,7798213,8004987","259200.0,259200.0,259200.0,259200.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"9491864,9072104,9249624,9307934,9330894","625000.0,655000.0,625000.0,625000.0,625000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"9878744,9655073,10101619,10228544,9645893","3936000.0,3936000.0,3712000.0,3712000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8990015,8791700,8605657,8603715,8605291","327500.0,332500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9998967,m,w,"9223715,8990015,9197309,9198246,9195132","312500.0,327500.0,312500.0,312500.0,312500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"10087002,9912346,10360448,10091323,10217030","261000.0,276750.0,240750.0,276750.0,261000.0","RFA-MH-20-202,RFA-MH-20-202,RFA-MH-20-202,RFA-MH-20-521,RFA-MH-20-521"
9539516,m,w,"7923473,7938209,8034144,8035614,7641134","1095000.0,1095000.0,1080000.0,1080000.0,1168000.0","RFA-HG-06-033,RFA-HG-06-033,RFA-HG-06-033,RFA-HG-06-033,RFA-HG-06-032"
10518914,m,w,"10001656,9964712,9752995,9752996,9752997","1845000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014"
10770832,f,w,"8722121,8876643,9248775,8917754,8336832","266000.0,266000.0,665000.0,665000.0,685000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-10-015,RFA-CA-10-015,RFA-CA-10-015"
8380026,m,w,"10016259,9354479,9354433,9344609,9352830","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10365024,10549379,9307690,9115532,9308668","255730.00000000003,246170.0,500000.0,524000.0,500000.0","RFA-HL-22-009,RFA-HL-22-009,RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012"
8339880,m,w,"7895795,7908066,7664374,7579855,7586171","2592000.0,2628000.0,2628000.0,511000.0,511000.0","RFA-AG-07-003,RFA-AG-07-003,RFA-AG-07-003,RFA-AG-06-002,RFA-AG-06-002"
9592088,m,a,"9772679,8927627,9553714,9333344,9129654","937500.0,997500.0,937500.0,937500.0,982500.0","RFA-DK-13-506,RFA-DK-13-506,RFA-DK-13-506,RFA-DK-13-506,RFA-DK-13-506"
10008967,m,w,"10288582,10288585,10684021,10684010,10459584","1160000.0,1160000.0,1030000.0,1030000.0,1070000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
10134972,f,w,"9851000,9515968,9468430,9692798,9625166","615000.0,625000.0,625000.0,615000.0,615000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
8988958,f,b,"8533617,9295016,8857449,8862500,8857459","1620000.0,1500000.0,1596000.0,1596000.0,1596000.0","RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001"
8535751,m,w,"8527771,8715796,8261637,8261836,8535751","67500.0,66500.0,70000.0,70000.0,67500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"7940935,7940949,7875387,7875425,10357382","10800000.0,10800000.0,10950000.0,10950000.0,232000.0","RFA-RR-09-009,RFA-RR-09-009,RFA-RR-09-009,RFA-RR-09-009,RFA-RM-21-007"
8769602,m,a,"7908066,7664374,7895795,7797541,7920930","2628000.0,2628000.0,2592000.0,504000.0,504000.0","RFA-AG-07-003,RFA-AG-07-003,RFA-AG-07-003,RFA-AG-06-002,RFA-AG-06-002"
