APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_o_wi,APPVAL_RECS_distilbert_o_wi,FOA_RECS_distilbert_o_wi
8962105,m,b,"9936066,9962481,10178079,10208941,10435711","430500.0,430500.0,406000.0,406000.0,406000.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"9701260,9354508,9729825,9747948,9537659","615000.0,625000.0,615000.0,615000.0,625000.0","RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036"
8722014,f,w,"9455450,9567637,9697816,9277472,9098205","375000.0,500000.0,492000.0,500000.0,524000.0","RFA-ES-17-002,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001"
9421907,f,w,"10195469,10380875,10208164,10207226,10202909","348000.0,321000.0,348000.0,348000.0,348000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"10017961,10693345,10555519,9907503,10216255","61500.0,51500.0,53500.0,61500.0,57999.99999999999","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9475566,9321301,9931275,9931288,9931291","312500.0,312500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"8264290,7638021,7940064,7692869,8997998","146000.0,146000.0,146000.0,1095000.0,393000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-07-041,RFA-CA-14-004"
8810682,m,w,"8702135,8519011,9038278,8662246,8631059","331170.0,336150.0,326190.0,331170.0,331170.0","RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007"
10686340,m,w,"10242554,10001431,9804175,9804174,9804173","1230000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"10159909,10004300,10136598,10159261,10669134","57999.99999999999,61500.0,57999.99999999999,57999.99999999999,51500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"9548545,9390021,9782700,9782699,9782697","4375000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"10666463,10407836,10407759,10407758,10407757","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9484828,9484404,9693081,9693080,9693079","1187500.0,1187500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
