APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_p_w,APPVAL_RECS_distilbert_p_w,FOA_RECS_distilbert_p_w
8962105,m,b,"9335971,9477768,9090775,9089463,9313927","562500.0,562500.0,589500.0,589500.0,562500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
7885660,m,w,"8536036,8925858,9123843,8732625,8721480","685000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9244118,9702822,9121568,9121571,9118287","1310000.0,1230000.0,1310000.0,1310000.0,1310000.0","RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010"
9421907,f,w,"7644994,7660380,7897658,7914129,7881468","438000.0,438000.0,432000.0,432000.0,432000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
10017961,m,w,"10436562,10601083,10589556,9787504,9949706","535000.0,515000.0,515000.0,615000.0,615000.0","RFA-DK-21-004,RFA-DK-21-004,RFA-DK-21-004,RFA-DK-17-031,RFA-DK-17-031"
9682510,f,w,"10759735,10760002,10759550,10709636,10592780","284038.98,284038.98,284038.98,772500.0,802500.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-TR-22-012,RFA-TR-22-012"
8932663,m,w,"7919183,8100298,8467802,8690240,7884497","2555000.0,2450000.0,2397500.0,2362500.0,2520000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9544151,9965878,10241239,9411341,9743795","462500.0,455100.0,429200.0,462500.0,455100.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10017961,9907503,10216255,10693345,10598623","61500.0,61500.0,57999.99999999999,51500.0,51500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
7551990,f,h,"9948263,10355532,10210397,10171852,10171851","922500.0,802500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
9781466,m,w,"10475130,10692634,10692639,10250428,10250429","5617500.0,5407500.0,5407500.0,6090000.0,6090000.0","RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010"
8060626,m,w,"9857598,9741953,10114279,8043877,8045219","430500.0,430500.0,406000.0,576000.0,576000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-OD-10-010,RFA-OD-10-010"
9896674,f,a,"9707610,9406051,9129560,9852922,9966061","430500.0,437500.0,458500.0,430500.0,430500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"9478869,8977241,8978023,8977971,8977737","2250000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"10684552,9906360,10617940,10017652,10019329","267500.0,307500.0,267500.0,307500.0,307500.0","RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013"
7637363,m,w,"7794928,7798552,7876956,7806393,7884581","259200.0,259200.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7927152,8535523,7725549,7727407,7726333","360000.0,337500.0,365000.0,365000.0,365000.0","RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017"
9960850,m,w,"9264661,9264681,9264670,9264682,9203123","458500.0,458500.0,458500.0,458500.0,229250.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-020"
8119772,m,w,"8494063,7738830,8136058,8304914,8305556","337500.0,365000.0,342500.0,342500.0,342500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
