APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_p_wi,APPVAL_RECS_distilbert_p_wi,FOA_RECS_distilbert_p_wi
8962105,m,b,"9657194,10083763,9843530,10335171,9319794","492000.0,464000.0,492000.0,428000.0,312500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-024"
7885660,m,w,"8536036,8541847,8721480,9123843,8925858","685000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8319863,8508283,8139121,7935200,7938880","1400000.0,1350000.0,1440000.0,1440000.0,1440000.0","RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013"
9421907,f,w,"7881468,7669343,7628465,7660380,7672236","432000.0,438000.0,438000.0,438000.0,438000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
10017961,m,w,"10518967,10519808,10706514,10708816,10643941","535000.0,535000.0,515000.0,515000.0,515000.0","RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-19-014"
9682510,f,w,"10760002,10759550,10759735,10709636,10592780","284038.98,284038.98,284038.98,772500.0,802500.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-TR-22-012,RFA-TR-22-012"
8932663,m,w,"7919183,8467802,8690240,7664619,8100298","2555000.0,2397500.0,2362500.0,2555000.0,2450000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9743795,9411341,10241239,9965878,9544151","455100.0,462500.0,429200.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"9938657,9929450,9712695,9712696,9403610","1230000.0,1230000.0,1230000.0,1230000.0,1250000.0","RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017"
7551990,f,h,"10171852,10578704,10355531,10355532,9948263","869999.9999999999,772500.0,802500.0,802500.0,922500.0","RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
9781466,m,w,"8847623,9291406,8605381,9065464,10475865","66500.0,62500.0,66500.0,65500.0,5617500.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-19-010"
8060626,m,w,"10114279,9741953,9857598,7798339,7798326","406000.0,430500.0,430500.0,4171428.78,4171428.78","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-006,RFA-DK-08-006"
