APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_electra_o_w,APPVAL_RECS_electra_o_w,FOA_RECS_electra_o_w
8962105,m,b,"9269542,9271166,9076555,9077924,9078547","250000.0,250000.0,262000.0,262000.0,262000.0","RFA-CA-15-006,RFA-CA-15-006,RFA-CA-15-006,RFA-CA-15-006,RFA-CA-15-006"
7885660,m,w,"7911405,7684273,7671509,7669240,7921317","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005,RFA-HG-07-005"
8722014,f,w,"10618984,10200405,10200242,10198354,10651389","515000.0,580000.0,580000.0,580000.0,515000.0","RFA-MH-20-525,RFA-MH-20-525,RFA-MH-20-525,RFA-MH-20-525,RFA-MH-20-525"
9421907,f,w,"10380776,10201986,10380875,10394326,10208164","321000.0,348000.0,321000.0,321000.0,348000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"10337316,9884761,10549319,10104483,9638710","534998.93,614998.77,514998.97,579998.84,614998.77","RFA-DK-17-016,RFA-DK-17-016,RFA-DK-17-016,RFA-DK-17-016,RFA-DK-17-016"
9682510,f,w,"10437398,10657758,10662508,10662507,10659234","3479999.9999999995,3090000.0,3090000.0,3090000.0,3090000.0","RFA-MD-21-007,RFA-MD-21-007,RFA-MD-21-007,RFA-MD-21-007,RFA-MD-21-007"
8932663,m,w,"9004613,8809724,9221293,8810480,8808015","393000.0,399000.0,375000.0,266000.0,266000.0","RFA-CA-14-006,RFA-CA-14-006,RFA-CA-14-006,RFA-CA-14-005,RFA-CA-14-005"
8810682,m,w,"8848144,8847406,8722779,8720831,8657324","66500.0,66500.0,66500.0,66500.0,266000.0","RFA-MH-14-200,RFA-MH-14-200,RFA-MH-14-200,RFA-MH-14-200,RFA-MH-14-140"
10686340,m,w,"10248307,9774346,9569741,9569592,9570787","1392000.0,1476000.0,1500000.0,1500000.0,1500000.0","RFA-NS-17-021,RFA-NS-17-021,RFA-NS-17-021,RFA-NS-17-021,RFA-NS-17-021"
7551990,f,h,"7885526,8296318,8294929,7647114,7647336","360000.0,342500.0,342500.0,365000.0,365000.0","RFA-ES-07-002,RFA-ES-07-002,RFA-ES-07-002,RFA-ES-07-002,RFA-ES-07-002"
9781466,m,w,"9205080,9205191,10003928,10003929,10003930","4585000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9102063,8996159,8897628,8725121,8634767","65500.0,65500.0,66500.0,66500.0,66500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"8935910,9326322,9545015,8899195,8899681","3990000.0,3750000.0,3750000.0,3990000.0,3990000.0","RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016"
10424380,m,a,"9614843,9201287,9404935,9404930,9404929","9102000.0,9250000.0,9250000.0,9250000.0,9250000.0","RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002"
10676778,m,w,"10218160,10058125,10059767,10059765,10058981","696000.0,738000.0,738000.0,738000.0,738000.0","RFA-DK-19-010,RFA-DK-19-010,RFA-DK-19-010,RFA-DK-19-010,RFA-DK-19-010"
