APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_electra_p_wi,APPVAL_RECS_electra_p_wi,FOA_RECS_electra_p_wi
8962105,m,b,"7890855,7870089,7890856,7901249,7932676","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
7885660,m,w,"7890856,7901249,7932676,7859818,7890855","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8722014,f,w,"7901249,7870089,7890855,7859818,7932676","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
9421907,f,w,"7890856,7870089,7890855,7859818,7932676","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
10017961,m,w,"7890855,7859818,7932676,7901249,7890856","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
9682510,f,w,"7870089,7890855,7859818,7932676,7901249","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8932663,m,w,"7859818,7890855,8010757,7890856,7901249","1460000.0,1460000.0,1440000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8810682,m,w,"8055615,8055202,8067537,8055215,7586542","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
10686340,m,w,"8055615,8055202,8067537,8055215,7586542","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
7551990,f,h,"7890856,8010757,7901249,7932676,7859818","1460000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
9781466,m,w,"7890855,8010757,7890856,7901249,7932676","1460000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8060626,m,w,"7901249,7890856,8010757,7859818,7890855","1460000.0,1460000.0,1440000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
