APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_o_wi,APPVAL_RECS_roberta_o_wi,FOA_RECS_roberta_o_wi
8962105,m,b,"8997188,9144844,9145766,9323560,9565173","332500.0,327500.0,327500.0,312500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"7881422,7658838,7879920,7884302,7816331","972000.0,985500.0,972000.0,972000.0,985500.0","RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007"
8722014,f,w,"9098205,9481714,9697816,9567637,9277472","524000.0,500000.0,492000.0,500000.0,500000.0","RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001"
9421907,f,w,"10430544,10430514,10641819,10650877,10616595","321000.0,321000.0,309000.0,309000.0,309000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-21-002"
10017961,m,w,"10655345,10064481,10226352,10226341,10226321","515000.0,615000.0,580000.0,580000.0,580000.0","RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014"
9682510,f,w,"9955329,9187751,9329495,9484766,9329493","430500.0,458500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"7878872,7937570,7666180,9057813,8902064","1440000.0,1460000.0,1460000.0,399000.0,399000.0","RFA-CA-07-039,RFA-CA-07-039,RFA-CA-07-039,RFA-CA-13-002,RFA-CA-13-002"
8810682,m,w,"9275476,9072471,9298934,9274940,9078026","625000.0,655000.0,655000.0,625000.0,655000.0","RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003"
10686340,m,w,"10701739,10017213,10254384,10254385,10254386","1030000.0,1230000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"8204945,7845330,7991864,7992459,7991380","75350.0,80300.0,77000.0,77000.0,77000.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8677146,9248860,9251142,9251145,9251148","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8060626,m,w,"8640161,9283513,9233082,9189723,9233081","66500.0,62500.0,62500.0,62500.0,62500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"9451958,9458597,9146144,9146142,9146140","1875000.0,1875000.0,1965000.0,1965000.0,1965000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10646261,10329891,10329889,10329888,10549791","1184500.0,1230500.0,1230500.0,1230500.0,1184500.0","RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001"
10676778,m,w,"10215389,10451723,10460470,9908046,9908053","580000.0,535000.0,535000.0,615000.0,615000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8887354,8081955,8081370,8081289,8081465","266000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7915683,7885092,7919258,7916512,7913075","720000.0,730000.0,720000.0,720000.0,720000.0","RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005"
9960850,m,w,"10641819,10650877,10430514,10430544,9565384","309000.0,309000.0,321000.0,321000.0,437500.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-17-002"
8119772,m,w,"7932083,8304914,8114182,8096559,8094448","360000.0,342500.0,350000.0,350000.0,350000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"10001896,10001677,10002558,10002511,10002492","369000.0,369000.0,369000.0,369000.0,369000.0","RFA-RM-19-006,RFA-RM-19-006,RFA-RM-19-006,RFA-RM-19-006,RFA-RM-19-006"
9935976,f,w,"8607976,9211357,8551682,8431983,9010966","664998.67,624998.75,664998.67,674998.65,654998.6900000001","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"9928298,9457476,9068428,9071558,9070234","922500.0,937500.0,982500.0,982500.0,982500.0","RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002"
10518914,m,w,"10730407,10525593,10525283,10525284,10525286","1545000.0,1605000.0,1605000.0,1605000.0,1605000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"9888974,9852303,10130485,9660552,9684606","430500.0,430500.0,406000.0,430500.0,430500.0","RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"10407757,10408484,10668993,10668992,10666477","1070000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
10592409,f,w,"9266291,9485280,10150744,10150743,9093028","20625000.0,20625000.0,19140000.0,19140000.0,21615000.0","RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016"
8339880,m,w,"8957709,9120741,9122273,9118828,9132665","99750.0,98250.0,98250.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
9592088,m,a,"10452745,9982885,10460931,10460934,10460955","802500.0,922500.0,802500.0,802500.0,802500.0","RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
10008967,m,w,"9067248,8736372,9067247,8846543,8846545","1310000.0,1330000.0,1310000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9989897,9827799,10058434,9985203,9827920","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-MH-19-240,RFA-MH-19-240,RFA-MH-19-240,RFA-MH-19-240,RFA-MH-19-240"
8988958,f,b,"9308959,9318533,9308965,9308962,9331635","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"8333419,8911300,8715797,8715796,8260907","68500.0,66500.0,66500.0,66500.0,70000.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"8168392,8167465,7797481,8167459,8167460","288000.0,288000.0,288000.0,288000.0,288000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"7822886,7825428,7622586,7629758,7662322","288000.0,288000.0,292000.0,292000.0,292000.0","RFA-AG-07-001,RFA-AG-07-001,RFA-AG-07-001,RFA-AG-07-001,RFA-AG-07-001"
10406304,f,w,"10358484,10375377,10334476,10312015,9852174","214000.0,214000.0,214000.0,214000.0,246000.0","RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012"
9987453,f,w,"10544770,10208164,10544776,10609087,10616595","309000.0,348000.0,309000.0,309000.0,309000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
9525273,m,w,"8717562,8516450,8526366,8514501,8516453","1330000.0,1350000.0,1350000.0,1350000.0,1350000.0","RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022"
10541697,m,h,"10206846,10207958,9977340,9978630,9984742","261000.0,261000.0,276750.0,276750.0,276750.0","RFA-NS-18-014,RFA-NS-18-014,RFA-NS-18-014,RFA-NS-18-014,RFA-NS-18-014"
8856535,m,w,"8730229,8543335,9220850,9261606,9315921","332500.0,337500.0,312500.0,312500.0,312500.0","RFA-MH-13-030,RFA-MH-13-030,RFA-MH-13-030,RFA-MH-13-030,RFA-MH-13-030"
7886873,m,w,"9549013,9763504,9353344,9210974,10005291","412500.0,405900.0,412500.0,432300.0,405900.0","RFA-CA-15-020,RFA-CA-15-020,RFA-CA-15-020,RFA-CA-15-020,RFA-CA-15-020"
10488630,f,a,"8758050,10701771,10514064,9787307,10432056","332500.0,515000.0,535000.0,4059000.0,3531000.0","RFA-AG-14-012,RFA-AG-22-019,RFA-AG-22-019,RFA-AG-18-021,RFA-AG-18-021"
9137625,f,w,"9103992,9748855,9102722,9103568,9098341","199500.0,184500.0,199500.0,199500.0,199500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"9193112,9309081,10238149,10619606,10062127","524000.0,500000.0,812000.0,721000.0,861000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-HD-20-001,RFA-HD-20-001,RFA-HD-20-001"
9485284,m,w,"7919835,7919771,7919873,7919878,7919879","720000.0,720000.0,720000.0,720000.0,720000.0","RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025"
8070326,m,w,"7671968,8609338,8617037,8446494,8462558","438000.0,405000.0,405000.0,405000.0,405000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
8068031,f,w,"9485172,9932830,9570692,9571049,9571053","1187500.0,1168500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"9479644,9476678,9476681,9477813,9476552","468750.0,468750.0,468750.0,468750.0,468750.0","RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005"
8870884,m,h,"8792025,8790872,8927587,8928582,8929188","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-CA-13-019,RFA-CA-13-019,RFA-CA-13-019,RFA-CA-13-019,RFA-CA-13-019"
9150566,m,w,"9130901,8935844,8830382,8829370,9149280","262000.0,266000.0,266000.0,266000.0,262000.0","RFA-HG-14-009,RFA-HG-14-009,RFA-HG-14-009,RFA-HG-14-009,RFA-HG-14-009"
10478136,m,w,"8330246,7616961,8379002,8545225,8545224","1712500.0000000002,1825000.0,1712500.0000000002,1687500.0,1687500.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","772500.0,772500.0,772500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9088209,9514748,9514736,9514752,9514751","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"9674422,9893855,9430398,9453669,9475207","615000.0,615000.0,625000.0,625000.0,625000.0","RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002"
10116708,f,w,"10567868,10573078,10572620,10572541,10572136","721000.0,721000.0,721000.0,721000.0,721000.0","RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004"
9080334,m,w,"10642789,10451721,10626809,10626807,10612118","515000.0,535000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7959811,f,h,"8123310,8359576,8359581,8359582,8129510","280000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
9114017,m,h,"8708484,8528821,8528823,8501137,8515888","718200.0,729000.0,729000.0,729000.0,729000.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8380038,m,w,"8501020,8532841,8501015,8501014,8501016","3145500.0,3145500.0,3145500.0,3145500.0,3145500.0","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
8468754,f,w,"8016853,8319431,8653603,8146167,9606864","5903998.56,5534998.65,5452998.67,5739998.6,437500.0","RFA-HL-10-008,RFA-HL-10-008,RFA-HL-10-008,RFA-HL-10-008,RFA-NR-17-004"
7737637,m,w,"7984404,8457221,8291408,8493984,8466279","216000.0,205500.00000000003,205500.00000000003,202500.0,202500.0","RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037"
8664703,m,w,"8257127,8173664,8838985,8915930,8846753","3196666.2100000004,3359999.52,3103332.89,3103332.89,3103332.89","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"8473897,8473891,8473899,8675963,8722306","1350000.0,1350000.0,1350000.0,1330000.0,1330000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
8130689,m,w,"8541875,8381698,8381699,8381700,8045887","3145500.0,3192100.0000000005,3192100.0000000005,3192100.0000000005,3355200.0","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
10495240,m,w,"9931248,8990810,9198167,8601687,8602768","276750.0,4585000.0,4375000.0,4655000.0,4655000.0","RFA-HD-16-033,RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002,RFA-AI-12-002"
9787108,m,w,"10730578,10685549,10544177,10045835,10045791","51500.0,51500.0,51500.0,61500.0,61500.0","RFA-AG-20-009,RFA-AG-20-009,RFA-AG-20-009,RFA-AG-20-009,RFA-AG-20-009"
8036022,m,w,"7670074,8549363,8465818,8440801,8465814","438000.0,405000.0,405000.0,405000.0,405000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
10359813,m,w,"8909197,8749104,8755142,9131470,9130949","665000.0,665000.0,665000.0,655000.0,655000.0","RFA-MH-14-080,RFA-MH-14-080,RFA-MH-14-080,RFA-MH-14-080,RFA-MH-14-080"
9753241,m,w,"10640195,10634606,10640200,10640197,10059739","721000.0,721000.0,721000.0,721000.0,861000.0","RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003"
8659443,m,w,"9942433,10136015,10203585,10203586,10205254","2152500.0,2030000.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9706081,f,a,"9267075,9514737,9266786,9267086,9266787","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
8698446,m,w,"7768331,8289467,8501646,8502314,7768179","781100.0,732950.0,722250.0,722250.0,781100.0","RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003"
9571058,m,h,"10150476,9693080,9696245,9696244,9696243","1102000.0,1168500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9527838,m,w,"9782483,9774603,9781897,9781894,9781889","369000.0,369000.0,369000.0,369000.0,369000.0","RFA-RM-18-008,RFA-RM-18-008,RFA-RM-18-008,RFA-RM-18-008,RFA-RM-18-008"
9994751,m,w,"9143009,9336325,9626981,9313904,9323467","327500.0,312500.0,312500.0,312500.0,312500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
10216205,m,w,"10646670,9868844,9789858,10229448,9789207","535000.0,615000.0,615000.0,580000.0,615000.0","RFA-CA-19-015,RFA-CA-19-015,RFA-CA-17-045,RFA-CA-17-045,RFA-CA-17-045"
