APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_p_wi,APPVAL_RECS_roberta_p_wi,FOA_RECS_roberta_p_wi
8962105,m,b,"9843530,10083763,9657194,10335171,9172674","492000.0,464000.0,492000.0,428000.0,98250.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"8531341,8793915,9123843,9338933,8247968","675000.0,665000.0,665000.0,655000.0,700000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9955301,10178077,9736785,9564694,9454132","615000.0,580000.0,615000.0,625000.0,625000.0","RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020"
9421907,f,w,"9421907,9695908,9565384,9928385,8572720","437500.0,430500.0,437500.0,430500.0,67500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-13-005"
10017961,m,w,"10746147,10363505,10488757,10645854,10361741","58413.36,64959.99999999999,59920.0,59920.0,64959.99999999999","RFA-DK-21-033,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"10759735,10759550,10760002,10491953,10665746","284038.98,284038.98,284038.98,615250.0,592250.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-DA-21-029,RFA-DA-21-029"
8932663,m,w,"10322155,10360627,10544320,10570305,10130683","533930.0,533930.0,513970.0,513970.0,578840.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9126064,7919769,7920494,7920498,7920499","665000.0,720000.0,720000.0,720000.0,720000.0","RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025"
10686340,m,w,"10647838,10458402,10647834,10647827,10647823","1030000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004"
7551990,f,h,"10228022,9377240,10690636,10874947,10172905","869999.9999999999,937500.0,772500.0,772500.0,869999.9999999999","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
9781466,m,w,"8847623,9291406,9065464,8605381,8462809","66500.0,62500.0,65500.0,66500.0,1027500.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-OD-12-004"
8060626,m,w,"9899079,9898962,9789262,9696564,9970219","922500.0,922500.0,615000.0,625000.0,615000.0","RFA-DK-18-023,RFA-DK-18-023,RFA-DK-18-004,RFA-DK-18-004,RFA-DK-18-004"
9896674,f,a,"9146140,9146147,9691055,9260054,9260052","1965000.0,1965000.0,1845000.0,1875000.0,1875000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10526645,10526642,10526252,10526253,10526254","1184500.0,1184500.0,1184500.0,1184500.0,1184500.0","RFA-AA-21-005,RFA-AA-21-005,RFA-AA-21-005,RFA-AA-21-005,RFA-AA-21-005"
10676778,m,w,"8380609,8532647,8532644,8475561,8479319","548000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"9891074,9251863,9240651,9234569,9240652","246000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"9136688,9349381,8609325,8609254,8609758","327500.0,312500.0,337500.0,337500.0,337500.0","RFA-RM-12-018,RFA-RM-12-018,RFA-RM-12-018,RFA-RM-12-018,RFA-RM-12-018"
9960850,m,w,"10468080,10624283,10553643,10551296,10543729","3424000.0,3296000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
