APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_r_w,APPVAL_RECS_roberta_r_w,FOA_RECS_roberta_r_w
8962105,m,b,"10644738,10713291,10727192,10728925,8625332","77250.0,77250.0,77250.0,77250.0,172900.0","RFA-HL-23-018,RFA-HL-23-018,RFA-HL-23-018,RFA-HL-23-018,RFA-HL-12-009"
7885660,m,w,"8732625,8531341,8793915,8721480,8247968","665000.0,675000.0,665000.0,665000.0,700000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8892229,8532043,8514718,8531822,8514717","665000.0,675000.0,675000.0,675000.0,675000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
9421907,f,w,"7672236,7644994,7906847,7914129,7897658","438000.0,438000.0,432000.0,432000.0,432000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
10017961,m,w,"10746147,10363505,10361741,10645854,10488757","58413.36,64959.99999999999,64959.99999999999,59920.0,59920.0","RFA-DK-21-033,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"7754922,7758622,7906022,8072575,8072576","438000.0,438000.0,432000.0,432000.0,420000.0","RFA-NR-09-001,RFA-NR-09-001,RFA-NR-09-001,RFA-NR-09-001,RFA-NR-09-001"
8932663,m,w,"9855396,9663870,10359217,10359761,10359772","437500.0,430500.0,374500.0,374500.0,374500.0","RFA-AI-17-001,RFA-AI-17-001,RFA-AI-17-001,RFA-AI-17-001,RFA-AI-17-001"
8810682,m,w,"9978087,9978910,10162653,10169501,9705804","615000.0,615000.0,580000.0,580000.0,615000.0","RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007"
10686340,m,w,"8934248,9321931,8916161,8934169,8934178","1662500.0,1562500.0,1662500.0,1662500.0,1662500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"9257400,9059079,9253397,9257398,8664392","1375000.0,1441000.0,1375000.0,1375000.0,1463000.0","RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002"
9781466,m,w,"10250429,9860326,10250440,9859555,9859559","6090000.0,6457500.0,6090000.0,6457500.0,6457500.0","RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010"
8060626,m,w,"10626043,10626039,10622641,10622638,10622635","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9451958,9675129,9675127,9675126,9675125","1875000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"7878744,7614372,7631377,7615108,7812141","360000.0,365000.0,365000.0,365000.0,360000.0","RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002"
10676778,m,w,"10183170,9920683,10612118,10612117,10612116","580000.0,615000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"10252369,10379419,10251456,10379323,10379324","232000.0,214000.0,232000.0,214000.0,214000.0","RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029,RFA-HD-21-029"
9269218,m,w,"9116910,9307934,9072264,9052201,9320330","655000.0,625000.0,655000.0,655000.0,655000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"9655073,10551296,9872123,9858268,9928349","3936000.0,3296000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9304204,9164853,9303345,9365686,9376661","250000.0,262000.0,250000.0,250000.0,250000.0","RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013"
9998967,m,w,"9223715,8990015,8808770,8788949,8823639","312500.0,327500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8551682,8607976,9010966,8431983,9211357","664998.67,664998.67,654998.6900000001,674998.65,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"9930311,10144440,9930703,10330584,10569629","307500.0,290000.0,307500.0,267500.0,257500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
10518914,m,w,"10708920,10526105,10729465,10729466,10729467","1545000.0,1605000.0,1545000.0,1545000.0,1545000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"9660552,9684606,9512284,10372955,10436179","430500.0,430500.0,437500.0,374500.0,374500.0","RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"9186195,9774039,9782908,9782907,9782904","327500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9104107,9305830,9275355,9691140,9697755","524000.0,500000.0,500000.0,492000.0,492000.0","RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027"
8339880,m,w,"9069689,9298512,9277345,9277346,9298510","1048000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-AG-15-003,RFA-AG-15-003,RFA-AG-15-003,RFA-AG-15-003,RFA-AG-15-003"
9592088,m,a,"10296363,10670199,10451808,10218145,9393649","580000.0,515000.0,535000.0,1160000.0,1250000.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-16-028,RFA-DK-16-028"
10008967,m,w,"8846545,8736371,8736372,9067244,9067246","1330000.0,1330000.0,1330000.0,1310000.0,1310000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9468430,9692798,9625166,9287534,9287024","625000.0,615000.0,615000.0,625000.0,625000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
8988958,f,b,"8512941,9295020,9288182,9292160,9297105","1620000.0,1500000.0,1500000.0,1500000.0,1500000.0","RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001"
8535751,m,w,"10015256,9535290,9562053,9769005,9768431","61500.0,62500.0,62500.0,61500.0,61500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"7939859,7848625,7854582,7853940,7854985","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-OD-09-004,RFA-OD-09-004,RFA-OD-09-004,RFA-OD-09-004,RFA-OD-09-004"
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","875000.0,861000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"9981830,10224900,9773226,9577581,9607866","615000.0,580000.0,615000.0,625000.0,625000.0","RFA-OD-17-004,RFA-OD-17-004,RFA-OD-17-004,RFA-OD-17-004,RFA-RM-17-022"
9987453,f,w,"8962105,8961416,8959886,9174325,9103741","99750.0,99750.0,99750.0,98250.0,98250.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"8301704,8478035,8513900,8248824,8130799","205500.00000000003,202500.0,202500.0,210000.0,210000.0","RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024"
10541697,m,h,"7931241,7682983,7643794,10598626,10731905","292000.0,292000.0,292000.0,206000.0,206000.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-EY-21-001,RFA-EY-21-001"
8856535,m,w,"10459932,10459930,10469111,10469110,10469109","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
7886873,m,w,"10226692,10457740,10459080,8128700,7991894","261000.0,274540.60000000003,274540.60000000003,560000.0,576000.0","RFA-HD-21-007,RFA-HD-22-010,RFA-HD-22-010,RFA-HD-09-008,RFA-HD-09-008"
10488630,f,a,"10037854,10037968,10037760,10031380,10374361","613770.0,613770.0,613770.0,613770.0,869999.9999999999","RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-AG-21-033"
9137625,f,w,"8656058,8536639,9129625,9129526,9129624","202500.0,202500.0,196500.0,196500.0,196500.0","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"8909157,8849935,8728993,8728992,8728986","1463000.0,1463000.0,1463000.0,1463000.0,1463000.0","RFA-HG-12-010,RFA-HG-12-010,RFA-HG-12-010,RFA-HG-12-010,RFA-HG-12-010"
9485284,m,w,"8450929,8894597,8664917,8469083,8306428","337500.0,332500.0,332500.0,337500.0,342500.0","RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002"
8070326,m,w,"9952311,10380759,9918856,9926819,10144931","922500.0,802500.0,922500.0,922500.0,869999.9999999999","RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017"
8068031,f,w,"10631646,10707213,10740364,10630593,8035155","515000.0,515000.0,515000.0,535000.0,360000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-10-003"
9961343,m,w,"9114396,9108541,8898568,9113735,8901734","393000.0,399000.0,399000.0,399000.0,399000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"7847346,7682324,7686060,7684003,7935616","175200.0,175200.0,175200.0,175200.0,175200.0","RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013"
9150566,m,w,"9455450,7787766,7575295,7790073,7790082","375000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-ES-17-002,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
10478136,m,w,"8115532,8327161,8730126,8114367,8928142","420000.0,411000.00000000006,399000.0,420000.0,399000.0","RFA-DK-10-502,RFA-DK-10-502,RFA-DK-10-502,RFA-DK-10-502,RFA-DK-10-502"
10343347,m,w,"10569619,10557171,10343347,10347760,10348223","772500.0,772500.0,802500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8876520,8502592,8501184,8501215,8502596","1130500.0,1147500.0,1147500.0,1147500.0,1147500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
10744343,f,a,"7688638,8087592,8087578,8104246,7690912","584000.0,576000.0,576000.0,560000.0,584000.0","RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020"
10116708,f,w,"8138172,8321540,8138112,8138267,8330276","700000.0,685000.0,700000.0,700000.0,685000.0","RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026"
9080334,m,w,"8681149,8479321,8532645,8532646,8532647","532000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7847842,7847776,7847999,7849244,7849439","438000.0,438000.0,438000.0,438000.0,438000.0","RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003"
9114017,m,h,"10562309,10563243,10564073,10565802,10440593","515000.0,515000.0,515000.0,515000.0,986000.0","RFA-AI-21-075,RFA-AI-21-075,RFA-AI-21-075,RFA-AI-21-075,RFA-AI-19-028"
8380038,m,w,"8450929,8894597,8305921,8306428,8469083","337500.0,332500.0,342500.0,342500.0,337500.0","RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002"
8468754,f,w,"8825531,9245732,8604915,9022512,7654129","3192000.0,3000000.0,3192000.0,3144000.0,730000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-06-002"
7737637,m,w,"8705846,9038249,9263887,8843779,8704267","199500.0,196500.0,187500.0,199500.0,199500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-11-018"
8664703,m,w,"8081296,8364996,7878914,7961515,7961516","3359999.52,3266666.2,3406666.18,3406666.18,3406666.18","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"7848533,7912418,8079051,8044806,8136500","292000.0,365000.0,350000.0,350000.0,350000.0","RFA-NS-07-002,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"8881515,9124602,9124604,8925805,8919250","266000.0,262000.0,262000.0,266000.0,266000.0","RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
10495240,m,w,"9978910,9978087,10169501,9705804,9735446","615000.0,615000.0,580000.0,615000.0,615000.0","RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007,RFA-HL-18-007"
9787108,m,w,"10194855,10192033,10390333,10390425,10392421","290000.0,290000.0,267500.0,267500.0,267500.0","RFA-AG-21-010,RFA-AG-21-010,RFA-AG-21-010,RFA-AG-21-010,RFA-AG-21-010"
8036022,m,w,"10565802,10564073,10563243,10562309,7670344","515000.0,515000.0,515000.0,515000.0,292000.0","RFA-AI-21-075,RFA-AI-21-075,RFA-AI-21-075,RFA-AI-21-075,RFA-AI-05-042"
10359813,m,w,"10427427,10104344,10321656,10426540,10426754","214000.0,232000.0,214000.0,214000.0,214000.0","RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351"
9753241,m,w,"7658957,7909706,7919935,7908852,9694533","1022000.0,1022000.0,1022000.0,1022000.0,250000.0","RFA-ES-07-004,RFA-ES-07-004,RFA-ES-07-004,RFA-ES-07-004,RFA-ES-17-004"
8659443,m,w,"8229227,8335406,8514610,8514609,8335408","280000.0,274000.0,270000.0,270000.0,274000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"10677987,10683504,10092367,10094836,10700147","534998.93,534998.93,614998.77,614998.77,514998.97","RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017"
8698446,m,w,"8143810,7687496,7903215,7902079,7900492","288000.0,292000.0,288000.0,288000.0,288000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
9571058,m,h,"8773274,9569857,9261389,9245567,9262763","332500.0,312500.0,312500.0,312500.0,312500.0","RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006"
9527838,m,w,"10645467,10645964,10645746,10645719,9955371","515000.0,515000.0,515000.0,515000.0,615000.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-NS-16-021"
9994751,m,w,"7658237,7643343,8068435,7900055,7886881","511000.0,511000.0,504000.0,504000.0,504000.0","RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
10216205,m,w,"9546697,9391161,9391482,9732473,9753179","250000.0,250000.0,250000.0,246000.0,246000.0","RFA-RM-16-023,RFA-RM-16-023,RFA-RM-16-023,RFA-RM-16-023,RFA-RM-16-023"
9355575,m,w,"9559643,9337386,9567936,9567511,9567510","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"8977657,10695863,10261304,10018861,10220952","11970000.0,4686500.0,5596500.0,5596500.0,4868500.0","RFA-DK-14-507,RFA-DK-18-509,RFA-DK-18-509,RFA-DK-18-509,RFA-DK-18-509"
8132845,m,w,"9192835,9193254,9693329,9693328,9693326","524000.0,524000.0,492000.0,492000.0,492000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
9561922,m,w,"8090908,8323482,8294690,7742104,7741997","360000.0,342500.0,342500.0,365000.0,365000.0","RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007"
8710052,m,w,"10492637,10330219,10330342,10487531,10700076","534998.93,579998.84,579998.84,534998.93,514998.97","RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054"
10116392,f,w,"8229227,8229848,8335406,8335408,8514609","280000.0,280000.0,274000.0,274000.0,270000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9552433,m,b,"8914169,8784175,9119535,8530163,8391950","1223600.0,1223600.0,1205200.0,1242000.0,1260400.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"8921196,9733444,9333357,9733443,9733435","299250.0,281250.0,281250.0,281250.0,281250.0","RFA-DK-13-012,RFA-DK-13-012,RFA-DK-13-012,RFA-DK-13-012,RFA-DK-13-012"
7691839,f,w,"8533716,7696442,8112678,7914248,7915505","342500.0,365000.0,350000.0,360000.0,288000.0","RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-027"
7914250,m,w,"8712344,8009669,8317544,8292196,8712343","1463000.0,1584000.0,1507000.0000000002,1507000.0000000002,1463000.0","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"7924910,7629810,7936516,7901642,7651392","1095000.0,1460000.0,1460000.0,1440000.0,1460000.0","RFA-AA-06-006,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007"
10207339,m,a,"10310690,10310697,10441633,10075866,10075865","1284000.0,1284000.0,1392000.0,1392000.0,1392000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
