APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_scibert_o_wi,APPVAL_RECS_scibert_o_wi,FOA_RECS_scibert_o_wi
8962105,m,b,"9172674,9174325,9103741,9121688,8961416","98250.0,98250.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"8536036,9338933,9123843,8890180,8925858","685000.0,655000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9853019,10330419,10549792,10086984,9667871","492000.0,428000.0,412000.0,464000.0,492000.0","RFA-ES-18-005,RFA-ES-18-005,RFA-ES-18-005,RFA-ES-18-005,RFA-ES-18-005"
9421907,f,w,"10085915,10442624,10424563,10264139,10264030","307500.0,267500.0,267500.0,290000.0,290000.0","RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044"
10017961,m,w,"10746147,10488757,10363505,10361741,10645854","58413.36,59920.0,64959.99999999999,64959.99999999999,59920.0","RFA-DK-21-033,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"9187752,9188183,9329493,9329496,9329494","458500.0,458500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"7940064,7638021,8264290,7630038,8637449","146000.0,146000.0,146000.0,1095000.0,1012500.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-08-011,RFA-CA-08-011"
8810682,m,w,"9071963,9274940,8744447,8744586,8744535","655000.0,625000.0,665000.0,665000.0,665000.0","RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003"
10686340,m,w,"8379002,7943167,8150047,7938718,8144939","1712500.0000000002,1825000.0,1800000.0,1800000.0,1750000.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"7992460,8197474,7991378,7992458,7991865","77000.0,75350.0,77000.0,77000.0,77000.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9251138,8829084,9105635,9054051,9052098","1250000.0,1330000.0,1330000.0,1310000.0,1310000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8060626,m,w,"9043032,9174084,9509442,9468370,9509440","1637500.0,1637500.0,1562500.0,1562500.0,1562500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"9750527,9450150,9449959,9447472,9728736","615000.0,625000.0,625000.0,625000.0,615000.0","RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003"
10424380,m,a,"8977739,9404936,9617184,9617185,9617186","2358000.0,2250000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"9313208,9729519,9087467,9080334,9080336","625000.0,615000.0,655000.0,655000.0,655000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7637363,m,w,"8451571,8251933,8898857,8903981,8838833","270000.0,274000.0,266000.0,266000.0,266000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"9382414,10229453,10231192,10234007,10234085","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9960850,m,w,"10195469,10191895,10380873,10208164,10207946","348000.0,348000.0,321000.0,348000.0,348000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
8119772,m,w,"7686368,8098843,7880878,7921642,7883672","438000.0,420000.0,432000.0,432000.0,432000.0","RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004"
9998967,m,w,"9773107,9751087,9750112,9750099,9750080","307500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"10817423,10818740,9549142,9763656,9694731","772500.0,772500.0,281250.0,276750.0,276750.0","RFA-MD-23-008,RFA-MD-23-008,RFA-MH-17-560,RFA-MH-17-560,RFA-MH-17-560"
9539516,m,w,"9774196,9690132,9690163,9690160,9690140","922500.0,922500.0,922500.0,922500.0,922500.0","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
10518914,m,w,"10505612,10692839,10505611,10694941,10694936","770400.0,741600.0,770400.0,741600.0,741600.0","RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038"
10770832,f,w,"8722121,8876643,8446031,8537894,8539592","266000.0,266000.0,274000.0,270000.0,270000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012"
