APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_scibert_p_w,APPVAL_RECS_scibert_p_w,FOA_RECS_scibert_p_w
8962105,m,b,"8857249,9322282,8722618,9069941,9069944","332500.0,312500.0,332500.0,327500.0,327500.0","RFA-HL-13-023,RFA-HL-13-023,RFA-HL-13-023,RFA-HL-13-023,RFA-HL-13-023"
7885660,m,w,"8536037,8541847,9123843,8890180,8925858","685000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8892229,8531822,8731270,8712452,8733120","665000.0,675000.0,665000.0,665000.0,665000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
9421907,f,w,"9085186,8580280,8580451,8853239,8878151","262000.0,270000.0,270000.0,266000.0,266000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
10017961,m,w,"9778524,8995457,9547613,9146932,9148193","1230000.0,1330000.0,1250000.0,1310000.0,1310000.0","RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010"
9682510,f,w,"10784019,10491953,10665746,10378786,10783393","256470.0,615250.0,592250.0,667000.0,256470.0","RFA-NS-22-025,RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-NS-22-022"
8932663,m,w,"7884497,8100298,7919183,7664619,8467802","2520000.0,2450000.0,2555000.0,2555000.0,2397500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"8776024,10000630,9081920,9048049,9129193","1330000.0,1230000.0,1330000.0,1330000.0,1330000.0","RFA-RM-13-012,RFA-RM-13-012,RFA-RM-13-012,RFA-RM-13-012,RFA-RM-13-012"
10686340,m,w,"9743642,9548717,10559603,8150047,7938718","270600.0,275000.0,309000.0,1800000.0,1800000.0","RFA-HD-17-001,RFA-HD-17-001,RFA-TR-21-008,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"8991314,9378106,9181407,9267742,8991919","622250.0,593750.0,593750.0,622250.0,622250.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"9205081,9205191,10003928,10003929,10003930","4585000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,10155473,10454984","430500.0,406000.0,430500.0,1160000.0,1070000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9406051,9127572,9266822,9251320,9276130","437500.0,458500.0,437500.0,437500.0,437500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"10526263,10526900,10526898,10526897,10526836","1287500.0,1287500.0,1287500.0,1287500.0,1287500.0","RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006"
10676778,m,w,"9718539,10215388,10642789,10642790,10124290","615000.0,580000.0,515000.0,515000.0,580000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8081413,8838838,8838839,8903983,8840282","280000.0,266000.0,266000.0,266000.0,266000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8294690,7742104,7741997,8091224,8091253","342500.0,365000.0,365000.0,350000.0,350000.0","RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007"
9960850,m,w,"10320983,10732857,10847801,10271147,10613911","1070000.0,1030000.0,1030000.0,1160000.0,309000.0","RFA-OD-20-023,RFA-OD-20-023,RFA-OD-20-023,RFA-OD-20-023,RFA-AI-18-042"
8119772,m,w,"8511751,8114182,8136058,8304914,8305556","337500.0,350000.0,342500.0,342500.0,342500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"8107627,7857983,8107626,7918869,7918868","1080000.0,1095000.0,1080000.0,1095000.0,1095000.0","RFA-NS-08-004,RFA-NS-08-004,RFA-NS-08-004,RFA-NS-08-004,RFA-NS-08-004"
9935976,f,w,"8729741,8657325,8657324,8896067,9278082","299250.0,266000.0,266000.0,665000.0,625000.0","RFA-MH-14-182,RFA-MH-14-140,RFA-MH-14-140,RFA-MH-14-180,RFA-MH-14-180"
9539516,m,w,"7926326,7892255,7938333,7934822,8786468","438000.0,438000.0,438000.0,438000.0,399000.0","RFA-RM-08-014,RFA-RM-08-014,RFA-RM-08-014,RFA-RM-08-014,RFA-RM-09-003"
10518914,m,w,"7583976,7941580,10178968,10410374,10304516","1460000.0,1460000.0,232000.0,214000.0,232000.0","RFA-CA-07-011,RFA-CA-07-011,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005"
10770832,f,w,"8876643,8722121,10770832,10770711,10519081","266000.0,266000.0,515000.0,515000.0,1070000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-23-013,RFA-DE-23-013,RFA-CA-21-054"
8380026,m,w,"8734406,9136088,8545842,8436395,8926397","66500.0,65500.0,67500.0,68500.0,66500.0","RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028"
10592409,f,w,"9099726,9298562,9271151,9275355,9691140","524000.0,500000.0,500000.0,500000.0,492000.0","RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027"
8339880,m,w,"8958749,8958574,9132665,9122274,9123487","99750.0,99750.0,98250.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
9592088,m,a,"10451808,10670199,10296363,9114123,9340109","535000.0,515000.0,580000.0,982500.0,937500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-12-008,RFA-DK-12-008"
10008967,m,w,"9145280,9145281,8621141,8621140,8621139","1310000.0,1310000.0,1350000.0,1350000.0,1350000.0","RFA-AR-13-012,RFA-AR-13-012,RFA-AR-13-012,RFA-AR-13-012,RFA-AR-13-012"
10134972,f,w,"9053720,9531467,9146709,9972970,9921573","1330000.0,1250000.0,1250000.0,1160000.0,1230000.0","RFA-NS-15-006,RFA-NS-15-006,RFA-NS-15-006,RFA-NS-15-006,RFA-NS-15-006"
8988958,f,b,"8898804,9061041,8769839,8768943,8768673","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-ES-13-011,RFA-ES-13-011,RFA-ES-13-011,RFA-ES-13-011,RFA-ES-13-011"
8535751,m,w,"8261836,8527771,8728845,8715797,8715796","70000.0,67500.0,66500.0,66500.0,66500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"7932712,8141235,8320216,8536794,7789192","720000.0,700000.0,685000.0,675000.0,730000.0","RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004"
8769602,m,a,"9927973,9753104,9597601,10413034,10165449","861000.0,861000.0,875000.0,749000.0,812000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"7692164,8055489,7922584,7922585,7922586","73000.0,70000.0,72000.0,72000.0,72000.0","RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080"
9987453,f,w,"9927973,10413034,9753104,9597601,10165449","861000.0,749000.0,861000.0,875000.0,812000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"9229518,8895833,8820238,9433510,9420513","625000.0,665000.0,665000.0,625000.0,625000.0","RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042"
10541697,m,h,"10704607,10610577,10610655,10610660,10610011","59740.0,62060.0,62060.0,62060.0,59740.0","RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012"
8856535,m,w,"10534936,10652615,8656447,8541680,10381475","214000.0,206000.0,266000.0,270000.0,1872500.0","RFA-MH-21-251,RFA-MH-21-251,RFA-MH-13-031,RFA-MH-13-031,RFA-AI-18-058"
7886873,m,w,"10217221,10457740,10459080,10226692,8546440","232000.0,274540.60000000003,274540.60000000003,261000.0,437400.0","RFA-HD-20-021,RFA-HD-22-010,RFA-HD-22-010,RFA-HD-21-007,RFA-HD-12-187"
10488630,f,a,"9738177,10001417,9737274,9739064,9738982","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"8459703,9108552,8459117,8460376,8520168","411000.00000000006,399000.0,411000.00000000006,411000.00000000006,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8085924,m,w,"9309081,9193112,10597886,10163701,10322700","500000.0,524000.0,515000.0,580000.0,535000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-MD-17-006,RFA-MD-17-006,RFA-MD-17-006"
9485284,m,w,"9534091,9749151,9310007,9310006,9322199","50000.0,49200.0,50000.0,50000.0,50000.0","RFA-HG-14-007,RFA-HG-14-007,RFA-HG-14-007,RFA-HG-14-007,RFA-HG-14-007"
8070326,m,w,"9068793,9294977,9319107,9437638,9246419","982500.0,937500.0,937500.0,937500.0,937500.0","RFA-AI-13-013,RFA-AI-13-013,RFA-AI-13-013,RFA-AI-13-013,RFA-AI-13-013"
8068031,f,w,"8609592,8077573,8077727,8077799,9107513","99750.0,101250.0,99750.0,99750.0,98250.0","RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001"
9961343,m,w,"9114402,8897168,8897167,8899343,8907771","393000.0,399000.0,399000.0,399000.0,399000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10371944,10372530,10551646,10551936,10552185","749000.0,749000.0,749000.0,749000.0,749000.0","RFA-CA-20-051,RFA-CA-20-051,RFA-CA-20-051,RFA-CA-20-051,RFA-CA-20-051"
9150566,m,w,"10376779,9930311,10330584,10569629,10597055","267500.0,307500.0,267500.0,257500.0,257500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
10478136,m,w,"10480840,10242081,10242886,10242885,10242883","1070000.0,1160000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"10569619,10557171,10348223,10347760,10343347","772500.0,772500.0,802500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
