APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_scibert_r_w,APPVAL_RECS_scibert_r_w,FOA_RECS_scibert_r_w
8962105,m,b,"9657194,10335171,9843530,10083763,9069941","492000.0,428000.0,492000.0,464000.0,327500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-13-023"
7885660,m,w,"8793915,8732625,8247968,9338933,8541847","665000.0,665000.0,700000.0,655000.0,675000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7867439,7664365,7664378,7672283,9706654","511000.0,511000.0,511000.0,511000.0,2952000.0","RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-MH-16-600"
9421907,f,w,"10438865,10461870,10434972,10434971,10434970","856000.0,856000.0,856000.0,856000.0,856000.0","RFA-AG-20-020,RFA-AG-20-020,RFA-AG-20-020,RFA-AG-20-020,RFA-AG-20-020"
10017961,m,w,"10326565,10654853,10324086,10324121,10680567","580000.0,515000.0,580000.0,580000.0,515000.0","RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024"
9682510,f,w,"8072931,8511844,8074915,8070478,8070477","691200.0,648000.0,691200.0,691200.0,691200.0","RFA-NR-09-002,RFA-NR-09-002,RFA-NR-09-002,RFA-NR-09-002,RFA-NR-09-002"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"8662246,8519160,8999126,9233920,9281647","331170.0,336150.0,331170.0,311250.0,311250.0","RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007"
10686340,m,w,"9114665,8890309,8907066,8894260,8929492","1637500.0,1662500.0,1662500.0,1662500.0,1662500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8650834,8249299,8451535,8466329,8451536","1463000.0,1540000.0,1485000.0,1485000.0,1485000.0","RFA-ES-10-001,RFA-ES-10-001,RFA-ES-10-001,RFA-ES-10-001,RFA-ES-10-001"
