APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_p_w,APPVAL_RECS_spanbert_p_w,FOA_RECS_spanbert_p_w
8962105,m,b,"8121658,7664318,7664326,7903390,7903386","506900.00000000006,540200.0,540200.0,532800.0,532800.0","RFA-HL-07-004,RFA-HL-07-004,RFA-HL-07-004,RFA-HL-07-004,RFA-HL-07-004"
7885660,m,w,"8536037,8721480,8247968,9338933,8541847","685000.0,665000.0,700000.0,655000.0,675000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10744467,10744468,10744469,10488765,9774333","14420000.0,14420000.0,14420000.0,10058000.0,11562000.0","RFA-OD-22-021,RFA-OD-22-021,RFA-OD-22-021,RFA-OD-16-006,RFA-OD-16-006"
9421907,f,w,"9565384,9928385,9695908,9421907,9075536","437500.0,430500.0,430500.0,437500.0,65500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-003"
10017961,m,w,"10159887,10457348,10242772,10227178,9979867","535000.0,535000.0,580000.0,580000.0,615000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10759550,10759735,10760002,10537743,10536567","284038.98,284038.98,284038.98,1070000.0,1070000.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-22-002,RFA-NS-22-002"
8932663,m,w,"10517809,10515455,10515454,10515453,10515452","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"9454227,9252101,9251760,9252096,9361622","625000.0,625000.0,625000.0,625000.0,625000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"7942848,7743153,7742945,7742455,7942856","720000.0,730000.0,730000.0,730000.0,720000.0","RFA-DK-08-004,RFA-DK-08-004,RFA-DK-08-004,RFA-DK-08-004,RFA-DK-08-004"
7551990,f,h,"9616530,9181407,8814559,8814466,8812516","593750.0,593750.0,631750.0,631750.0,631750.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"10247592,10038020,10037796,10037795,10035018","869999.9999999999,922500.0,922500.0,922500.0,922500.0","RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023"
8060626,m,w,"9857598,10114279,9741953,10633112,10618220","430500.0,406000.0,430500.0,1030000.0,1030000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9665269,9356872,9451957,9451953,9665266","1845000.0,1875000.0,1875000.0,1875000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
