APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_r_w,APPVAL_RECS_spanbert_r_w,FOA_RECS_spanbert_r_w
8962105,m,b,"7934849,8885344,7879718,7934327,8144663","360000.0,332500.0,360000.0,360000.0,350000.0","RFA-HL-10-003,RFA-HL-10-003,RFA-HL-10-003,RFA-HL-10-003,RFA-HL-10-003"
7885660,m,w,"8721480,8890180,8732625,8793915,8247968","665000.0,665000.0,665000.0,665000.0,700000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8692021,8514717,8712452,8733120,8906517","665000.0,675000.0,665000.0,665000.0,665000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
9421907,f,w,"9695908,9565384,9928385,9421907,10441514","430500.0,437500.0,430500.0,437500.0,240750.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-007"
10017961,m,w,"9636928,9627114,10159887,9774044,10242772","625000.0,625000.0,535000.0,615000.0,580000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10491953,10665746,10378786,10759550,10759735","615250.0,592250.0,667000.0,284038.98,284038.98","RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-NS-23-006,RFA-NS-23-006"
8932663,m,w,"7919183,7664619,8100298,7884497,8690240","2555000.0,2555000.0,2450000.0,2520000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10193969,10310529,10191573,10189368,10187333","580000.0,535000.0,580000.0,580000.0,580000.0","RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003"
10686340,m,w,"9146688,9114661,9126554,9114672,9135154","1637500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"9182822,9593474,9181407,8814559,8814466","593750.0,584250.0,593750.0,631750.0,631750.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"8462809,8464336,8463781,8464462,8464497","1027500.0,1027500.0,1027500.0,1370000.0,1370000.0","RFA-OD-12-004,RFA-OD-12-004,RFA-OD-12-004,RFA-OD-12-003,RFA-OD-12-003"
8060626,m,w,"9443479,9741091,9785500,9785499,9785496","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020"
9896674,f,a,"9972762,9451954,9145866,9458597,9145862","1845000.0,1875000.0,1965000.0,1875000.0,1965000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"7677333,7666251,7939058,7849341,8536992","365000.0,365000.0,365000.0,365000.0,360000.0","RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004"
10676778,m,w,"8098867,8053807,7685846,7685842,7685837","576000.0,576000.0,584000.0,584000.0,584000.0","RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003"
7637363,m,w,"7876956,7798213,8004982,8004987,7616775","259200.0,259200.0,252000.0,252000.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8338454,8338455,8221472,8222946,8725993","3562000.0000000005,3562000.0000000005,3640000.0,3640000.0,3458000.0","RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017"
9960850,m,w,"10704736,10543729,10574601,10624283,10887735","3296000.0,3296000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8145078,7646647,7650793,8151055,8128675","1008000.0,1022000.0,1022000.0,980000.0,980000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
9998967,m,w,"8605628,8988580,8802882,8802881,8791700","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8551682,8813609,8607976,9010966,8431983","664998.67,664998.67,664998.67,654998.6900000001,674998.65","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"9545258,9527152,9063076,9058544,9775236","468750.0,468750.0,491250.0,491250.0,461250.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
