APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_xlm-roberta_o_wi,APPVAL_RECS_xlm-roberta_o_wi,FOA_RECS_xlm-roberta_o_wi
8962105,m,b,"9936066,10178079,10208941,9962481,10435711","430500.0,406000.0,406000.0,430500.0,406000.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"8487420,7742856,7902093,7935280,7934585","337500.0,365000.0,360000.0,360000.0,360000.0","RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023"
8722014,f,w,"9362933,9363201,10350839,10246312,10245162","375000.0,375000.0,348000.0,348000.0,348000.0","RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007"
9421907,f,w,"9950952,9789077,10424439,9906152,9952304","492000.0,500000.0,428000.0,492000.0,492000.0","RFA-AG-18-018,RFA-AG-18-018,RFA-AG-18-018,RFA-AG-18-018,RFA-AG-18-018"
10017961,m,w,"10216255,9907503,10555519,10017961,10059105","57999.99999999999,61500.0,53500.0,61500.0,61500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9931275,9321305,9931288,9475566,9475565","307500.0,312500.0,307500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"8545485,8819875,8831618,8842948,8432959","270000.0,270000.0,266000.0,266000.0,274000.0","RFA-CA-12-002,RFA-CA-12-002,RFA-CA-12-002,RFA-CA-12-002,RFA-CA-12-002"
8810682,m,w,"8737523,7782399,8446628,8327084,8540019","1350000.0,1460000.0,1370000.0,1370000.0,1370000.0","RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023"
10686340,m,w,"7938718,8144938,8379002,8330246,8545225","1800000.0,1800000.0,1712500.0000000002,1712500.0000000002,1687500.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"7994756,7847078,7551992,7555392,7558266","77000.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9697264,9292227,9246409,9280764,9246416","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
8060626,m,w,"8639535,8133612,8458584,8473855,8473860","1662500.0,1800000.0,1687500.0,1687500.0,1687500.0","RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008"
9896674,f,a,"9571037,9484589,9739105,9733766,9733765","1187500.0,1187500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
