APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_xlm-roberta_p_wi,APPVAL_RECS_xlm-roberta_p_wi,FOA_RECS_xlm-roberta_p_wi
8962105,m,b,"10335171,9843530,9657194,10083763,10207226","428000.0,492000.0,492000.0,464000.0,348000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-AG-21-002"
7885660,m,w,"8925858,8531341,9123843,8890180,8536036","665000.0,675000.0,665000.0,665000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9307857,9960555,9097289,10450248,9730475","750000.0,738000.0,786000.0,696000.0,738000.0","RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002"
9421907,f,w,"7674704,7685277,7668382,7678962,7683013","292000.0,292000.0,292000.0,292000.0,292000.0","RFA-AG-08-001,RFA-AG-08-001,RFA-AG-08-001,RFA-AG-08-001,RFA-AG-08-001"
10017961,m,w,"10296007,10264080,10458081,10296257,10483133","116000.0,116000.0,107000.0,116000.0,107000.0","RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026"
9682510,f,w,"9860426,9942319,9828246,10132315,9976825","184500.0,184500.0,246000.0,232000.0,246000.0","RFA-NS-19-025,RFA-NS-19-036,RFA-NS-18-042,RFA-NS-18-042,RFA-NS-18-042"
8932663,m,w,"8135623,8135624,8135621,8135620,8135619","1872000.0,1872000.0,1872000.0,1872000.0,1872000.0","RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002"
8810682,m,w,"9668025,9435084,9435087,9454231,9668029","615000.0,625000.0,625000.0,625000.0,615000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"9178002,9178337,9351174,9351172,9725977","262000.0,262000.0,250000.0,250000.0,246000.0","RFA-DK-15-014,RFA-DK-15-014,RFA-DK-15-014,RFA-DK-15-014,RFA-DK-15-014"
7551990,f,h,"10641509,10248371,9734094,9372637,9377237","772500.0,869999.9999999999,922500.0,937500.0,937500.0","RFA-ES-22-002,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
9781466,m,w,"8849787,8849693,8605381,9065464,9291406","266000.0,266000.0,66500.0,65500.0,62500.0","RFA-AG-14-017,RFA-AG-14-017,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014"
8060626,m,w,"9857598,10114279,9741953,8215186,8215133","430500.0,406000.0,430500.0,280000.0,280000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-10-009,RFA-DK-10-009"
9896674,f,a,"8073856,8074269,8780399,8717236,8306593","360000.0,350000.0,332500.0,342500.0,342500.0","RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005"
10424380,m,a,"7631377,7878744,7812141,8231792,7882867","365000.0,360000.0,360000.0,360000.0,365000.0","RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002"
10676778,m,w,"8695291,8479319,8532644,8380612,8380605","532000.0,540000.0,540000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8903983,8081515,8081289,8081465,8081510","266000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"9491864,9306895,9330894,9307934,9529679","625000.0,625000.0,625000.0,625000.0,625000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"10441514,10263239,10045725,7683013,7678962","240750.0,261000.0,276750.0,292000.0,292000.0","RFA-AG-20-007,RFA-AG-20-007,RFA-AG-20-007,RFA-AG-08-001,RFA-AG-08-001"
8119772,m,w,"8921196,9530854,9733443,9333357,9529788","299250.0,281250.0,281250.0,281250.0,281250.0","RFA-DK-13-012,RFA-DK-13-012,RFA-DK-13-012,RFA-DK-13-012,RFA-DK-13-012"
9998967,m,w,"10168134,10583460,10583463,10583468,10583470","1739999.9999999998,1545000.0,1545000.0,1545000.0,1545000.0","RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001"
9935976,f,w,"10744578,10744678,10743669,8929385,8664432","1030000.0,1030000.0,1030000.0,665000.0,665000.0","RFA-MH-22-190,RFA-MH-22-190,RFA-MH-22-190,RFA-MH-11-080,RFA-MH-11-080"
9539516,m,w,"10186749,10144440,10597055,10569629,9930703","290000.0,290000.0,257500.0,257500.0,307500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
10518914,m,w,"9703434,9703435,7649476,7847547,7614367","184500.0,184500.0,365000.0,360000.0,365000.0","RFA-CA-18-009,RFA-CA-18-009,RFA-CA-07-036,RFA-CA-07-036,RFA-CA-07-036"
10770832,f,w,"8722121,8876643,10705098,10706501,10706497","266000.0,266000.0,1236000.0,1236000.0,1236000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029"
8380026,m,w,"10016264,9547385,9562076,9564871,9868106","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9960555,9517894,9097289,9307857,9730475","738000.0,750000.0,786000.0,750000.0,738000.0","RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002"
8339880,m,w,"10413034,9927973,10165449,9753104,9597601","749000.0,861000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9592088,m,a,"9995019,9774045,9774041,10004030,9776511","399750.0,399750.0,399750.0,399750.0,399750.0","RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008"
10008967,m,w,"8128555,7932344,7917473,7917472,7917471","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
10134972,f,w,"8113934,8516568,8516569,8485648,8470221","105000.0,101250.0,101250.0,101250.0,101250.0","RFA-HL-10-012,RFA-HL-10-012,RFA-HL-10-012,RFA-HL-10-012,RFA-HL-10-012"
8988958,f,b,"9914831,10151613,9735301,10392985,9527943","492000.0,464000.0,492000.0,412000.0,500000.0","RFA-ES-17-005,RFA-ES-17-005,RFA-ES-17-005,RFA-ES-17-005,RFA-ES-17-005"
8535751,m,w,"8435054,9189072,9188204,9535290,9562053","411000.00000000006,65500.0,65500.0,62500.0,62500.0","RFA-DK-11-031,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"9689710,10227063,10456284,10462502,10471187","1375000.0,1276000.0,1177000.0,1177000.0,1177000.0","RFA-DK-17-511,RFA-DK-17-511,RFA-DK-17-511,RFA-DK-17-511,RFA-DK-17-511"
8769602,m,a,"8261827,8728671,8527853,8521390,8338911","420000.0,399000.0,405000.0,405000.0,411000.00000000006","RFA-NR-11-006,RFA-NR-11-006,RFA-NR-11-006,RFA-NR-11-006,RFA-NR-11-006"
10406304,f,w,"8332323,8134453,8268550,8298651,8269924","68500.0,70000.0,68500.0,68500.0,68500.0","RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","875000.0,861000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"9117861,9462040,9116592,9117672,9274154","196500.0,187500.0,196500.0,196500.0,187500.0","RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019"
10541697,m,h,"8826908,8935952,8827925,8828404,9107924","399000.0,399000.0,399000.0,399000.0,393000.0","RFA-MH-14-217,RFA-MH-14-217,RFA-MH-14-217,RFA-MH-14-217,RFA-MH-14-217"
8856535,m,w,"7904379,7737500,8317625,8306916,8311679","219000.0,219000.0,205500.00000000003,205500.00000000003,205500.00000000003","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
7886873,m,w,"8149926,8014602,8707400,8699693,8307505","933800.0,960480.0,887110.0,887110.0,913790.0","RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026"
10488630,f,a,"9914200,10145316,9737274,9737247,9737038","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"9336710,9137622,9748854,9546414,9546410","187500.0,196500.0,184500.0,187500.0,187500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"10630618,10701083,8079784,7916508,7650362","133750.0,128750.0,360000.0,360000.0,365000.0","RFA-LM-22-001,RFA-LM-22-001,RFA-TW-06-003,RFA-TW-06-003,RFA-TW-06-003"
9485284,m,w,"8382376,8382374,8856283,8702454,8118225","2260500.0,2260500.0,2992500.0,2992500.0,280000.0","RFA-RM-10-003,RFA-RM-10-003,RFA-GM-14-002,RFA-GM-14-002,RFA-RM-09-009"
8070326,m,w,"10363481,10363478,10541228,10540815,10540802","85600.0,85600.0,82400.0,82400.0,82400.0","RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056"
8068031,f,w,"7834884,8069361,7806251,7938966,7938944","365000.0,350000.0,365000.0,360000.0,360000.0","RFA-MD-09-004,RFA-MD-09-004,RFA-MD-09-004,RFA-MD-09-004,RFA-MD-09-004"
9961343,m,w,"8542778,8542789,8507361,8509958,8509909","135000.0,135000.0,137000.0,137000.0,137000.0","RFA-FD-12-026,RFA-FD-12-026,RFA-FD-12-026,RFA-FD-12-026,RFA-FD-12-026"
8870884,m,h,"10274206,10269806,10684249,10630334,10463711","232000.0,232000.0,206000.0,206000.0,214000.0","RFA-CA-20-028,RFA-CA-20-028,RFA-CA-20-028,RFA-CA-20-028,RFA-CA-20-028"
9150566,m,w,"10558509,10560333,9455450,10598566,9948263","489250.0,489250.0,375000.0,772500.0,922500.0","RFA-ES-21-007,RFA-ES-21-007,RFA-ES-17-002,RFA-ES-19-007,RFA-ES-19-007"
10478136,m,w,"10855076,10573677,10571074,10573727,10701030","412000.0,428000.0,428000.0,428000.0,412000.0","RFA-FD-22-001,RFA-FD-22-001,RFA-FD-22-001,RFA-FD-22-001,RFA-FD-22-001"
10343347,m,w,"10557171,10343347,10569619,10348223,10347760","772500.0,802500.0,772500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9562023,9390014,10003928,10003929,10003930","4375000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
10744343,f,a,"10829018,10827737,10827292,7588443,7849076","643750.0,643750.0,643750.0,365000.0,360000.0","RFA-HS-23-005,RFA-HS-23-005,RFA-HS-23-005,RFA-DA-08-014,RFA-DA-08-014"
10116708,f,w,"8118856,7663159,7882577,10449395,9978112","350000.0,365000.0,360000.0,53500.0,61500.0","RFA-DE-08-001,RFA-DE-08-001,RFA-DE-08-001,RFA-HL-18-010,RFA-HL-18-010"
9080334,m,w,"8894410,8479320,8479319,8475561,8532644","532000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"9751992,10405484,10445002,9919008,9922141","492000.0,428000.0,428000.0,492000.0,492000.0","RFA-NS-18-003,RFA-NS-18-003,RFA-NS-18-003,RFA-NS-18-003,RFA-NS-18-003"
9114017,m,h,"9011086,8620607,8511042,8510985,8511238","399000.0,399000.0,405000.0,405000.0,405000.0","RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020"
8380038,m,w,"10669218,10487583,10019547,10020411,10021662","257500.0,267500.0,307500.0,307500.0,307500.0","RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002"
8468754,f,w,"8825531,9245732,9022512,8604915,10650337","3192000.0,3000000.0,3144000.0,3192000.0,154500.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-19-026"
7737637,m,w,"7988553,8075656,8248824,8513900,8489257","216000.0,210000.0,210000.0,202500.0,202500.0","RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024,RFA-AI-09-024"
8664703,m,w,"8365223,8092807,8365090,8365091,8365092","6650000.0,6650000.0,6650000.0,6650000.0,6650000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"9811165,9812865,9813191,9813589,9813714","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-RM-18-021,RFA-RM-18-021,RFA-RM-18-021,RFA-RM-18-021,RFA-RM-18-021"
8130689,m,w,"7673567,7877864,7624174,7686727,7687923","876000.0,864000.0,876000.0,876000.0,876000.0","RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005"
10495240,m,w,"7620440,7810562,8529834,8291165,8282632","365000.0,360000.0,342500.0,342500.0,342500.0","RFA-HD-07-020,RFA-HD-07-020,RFA-HD-07-020,RFA-HD-07-020,RFA-HD-07-020"
9787108,m,w,"9057934,8709733,8712256,8712022,9022388","294750.0,299250.0,299250.0,299250.0,294750.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
8036022,m,w,"8725044,8511008,8510985,8511238,8511124","399000.0,405000.0,405000.0,405000.0,405000.0","RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020,RFA-AI-12-020"
10359813,m,w,"10447770,10092863,10256746,10643965,9844775","8203333.69,9430000.41,8893333.719999999,1030000.0,1230000.0","RFA-MH-20-340,RFA-MH-20-340,RFA-MH-20-340,RFA-MH-19-242,RFA-MH-19-242"
9753241,m,w,"9332271,9325331,9325314,9320921,9320543","917000.0,875000.0,875000.0,875000.0,875000.0","RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008,RFA-ES-14-008"
8659443,m,w,"8432962,8433149,8433134,8433150,8433122","685000.0,685000.0,675000.0,675000.0,685000.0","RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004"
9706081,f,a,"10515569,10673857,10698166,10509428,10515457","533930.0,513970.0,513970.0,533930.0,533930.0","RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006"
8698446,m,w,"8951512,9533890,9747330,9324029,9114642","357770.0,336250.0,330870.0,336250.0,352390.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"7777011,7777466,8698872,8402948,8368814","584000.0,584000.0,560000.0,540000.0,548000.0","RFA-EB-09-001,RFA-EB-09-001,RFA-EB-09-001,RFA-EB-09-001,RFA-EB-09-001"
9527838,m,w,"9191208,9537708,9494704,9505998,9506825","524000.0,500000.0,500000.0,500000.0,500000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
9994751,m,w,"7667944,7688086,7659589,7663873,7648074","876000.0,876000.0,876000.0,876000.0,876000.0","RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005,RFA-HL-07-005"
10216205,m,w,"9747840,9966931,9590338,9391482,9532809","393600.0,393600.0,400000.0,250000.0,250000.0","RFA-RM-17-030,RFA-RM-17-030,RFA-RM-17-030,RFA-RM-16-023,RFA-RM-16-023"
9355575,m,w,"9337385,9560704,9337096,9368956,9337097","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10626064,10626077,10407759,10407758,10407757","1030000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
8132845,m,w,"7676017,7686168,7906058,7906765,7907542","219000.0,219000.0,216000.0,216000.0,216000.0","RFA-DA-06-010,RFA-DA-06-010,RFA-DA-06-010,RFA-DA-06-010,RFA-DA-06-010"
9561922,m,w,"7677989,7908145,7880349,7665031,7662466","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
8710052,m,w,"8379786,8710067,8722468,8710063,8734339","4384000.0,4256000.0,4256000.0,4256000.0,4256000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"9440248,9439849,9646356,9626424,10304211","437500.0,437500.0,430500.0,430500.0,406000.0","RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001,RFA-ES-17-001"
9552433,m,b,"8743231,9136225,8576339,8908033,9139742","465500.0,458500.0,472500.00000000006,465500.0,1310000.0","RFA-RM-12-007,RFA-RM-12-007,RFA-RM-12-007,RFA-RM-12-007,RFA-RM-12-006"
8907762,m,h,"10216549,10217542,10216693,10217304,10216469","116000.0,116000.0,116000.0,116000.0,116000.0","RFA-RM-20-019,RFA-RM-20-019,RFA-RM-20-019,RFA-RM-20-019,RFA-RM-20-019"
