APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_xlm-roberta_r_w,APPVAL_RECS_xlm-roberta_r_w,FOA_RECS_xlm-roberta_r_w
8962105,m,b,"9657194,10335171,9843530,10083763,10696203","492000.0,428000.0,492000.0,464000.0,123600.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-20-006"
7885660,m,w,"8793915,8541847,9123843,8890180,8925858","665000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9292356,8822523,9059157,8927672,7768334","427800.0,455179.2,448334.4,455179.2,365000.0","RFA-HL-14-021,RFA-HL-14-021,RFA-HL-14-021,RFA-HL-14-021,RFA-HL-04-035"
9421907,f,w,"8572720,8720662,9264670,9264682,9264661","67500.0,66500.0,458500.0,458500.0,458500.0","RFA-AG-13-005,RFA-AG-13-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005"
10017961,m,w,"8693334,9109755,8892168,8893071,8897362","675000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"10537743,10536567,10759735,10759550,10760002","1070000.0,1070000.0,284038.98,284038.98,284038.98","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006"
8932663,m,w,"10544320,10130683,10130852,10322155,10360627","513970.0,578840.0,578840.0,533930.0,533930.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9333488,9911989,9459404,9767599,9692273","375000.0,369000.0,375000.0,369000.0,369000.0","RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011"
10686340,m,w,"10051557,10050801,10007190,10137988,10200875","246000.0,246000.0,246000.0,214000.0,232000.0","RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007"
7551990,f,h,"9937807,10219250,9566197,9557490,9552850","922500.0,869999.9999999999,937500.0,937500.0,937500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
9781466,m,w,"10402548,10250343,9548545,9548544,9562025","4060000.0,4060000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9741953,10114279,9857598,8251834,8251714","430500.0,406000.0,430500.0,70000.0,70000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-11-007,RFA-DK-11-007"
9896674,f,a,"9406051,9254607,9728735,9707610,9637251","437500.0,437500.0,430500.0,430500.0,430500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"9786663,10093985,10442642,10470008,10470009","1414500.0,1334000.0,1230500.0,1230500.0,1230500.0","RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001"
10676778,m,w,"8098867,8459887,7685842,7685846,7685849","576000.0,540000.0,584000.0,584000.0,584000.0","RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003"
