APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_o_w,APPVAL_RECS_albert_o_w,FOA_RECS_albert_o_w
8962105,m,b,"7755519,7753567,7900938,7903201,8102973","2044000.0,2044000.0,2016000.0,2016000.0,1960000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"9066226,8576608,8846664,9061818,9061807","1087300.0,1120500.0,1103900.0,1087300.0,1087300.0","RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014"
8722014,f,w,"7766783,7919369,8137529,8539620,8387978","949000.0,936000.0,936000.0,270000.0,274000.0","RFA-HG-09-004,RFA-HG-09-004,RFA-HG-09-004,RFA-ES-11-010,RFA-ES-11-010"
9421907,f,w,"10650877,10641819,10430544,10430514,9264682","309000.0,309000.0,321000.0,321000.0,458500.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-16-005"
10017961,m,w,"10729390,9081590,9352415,9547631,9334851","618000.0,1310000.0,1310000.0,1250000.0,1250000.0","RFA-DK-22-009,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013"
9682510,f,w,"9475564,9188332,9686783,9682512,9682511","312500.0,327500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"10173403,10631901,10398180,10613211,10174448","348000.0,309000.0,321000.0,309000.0,232000.0","RFA-CA-20-020,RFA-CA-20-020,RFA-CA-20-020,RFA-CA-22-004,RFA-CA-20-019"
8810682,m,w,"10000630,9332194,9564665,9557797,9126605","1230000.0,1250000.0,1250000.0,1250000.0,1310000.0","RFA-RM-13-012,RFA-RM-13-012,RFA-RM-13-012,RFA-RM-13-012,RFA-RM-13-012"
10686340,m,w,"10458160,10646377,10458158,10647834,10647827","1070000.0,1030000.0,1070000.0,1030000.0,1030000.0","RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004"
7551990,f,h,"10159261,10359841,10401934,10474273,10004281","57999.99999999999,53500.0,53500.0,53500.0,61500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"8829078,9052098,9052094,9067179,9053395","1330000.0,1310000.0,1310000.0,1310000.0,1310000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8060626,m,w,"8310461,9069807,8310462,8902119,8902118","1712500.0000000002,1637500.0,1712500.0000000002,1662500.0,1662500.0","RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002"
9896674,f,a,"9451946,9451958,9921219,9921222,9921223","1875000.0,1875000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"9830536,10075854,10075850,10067500,10067499","1537500.0,1450000.0,1450000.0,1450000.0,1450000.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"10642790,10612117,10460470,9908046,9908053","515000.0,515000.0,535000.0,615000.0,615000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8638050,8081289,8081510,8081493,8081413","266000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"10214461,9973203,10438803,9810824,10564169","290000.0,307500.0,267500.0,307500.0,721000.0","RFA-RM-18-024,RFA-RM-18-024,RFA-RM-18-024,RFA-RM-18-024,RFA-HG-20-014"
9960850,m,w,"8429436,7782686,7770832,7905270,8526319","337500.0,360000.0,360000.0,365000.0,337500.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"8304914,8511751,7932149,7936219,8114182","342500.0,337500.0,360000.0,360000.0,350000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"8605628,9195127,8605657,8603715,8605291","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8644947,8330544,8456143,8729741,8329146","299250.0,308250.0,303750.0,299250.0,685000.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-14-182,RFA-MH-12-060"
9539516,m,w,"7852597,7847999,7852463,7853987,7855815","438000.0,438000.0,438000.0,438000.0,438000.0","RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003"
10518914,m,w,"10492030,10272387,10492022,10492024,10272393","1284000.0,1392000.0,1284000.0,1284000.0,1392000.0","RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029,RFA-CA-20-029"
10770832,f,w,"8876643,8722121,7632118,7846929,7767720","266000.0,266000.0,255500.0,255500.0,1080000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-07-022,RFA-CA-07-022,RFA-CA-07-010"
8380026,m,w,"9353763,9782907,9782903,9186926,9186358","312500.0,307500.0,307500.0,327500.0,327500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10666320,10462792,10191939,10191938,10191937","1070000.0,1070000.0,1160000.0,1160000.0,1160000.0","RFA-AI-20-009,RFA-AI-20-009,RFA-AI-20-009,RFA-AI-20-009,RFA-AI-20-009"
8339880,m,w,"8319516,8146182,8723019,8014657,8013778","274000.0,280000.0,266000.0,288000.0,288000.0","RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011"
9592088,m,a,"10002340,10218147,10002338,10002339,10218145","1230000.0,1160000.0,1230000.0,1230000.0,1160000.0","RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028"
10008967,m,w,"8975954,9705806,9137309,8975295,8975957","1330000.0,1230000.0,1330000.0,1330000.0,1330000.0","RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002"
10134972,f,w,"9320071,9547030,10098064,10134972,10177830","937500.0,937500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"9060055,9061068,9062030,9061100,9062196","10640000.0,10640000.0,10640000.0,10640000.0,10640000.0","RFA-ES-15-009,RFA-ES-15-009,RFA-ES-15-009,RFA-ES-15-009,RFA-ES-15-009"
8535751,m,w,"10747107,10649829,10614049,10478536,10479606","154500.0,139050.0,370800.0,385200.0,385200.0","RFA-DK-22-002,RFA-DK-22-004,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023"
7959773,f,w,"8360576,8360159,8360572,8360574,8360575","280000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007,RFA-RR-08-007"
8769602,m,a,"8339951,8517546,8341640,8341989,8339608","68500.0,67500.0,68500.0,68500.0,68500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
10406304,f,w,"8299469,8152818,8542864,8366716,8707492","308250.0,315000.0,337500.0,342500.0,332500.0","RFA-MH-10-050,RFA-MH-10-050,RFA-GM-12-002,RFA-GM-12-002,RFA-GM-12-002"
9987453,f,w,"8517546,8340712,8340606,8340905,8341988","67500.0,68500.0,68500.0,68500.0,68500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
