APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_o_wi,APPVAL_RECS_albert_o_wi,FOA_RECS_albert_o_wi
8962105,m,b,"9565173,8997188,9144844,9145766,9323560","312500.0,332500.0,327500.0,327500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"10308198,10480792,10693795,7675391,7991555","579998.84,534998.93,514998.97,511000.0,504000.0","RFA-HD-21-006,RFA-HD-21-006,RFA-HD-21-006,RFA-DK-05-014,RFA-DK-05-014"
8722014,f,w,"7741691,7551991,7547058,7991864,7551996","79200.0,80300.0,80300.0,77000.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9421907,f,w,"9695908,9565384,9421907,9928385,9264682","430500.0,437500.0,437500.0,430500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
10017961,m,w,"9907503,10059105,10017961,10555519,10059131","61500.0,61500.0,61500.0,53500.0,61500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9188418,9321301,9924653,9924655,9926927","327500.0,312500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"10220891,10019478,9217469,9933546,9476215","754000.0,799500.0,812500.0,799500.0,812500.0","RFA-CA-15-024,RFA-CA-15-024,RFA-CA-15-024,RFA-CA-15-024,RFA-CA-15-024"
8810682,m,w,"7676020,7680208,7674024,7670340,7678587","438000.0,438000.0,438000.0,438000.0,438000.0","RFA-HS-08-003,RFA-HS-08-003,RFA-HS-08-003,RFA-HS-08-003,RFA-HS-08-003"
10686340,m,w,"10647827,10458399,10647838,10458158,10458160","1030000.0,1070000.0,1030000.0,1070000.0,1070000.0","RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004"
7551990,f,h,"7741691,7551990,7558266,7551996,7547058","79200.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9462725,9248853,9261446,9259903,9259901","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8060626,m,w,"9691306,9657008,9657018,9657017,9657016","1230000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020,RFA-DK-16-020"
9896674,f,a,"9414454,9404755,9356804,9356808,9196547","1875000.0,1875000.0,1875000.0,1875000.0,1965000.0","RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014"
10424380,m,a,"9393241,9831045,9836782,9836781,9836779","1562500.0,1537500.0,1537500.0,1537500.0,1537500.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"7668115,8044801,7668798,7680823,7680819","584000.0,576000.0,584000.0,584000.0,584000.0","RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003"
7637363,m,w,"8638038,8081491,8638048,8654352,8638040","266000.0,280000.0,266000.0,266000.0,266000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"9810824,10214461,9973203,10438803,10564169","307500.0,290000.0,307500.0,267500.0,721000.0","RFA-RM-18-024,RFA-RM-18-024,RFA-RM-18-024,RFA-RM-18-024,RFA-HG-20-014"
9960850,m,w,"9655073,10553643,10551296,10543729,10186853","3936000.0,3296000.0,3296000.0,3296000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9480206,9532081,9089977,9088344,9090070","375000.0,375000.0,393000.0,393000.0,393000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
9998967,m,w,"9137060,9478451,9346605,9314607,9321351","327500.0,312500.0,312500.0,312500.0,312500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
9935976,f,w,"8729741,8644947,8456143,8330544,8644944","299250.0,299250.0,303750.0,308250.0,665000.0","RFA-MH-14-182,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-060"
9539516,m,w,"8354652,8355129,8355743,8355141,8335509","411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005"
10518914,m,w,"10729422,10526101,10704615,10704611,10704609","1545000.0,1605000.0,1545000.0,1545000.0,1545000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"10437469,10437534,10213480,10271164,10130485","267500.0,267500.0,290000.0,174000.0,406000.0","RFA-CA-19-049,RFA-CA-19-049,RFA-CA-19-049,RFA-CA-20-021,RFA-DE-18-004"
8380026,m,w,"8469468,8469497,9049477,8469493,8469482","1687500.0,1687500.0,1637500.0,1687500.0,1687500.0","RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002"
10592409,f,w,"9893785,10134712,10371234,10371233,10371232","184500.0,184500.0,160500.0,160500.0,160500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
8339880,m,w,"8013778,8145685,8527661,8528440,8477078","288000.0,280000.0,270000.0,270000.0,270000.0","RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011,RFA-AG-10-011"
9592088,m,a,"10020393,9929918,9385115,9963206,10163167","615000.0,615000.0,937500.0,922500.0,869999.9999999999","RFA-DK-19-501,RFA-DK-19-501,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031"
10008967,m,w,"9119606,9705808,9705810,9705811,9736795","1310000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002"
10134972,f,w,"9423472,9429510,9421467,9616204,9608805","405000.0,405000.0,405000.0,398520.0,398520.0","RFA-HL-18-002,RFA-HL-18-002,RFA-HL-18-002,RFA-HL-18-002,RFA-HL-18-002"
8988958,f,b,"9139912,9308963,9139905,9341298,9139900","1637500.0,1562500.0,1637500.0,1562500.0,1637500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"9769005,9987622,10015256,9189072,9188204","61500.0,61500.0,61500.0,65500.0,65500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
