APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_r_w,APPVAL_RECS_albert_r_w,FOA_RECS_albert_r_w
8962105,m,b,"9234330,10071191,9410527,9403239,9968573","375000.0,348000.0,375000.0,375000.0,369000.0","RFA-HL-17-008,RFA-HL-17-008,RFA-HL-17-008,RFA-HL-17-008,RFA-HL-17-008"
7885660,m,w,"8890180,9123843,8536036,8536037,8336923","665000.0,665000.0,685000.0,685000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8768514,8768959,9312392,8768204,8767346","1330000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002"
9421907,f,w,"9421916,9856244,9937636,10166753,10174655","312500.0,312500.0,307500.0,290000.0,290000.0","RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040"
10017961,m,w,"9459535,9459450,10264921,10133436,10296007","437500.0,437500.0,116000.0,123000.0,116000.0","RFA-DK-17-004,RFA-DK-17-004,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026"
9682510,f,w,"8912367,9519544,9293252,9101967,8754186","465500.0,437500.0,437500.0,458500.0,465500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","2397500.0,2362500.0,2555000.0,2555000.0,2450000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9411341,9544151,9743795,9965878,10241239","462500.0,462500.0,455100.0,455100.0,429200.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"9536061,9357648,9357649,9357642,9356533","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-HD-16-009,RFA-HD-16-009,RFA-HD-16-009,RFA-HD-16-009,RFA-HD-16-009"
7551990,f,h,"10430118,10430120,10015282,10015284,10646273","749000.0,749000.0,861000.0,861000.0,721000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
9781466,m,w,"8053611,7892997,7892342,7892341,7647927","1080000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
8060626,m,w,"9723112,9724438,9723113,9723111,9723109","922500.0,922500.0,922500.0,922500.0,922500.0","RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010"
9896674,f,a,"8499063,8334556,8278847,8688806,8677621","1012500.0,1027500.0,1050000.0,997500.0,997500.0","RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005"
10424380,m,a,"9830550,9608709,9608707,9608703,9608701","1414500.0,1414500.0,1414500.0,1414500.0,1414500.0","RFA-AA-17-001,RFA-AA-17-001,RFA-AA-17-001,RFA-AA-17-001,RFA-AA-17-001"
10676778,m,w,"10215388,9959331,10124290,10642790,10642789","580000.0,615000.0,580000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"9072287,9070948,9234570,9244044,9229560","262000.0,262000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"8338454,8338455,8545885,8221472,8222946","3562000.0000000005,3562000.0000000005,3510000.0,3640000.0,3640000.0","RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017,RFA-RM-10-017"
9960850,m,w,"9645893,10101619,9838705,10468080,10330573","3936000.0,3712000.0,3936000.0,3424000.0,3424000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7932085,8096559,7740475,7740575,7739537","360000.0,350000.0,365000.0,365000.0,365000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"10745380,7932151,7740575,8136058,8304914","334750.0,360000.0,365000.0,342500.0,342500.0","RFA-TR-22-032,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9935976,f,w,"10686097,10442765,10479062,10632081,10327920","231750.0,240750.0,240750.0,231750.0,261000.0","RFA-MH-21-150,RFA-MH-21-150,RFA-MH-21-150,RFA-MH-21-150,RFA-MH-21-150"
