APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_r_wi,APPVAL_RECS_albert_r_wi,FOA_RECS_albert_r_wi
8962105,m,b,"10335171,9843530,10083763,9657194,9998015","428000.0,492000.0,464000.0,492000.0,369000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-18-024"
7885660,m,w,"9338933,8536037,8890180,9123843,8721480","655000.0,685000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8413786,8391430,8311964,8311941,8312849","245000.0,245000.0,245000.0,245000.0,245000.0","RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-007,RFA-MD-11-007"
9421907,f,w,"9565384,9695908,9421907,9928385,9895594","437500.0,430500.0,437500.0,430500.0,553500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-001"
10017961,m,w,"9459535,9459450,10518967,10708816,10706514","437500.0,437500.0,535000.0,515000.0,515000.0","RFA-DK-17-004,RFA-DK-17-004,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016"
9682510,f,w,"10537743,10536567,10709636,10592780,10760002","1070000.0,1070000.0,772500.0,802500.0,284038.98","RFA-NS-22-002,RFA-NS-22-002,RFA-TR-22-012,RFA-TR-22-012,RFA-NS-23-006"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10598379,10598939,10598374,10598376,10598770","824000.0,824000.0,824000.0,824000.0,824000.0","RFA-CA-22-011,RFA-CA-22-011,RFA-CA-22-011,RFA-CA-22-011,RFA-CA-22-011"
10686340,m,w,"7657333,7849039,7862568,7897916,7849041","365000.0,360000.0,360000.0,360000.0,360000.0","RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004"
7551990,f,h,"10015284,10430120,10015282,10646273,10646279","861000.0,749000.0,861000.0,721000.0,721000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
9781466,m,w,"10415065,10204491,10624969,8014487,8014491","5564000.0,6032000.0,5356000.0,1440000.0,1440000.0","RFA-AG-21-014,RFA-AG-21-014,RFA-AG-21-014,RFA-AG-10-002,RFA-AG-10-002"
8060626,m,w,"9741953,10114279,9857598,7798339,7798326","430500.0,406000.0,430500.0,4171428.78,4171428.78","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-006,RFA-DK-08-006"
9896674,f,a,"8657478,8936178,8500716,8500579,8500760","332500.0,332500.0,337500.0,337500.0,337500.0","RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
10424380,m,a,"7555189,8374929,8081705,7555191,8374921","2628000.0,2466000.0,2520000.0,2628000.0,2466000.0","RFA-AA-08-005,RFA-AA-08-005,RFA-AA-08-005,RFA-AA-08-005,RFA-AA-08-005"
10676778,m,w,"8681149,8186756,8532646,8532647,8475566","532000.0,560000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8638050,8898857,8251931,8251935,8448209","266000.0,266000.0,274000.0,274000.0,270000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8663854,8470607,8142158,8139012,8147842","332500.0,337500.0,350000.0,350000.0,350000.0","RFA-RM-09-016,RFA-RM-09-016,RFA-RM-09-016,RFA-RM-09-016,RFA-RM-09-016"
9960850,m,w,"9778776,9356354,9746780,9775215,9783744","215250.0,218750.0,215250.0,215250.0,215250.0","RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020"
8119772,m,w,"8298230,7741453,8487419,8511751,8494063","342500.0,365000.0,337500.0,337500.0,337500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"9195132,8988580,8603715,8605291,8605301","312500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8644947,8456143,8330544,8720831,8848144","299250.0,303750.0,308250.0,66500.0,66500.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-14-200,RFA-MH-14-200"
9539516,m,w,"8758248,8749196,9783372,9783397,9188443","299250.0,299250.0,276750.0,276750.0,393000.0","RFA-ES-13-009,RFA-ES-13-009,RFA-ES-18-008,RFA-ES-18-008,RFA-ES-15-013"
10518914,m,w,"10691927,10474550,10691915,10691912,10691908","1236000.0,1284000.0,1236000.0,1236000.0,1236000.0","RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006"
10770832,f,w,"10005595,10186722,10004385,10465033,10458506","861000.0,812000.0,861000.0,749000.0,749000.0","RFA-CA-19-055,RFA-CA-19-055,RFA-CA-19-055,RFA-CA-19-055,RFA-CA-19-055"
8380026,m,w,"8535734,8144289,8326165,8325919,8326110","675000.0,700000.0,685000.0,685000.0,685000.0","RFA-DK-08-012,RFA-DK-08-012,RFA-DK-08-012,RFA-DK-08-012,RFA-DK-08-012"
10592409,f,w,"8007413,7686900,8214696,7674585,7530830","420000.0,438000.0,411000.00000000006,438000.0,438000.0","RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004"
8339880,m,w,"8532795,8529444,8518215,8370230,8367812","67500.0,67500.0,67500.0,68500.0,68500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
9592088,m,a,"10296363,10670199,10451808,10731013,10731254","580000.0,515000.0,535000.0,952750.0,952750.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-22-504,RFA-DK-22-504"
10008967,m,w,"7989616,8381352,8543513,8473898,8473891","1440000.0,1370000.0,1350000.0,1350000.0,1350000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
10134972,f,w,"10557178,10151850,10336530,9150311,9321023","412000.0,464000.0,428000.0,1637500.0,1562500.0","RFA-AT-20-003,RFA-AT-20-003,RFA-AT-20-003,RFA-RM-14-019,RFA-RM-14-019"
8988958,f,b,"9222148,9432540,8525399,8390349,8391285","250000.0,250000.0,270000.0,274000.0,274000.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010"
8535751,m,w,"9562053,9769005,9535290,9321236,9321184","62500.0,61500.0,62500.0,62500.0,62500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"9459450,9459535,10746147,10062757,10226352","437500.0,437500.0,58413.36,615000.0,580000.0","RFA-DK-17-004,RFA-DK-17-004,RFA-DK-21-033,RFA-DK-19-014,RFA-DK-19-014"
8769602,m,a,"10840200,10655614,10275726,10273747,10697357","515000.0,515000.0,580000.0,580000.0,515000.0","RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011"
10406304,f,w,"7880871,7845561,7885322,7656591,7668578","360000.0,360000.0,360000.0,365000.0,365000.0","RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002"
9987453,f,w,"9320966,9334045,9154487,9152898,9153169","250000.0,250000.0,262000.0,262000.0,262000.0","RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013"
9525273,m,w,"9462040,9459829,9683777,9674383,9266296","187500.0,187500.0,184500.0,184500.0,187500.0","RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019"
10541697,m,h,"10673590,10168669,10468871,9944689,9979986","5150000.0,5350000.0,5350000.0,6150000.0,6150000.0","RFA-NS-18-018,RFA-NS-18-018,RFA-NS-18-018,RFA-NS-18-018,RFA-NS-18-018"
