APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_o_wi,APPVAL_RECS_bert-base(para)_o_wi,FOA_RECS_bert-base(para)_o_wi
8962105,m,b,"9103741,9172674,8962105,8959886,8961416","98250.0,98250.0,99750.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"7664378,7672283,7664365,7867439,8307782","511000.0,511000.0,511000.0,511000.0,342500.0","RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HD-10-010"
8722014,f,w,"9024795,9229026,9207000,9617252,9552386","622250.0,593750.0,593750.0,584250.0,593750.0","RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003"
9421907,f,w,"9357402,9355147,9204120,9199272,9207569","218750.0,218750.0,229250.0,229250.0,229250.0","RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020"
10017961,m,w,"10488757,10645854,10361741,10363505,10746147","59920.0,59920.0,64959.99999999999,64959.99999999999,58413.36","RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-21-033"
9682510,f,w,"9188418,9321248,9924655,9926927,9931275","327500.0,312500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7638021,8264290,7940064,7935029,7586521","146000.0,146000.0,146000.0,292000.0,292000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-08-009,RFA-CA-08-009"
8810682,m,w,"9252387,9637288,9407285,9174603,9279075","625000.0,615000.0,625000.0,655000.0,625000.0","RFA-HS-15-003,RFA-HS-15-003,RFA-HS-15-003,RFA-HS-15-003,RFA-HS-14-004"
10686340,m,w,"10682536,10478136,10472608,10473833,10473834","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7992457,7551996,7555392,7551992,8197869","77000.0,80300.0,80300.0,80300.0,75350.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9782697,9781467,9781464,9205190,10250342","4305000.0,4305000.0,4305000.0,4375000.0,4060000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"8636429,8469476,9049477,8469493,8469482","1662500.0,1687500.0,1637500.0,1687500.0,1687500.0","RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002,RFA-DK-11-002"
9896674,f,a,"9146142,9665272,9675124,9675125,9675126","1965000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"9617178,9277329,9617184,9617183,9617182","2214000.0,2250000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8479321,8479319,8479320,8532645,8532646","540000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7608737,7621056,7798062,7806452,7798157","262800.0,262800.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8551820,8703138,9123679,9119154,9117594","675000.0,665000.0,655000.0,655000.0,655000.0","RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004"
9960850,m,w,"10722664,10721489,10901047,9264681,9264661","257500.0,257500.0,257500.0,458500.0,458500.0","RFA-AG-23-012,RFA-AG-23-012,RFA-AG-23-012,RFA-AG-16-005,RFA-AG-16-005"
8119772,m,w,"9971432,9701015,9485315,9518530,9491692","430500.0,430500.0,437500.0,437500.0,437500.0","RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023"
9998967,m,w,"9381935,10250499,10242123,10242813,10242868","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8329146,8486383,8644944,8644947,8330544","685000.0,675000.0,665000.0,299250.0,308250.0","RFA-MH-12-060,RFA-MH-12-060,RFA-MH-12-060,RFA-MH-12-061,RFA-MH-12-061"
9539516,m,w,"9552232,9981826,9986777,9985969,9985939","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10518914,m,w,"10692845,10505679,10694941,10694936,10694929","741600.0,770400.0,741600.0,741600.0,741600.0","RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038,RFA-CA-21-038"
10770832,f,w,"8876643,8722121,10018841,9856802,8539592","266000.0,266000.0,246000.0,246000.0,270000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-19-008,RFA-DE-19-008,RFA-DE-12-012"
8380026,m,w,"10290852,10661790,10480947,10480949,10480955","464000.0,412000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
10592409,f,w,"9767010,9767652,9767650,9767649,9966863","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
8339880,m,w,"9122272,9118828,9122274,9123487,9122269","98250.0,98250.0,98250.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
