APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_p_w,APPVAL_RECS_bert-base(para)_p_w,FOA_RECS_bert-base(para)_p_w
8962105,m,b,"8857249,8722618,9069944,8575263,9294122","332500.0,332500.0,327500.0,337500.0,312500.0","RFA-HL-13-023,RFA-HL-13-023,RFA-HL-13-023,RFA-HL-13-023,RFA-HL-13-023"
7885660,m,w,"9338933,8732790,8732625,8721480,8793915","655000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8121770,7851106,7858265,7849586,7849549","612000.0,612000.0,612000.0,612000.0,612000.0","RFA-ES-06-013,RFA-ES-06-013,RFA-ES-06-013,RFA-ES-06-013,RFA-ES-06-013"
9421907,f,w,"9565384,9695908,9421907,9928385,8878151","437500.0,430500.0,437500.0,430500.0,266000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-13-007"
10017961,m,w,"8536282,8530640,8535244,8336912,8334506","675000.0,685000.0,675000.0,685000.0,685000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"10784019,8381100,8381108,8703021,8703019","256470.0,1712500.0000000002,1712500.0000000002,1662500.0,1662500.0","RFA-NS-22-025,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9544151,9743795,9411341,10241239,9965878","462500.0,455100.0,462500.0,429200.0,455100.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10447898,10599976,10405044,10630286,10256750","695500.0,669500.0,695500.0,669500.0,754000.0","RFA-DE-22-001,RFA-DE-22-001,RFA-DE-20-002,RFA-DE-20-002,RFA-DE-20-002"
7551990,f,h,"10217136,10388253,10400884,10400882,10400881","1160000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003"
9781466,m,w,"9562023,9781466,9782697,9782699,9548539","4375000.0,4305000.0,4305000.0,4305000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,10476511,10476508","430500.0,406000.0,430500.0,428000.0,428000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-20-002,RFA-DK-20-002"
9896674,f,a,"8777011,8498715,8500554,8500755,8498698","332500.0,337500.0,337500.0,337500.0,337500.0","RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
