APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_p_wi,APPVAL_RECS_bert-base(para)_p_wi,FOA_RECS_bert-base(para)_p_wi
8962105,m,b,"9121688,8961416,9103741,9174325,9172674","99750.0,99750.0,98250.0,98250.0,98250.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"8721480,8793915,8336923,8732790,8925858","665000.0,665000.0,685000.0,675000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7677986,7677984,7668684,7662466,7665031","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"9566832,9422153,10166753,9565385,10174655","312500.0,312500.0,290000.0,312500.0,290000.0","RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040"
10017961,m,w,"10059131,9907503,10216255,10693345,10598623","61500.0,61500.0,57999.99999999999,51500.0,51500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"10759550,10759735,10760002,10132315,9828246","284038.98,284038.98,284038.98,232000.0,246000.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-18-042,RFA-NS-18-042"
8932663,m,w,"8100298,7919183,8467802,8690240,7664619","2450000.0,2555000.0,2397500.0,2362500.0,2555000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"8508880,8681348,8508854,8508877,8508849","25650000.0,25270000.0,25650000.0,25650000.0,25650000.0","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10686340,m,w,"10267723,10684730,10117747,10465187,10657882","464000.0,412000.0,492000.0,428000.0,412000.0","RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-22-011"
7551990,f,h,"9044776,9676314,9044774,8912671,8913347","122280.64,114813.12,122280.64,124147.52,124147.52","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"8847623,9291406,9065464,8605381,9205081","66500.0,62500.0,65500.0,66500.0,4585000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-16-014"
8060626,m,w,"9741953,10114279,9857598,8728839,8536278","430500.0,406000.0,430500.0,266000.0,270000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-10-009,RFA-DK-10-009"
9896674,f,a,"9403941,9478602,9377768,9276130,9506106","437500.0,437500.0,437500.0,437500.0,437500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"9843641,8977970,8977966,8978010,8977965","2214000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8880861,8479320,8479319,8475561,8532644","532000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7613471,8004945,7884581,7809464,7798062","262800.0,252000.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"10450129,10223457,10223460,9784915,9787591","481500.0,522000.0,522000.0,553500.0,553500.0","RFA-RM-18-012,RFA-RM-18-012,RFA-RM-18-012,RFA-RM-18-012,RFA-RM-18-012"
9960850,m,w,"10186853,9645893,9928349,9970386,9960850","3936000.0,3936000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8487419,8494063,8514952,7741453,7740475","337500.0,337500.0,337500.0,365000.0,365000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"8605797,9529663,8605628,8605657,8603715","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8729741,8461288,8461691,8656090,8470611","299250.0,675000.0,675000.0,665000.0,675000.0","RFA-MH-14-182,RFA-DA-11-001,RFA-DA-11-001,RFA-DA-11-001,RFA-DA-11-001"
9539516,m,w,"7624605,7624297,7629068,7624657,7627335","511000.0,511000.0,511000.0,511000.0,511000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"7846929,7632118,7754755,8019130,7767720","255500.0,255500.0,1095000.0,1050000.0,1080000.0","RFA-CA-07-022,RFA-CA-07-022,RFA-CA-07-010,RFA-CA-07-010,RFA-CA-07-010"
10770832,f,w,"8722121,8876643,10018841,9856802,7851444","266000.0,266000.0,246000.0,246000.0,360000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-19-008,RFA-DE-19-008,RFA-DE-07-002"
8380026,m,w,"9185501,9763619,9763624,9763625,9766247","327500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"8954698,8951636,9517695,9518519,9724339","532000.0,532000.0,500000.0,500000.0,492000.0","RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012"
8339880,m,w,"9589587,9781647,9783718,9589637,10402860","375000.0,369000.0,369000.0,375000.0,321000.0","RFA-AG-18-010,RFA-AG-18-010,RFA-AG-18-010,RFA-AG-18-010,RFA-AG-18-010"
9592088,m,a,"8909880,8335390,8233840,8233901,8335387","607500.0,616500.0,630000.0,630000.0,616500.0","RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011"
10008967,m,w,"7796669,8044806,7582243,7640704,7912418","360000.0,350000.0,365000.0,365000.0,365000.0","RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
10134972,f,w,"8120620,7755557,7929569,7925750,7925749","350000.0,365000.0,360000.0,360000.0,360000.0","RFA-HL-09-012,RFA-HL-09-012,RFA-HL-09-012,RFA-HL-09-012,RFA-HL-09-012"
8988958,f,b,"10534773,10307472,10533758,10532212,10532202","515000.0,535000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"8215179,8546376,8536278,8546372,8546359","280000.0,270000.0,270000.0,270000.0,270000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
7959773,f,w,"8360283,8360474,8360472,8122277,8360284","280000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002,RFA-RR-06-002"
