APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base_o_w,APPVAL_RECS_bert-base_o_w,FOA_RECS_bert-base_o_w
8962105,m,b,"9144844,8997188,8997390,9319794,9565173","327500.0,332500.0,332500.0,312500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"10308198,10480792,10693795,8898162,8307782","579998.84,534998.93,514998.97,332500.0,342500.0","RFA-HD-21-006,RFA-HD-21-006,RFA-HD-21-006,RFA-HD-10-010,RFA-HD-10-010"
8722014,f,w,"10582012,10583024,10583235,10583849,10584259","412000.0,412000.0,412000.0,412000.0,412000.0","RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004"
9421907,f,w,"10264139,10264030,10263310,10665678,10646433","290000.0,290000.0,290000.0,257500.0,257500.0","RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044"
10017961,m,w,"10216255,9907503,10555519,10017961,10059105","57999.99999999999,61500.0,53500.0,61500.0,61500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9931288,9321307,9931275,9475566,9475565","307500.0,312500.0,307500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7935029,7848336,7586521,7586530,7586469","292000.0,288000.0,292000.0,292000.0,292000.0","RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009"
8810682,m,w,"9145200,9151816,9146896,9143145,9143144","655000.0,655000.0,655000.0,655000.0,655000.0","RFA-HS-15-002,RFA-HS-15-002,RFA-HS-15-002,RFA-HS-15-002,RFA-HS-15-002"
10686340,m,w,"7938718,8734648,8150047,8144938,8144939","1800000.0,1687500.0,1800000.0,1800000.0,1750000.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"8197867,7994756,7847079,7847078,7551990","75350.0,77000.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8381055,8691622,8380902,8796288,8730918","1164500.0,1130500.0,1164500.0,1147500.0,1147500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
8060626,m,w,"10454979,10609094,10694229,10694224,10694221","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9729472,9570686,9570702,9571048,9571035","1168500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10056025,10609547,10646276,10646271,10646263","1334000.0,1184500.0,1184500.0,1184500.0,1184500.0","RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001"
10676778,m,w,"9968022,9761852,9323317,9323320,9729519","615000.0,615000.0,625000.0,625000.0,615000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7637363,m,w,"9251863,9076200,9240653,9891073,9234570","250000.0,262000.0,250000.0,246000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"10214461,9810824,10438803,9973203,10889393","290000.0,307500.0,267500.0,307500.0,515000.0","RFA-RM-18-024,RFA-RM-18-024,RFA-RM-18-024,RFA-RM-18-024,RFA-OD-19-027"
9960850,m,w,"9923517,10887735,10543729,10553643,9654409","3936000.0,3296000.0,3296000.0,3296000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7738830,8511751,7739537,7739524,7740575","365000.0,337500.0,365000.0,365000.0,365000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"10220069,9382768,10263154,10263329,10459911","290000.0,312500.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8729741,8487260,8078020,8288029,8298572","299250.0,675000.0,700000.0,685000.0,685000.0","RFA-MH-14-182,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010"
