APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base_p_wi,APPVAL_RECS_bert-base_p_wi,FOA_RECS_bert-base_p_wi
8962105,m,b,"9319794,8997390,8997188,9565173,9323560","312500.0,332500.0,332500.0,312500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"8536036,8732625,8721480,8793915,8247968","685000.0,665000.0,665000.0,665000.0,700000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7908145,7677989,7677986,7677984,7668684","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"7914129,7881477,7911837,7907198,7644994","432000.0,432000.0,432000.0,438000.0,438000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
10017961,m,w,"10064156,10064481,10643941,10653995,10655345","615000.0,615000.0,515000.0,515000.0,515000.0","RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014"
9682510,f,w,"10784019,10784407,10783393,10596875,10599396","256470.0,256470.0,256470.0,214000.0,214000.0","RFA-NS-22-025,RFA-NS-22-022,RFA-NS-22-022,RFA-DE-22-011,RFA-DE-22-011"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9544151,9743795,9411341,10241239,9965878","462500.0,455100.0,462500.0,429200.0,455100.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10646373,10458399,10647827,10647823,10646398","1030000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004"
7551990,f,h,"9738912,10617802,10382421,10397027,10397054","922500.0,772500.0,802500.0,802500.0,802500.0","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
9781466,m,w,"9548539,9781466,10402548,10402550,9390021","4375000.0,4305000.0,4060000.0,4060000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,8043877,8045219","430500.0,406000.0,430500.0,576000.0,576000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-OD-10-010,RFA-OD-10-010"
9896674,f,a,"10740364,10630593,10707213,10631646,9115018","515000.0,535000.0,515000.0,515000.0,294750.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-15-008"
