APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base_r_w,APPVAL_RECS_bert-base_r_w,FOA_RECS_bert-base_r_w
8962105,m,b,"8885344,8693006,8377254,8379824,8318831","332500.0,332500.0,342500.0,342500.0,342500.0","RFA-HL-10-003,RFA-HL-10-003,RFA-HL-10-003,RFA-HL-10-003,RFA-HL-10-003"
7885660,m,w,"8531341,8536036,8536037,8541847,9338933","675000.0,685000.0,685000.0,675000.0,655000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8752056,8926440,8756251,8916722,8901173","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-ES-13-007,RFA-ES-13-007,RFA-ES-13-007,RFA-ES-13-007,RFA-ES-13-007"
9421907,f,w,"9565384,9695908,9421907,9928385,9264682","437500.0,430500.0,437500.0,430500.0,458500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-16-005"
10017961,m,w,"9978061,10159887,9637673,9939013,9775448","615000.0,535000.0,625000.0,615000.0,615000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10537743,10536567,9294003,8900971,9530611","1070000.0,1070000.0,625000.0,665000.0,625000.0","RFA-NS-22-002,RFA-NS-22-002,RFA-AT-14-003,RFA-AT-14-003,RFA-AT-14-003"
8932663,m,w,"10322155,10441141,10130852,10360627,10130746","533930.0,533930.0,578840.0,533930.0,578840.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"8064254,8215883,8435494,7650479,7650486","700000.0,685000.0,675000.0,730000.0,730000.0","RFA-AI-08-003,RFA-AI-08-003,RFA-AI-08-003,RFA-AI-08-003,RFA-AI-08-003"
10686340,m,w,"9712695,9403271,9403606,9403610,9403273","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017,RFA-HD-17-017"
7551990,f,h,"9687968,10207642,9918404,10217136,10217137","1230000.0,1160000.0,1230000.0,1160000.0,1160000.0","RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003"
9781466,m,w,"9528427,9352728,9977078,9977077,9977076","1375000.0,1375000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8060626,m,w,"8193512,8215136,8215127,8215129,8215130","280000.0,280000.0,280000.0,280000.0,280000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
9896674,f,a,"8725230,8472305,8472725,8473018,8729008","266000.0,270000.0,270000.0,270000.0,266000.0","RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001"
10424380,m,a,"9228313,9198861,9277327,9228311,9228304","2250000.0,2250000.0,2250000.0,2250000.0,2250000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8154082,8380605,8381420,8381416,8380065","560000.0,548000.0,548000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7884581,8004987,8009486,8018052,8004945","259200.0,252000.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7666932,7666929,7839492,7664511,7666892","584000.0,584000.0,584000.0,584000.0,584000.0","RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010"
9960850,m,w,"7678962,7674704,7668382,7683013,7685277","292000.0,292000.0,292000.0,292000.0,292000.0","RFA-AG-08-001,RFA-AG-08-001,RFA-AG-08-001,RFA-AG-08-001,RFA-AG-08-001"
8119772,m,w,"8744300,8628343,9116914,9130846,9128645","66500.0,67500.0,65500.0,65500.0,65500.0","RFA-RM-12-025,RFA-RM-12-025,RFA-RM-12-025,RFA-RM-12-025,RFA-RM-12-025"
9998967,m,w,"8272615,8115914,8274641,7845961,7845954","342500.0,350000.0,342500.0,360000.0,360000.0","RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005"
