APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-multi_o_wi,APPVAL_RECS_bert-multi_o_wi,FOA_RECS_bert-multi_o_wi
8962105,m,b,"9174325,8961416,9103741,8962105,8959886","98250.0,99750.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"7658838,7658862,7881422,7879920,7884302","985500.0,985500.0,972000.0,972000.0,972000.0","RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007"
8722014,f,w,"7766783,8137529,7919369,8536291,8387978","949000.0,936000.0,936000.0,270000.0,274000.0","RFA-HG-09-004,RFA-HG-09-004,RFA-HG-09-004,RFA-ES-11-010,RFA-ES-11-010"
9421907,f,w,"10202909,10544770,10208164,10207946,10207226","348000.0,309000.0,348000.0,348000.0,348000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"8833707,9544180,9148259,9334211,9747903","1330000.0,625000.0,655000.0,625000.0,615000.0","RFA-DK-13-027,RFA-DK-14-025,RFA-DK-14-025,RFA-DK-14-025,RFA-DK-14-025"
9682510,f,w,"9321247,9475564,9686784,9687750,9682511","312500.0,312500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"8137238,7689616,7937794,7782639,7691929","1400000.0,1460000.0,1440000.0,1460000.0,1460000.0","RFA-CA-08-021,RFA-CA-08-021,RFA-CA-08-021,RFA-CA-08-021,RFA-CA-08-021"
8810682,m,w,"9478846,9267108,9060251,8886515,9341185","4375000.0,4375000.0,4585000.0,4655000.0,625000.0","RFA-HS-14-009,RFA-HS-14-009,RFA-HS-14-009,RFA-HS-14-009,RFA-HS-15-002"
10686340,m,w,"10675505,10018647,10001427,10001429,10001430","1030000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"9459899,9669066,9457435,8912671,9044774","116680.0,114813.12,116680.0,124147.52,122280.64","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"9692541,9519717,9088287,9088285,9519714","1230000.0,1250000.0,1310000.0,1310000.0,1250000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
8060626,m,w,"10408481,10408484,10408480,10407868,10407867","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9571040,9729469,9693087,9693088,9696241","1187500.0,1168500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"9393660,10067496,10310679,10310680,10310681","1562500.0,1450000.0,1337500.0,1337500.0,1337500.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"8380065,8532645,8532647,8475566,8475563","548000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8330868,8251942,8251947,8251929,8251945","274000.0,274000.0,274000.0,274000.0,274000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7924977,7694306,7694286,7694357,7694283","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009,RFA-GM-08-009"
9960850,m,w,"9264681,9264670,9264682,9264661,10177832","458500.0,458500.0,458500.0,458500.0,290000.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-18-009"
8119772,m,w,"7888274,7898818,7914382,7897598,7860420","288000.0,288000.0,288000.0,288000.0,288000.0","RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020,RFA-AI-08-020"
9998967,m,w,"9543530,10223360,10229452,10228025,10226315","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8604913,8733202,8653953,8727904,8656090","270000.0,266000.0,665000.0,675000.0,665000.0","RFA-MH-13-091,RFA-MH-13-091,RFA-DA-11-001,RFA-DA-11-001,RFA-DA-11-001"
9539516,m,w,"9950861,9142821,9143009,9140955,9142466","307500.0,327500.0,327500.0,327500.0,327500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
10518914,m,w,"10518940,10708204,10708201,10707115,10707105","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-CA-21-054,RFA-CA-21-054,RFA-CA-21-054,RFA-CA-21-054,RFA-CA-21-054"
10770832,f,w,"10211467,10352461,10797389,10797850,10797646","232000.0,214000.0,144200.0,144200.0,144200.0","RFA-DE-20-007,RFA-DE-20-007,RFA-PM-23-002,RFA-PM-23-002,RFA-PM-23-002"
8380026,m,w,"9994913,9774039,9784807,9782894,9782896","307500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10589821,10435216,10435215,10599216,10599210","1030000.0,1070000.0,1070000.0,1030000.0,1030000.0","RFA-AI-20-078,RFA-AI-20-078,RFA-AI-20-078,RFA-AI-20-078,RFA-AI-20-078"
8339880,m,w,"8856451,8892951,8319400,8321997,8702064","332500.0,332500.0,342500.0,342500.0,332500.0","RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006"
9592088,m,a,"9773068,10002340,9565398,9565399,9565400","1230000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028"
10008967,m,w,"10442631,10473541,10652520,10652516,10652509","1070000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031"
10134972,f,w,"9893855,10132288,9278828,9277914,9278724","615000.0,580000.0,625000.0,625000.0,625000.0","RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002,RFA-DC-17-002"
8988958,f,b,"9520296,9526494,9145192,9139912,9752310","1562500.0,1562500.0,1637500.0,1637500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"10450885,9966987,10655524,10205060,9831543","53500.0,61500.0,51500.0,57999.99999999999,61500.0","RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026"
7959773,f,w,"8360358,8359770,8359773,8359774,8100216","280000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001"
8769602,m,a,"10165449,9927973,10413034,9753104,9597601","812000.0,861000.0,749000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"8675264,8176811,8179109,8476239,8510667","332500.0,350000.0,350000.0,337500.0,337500.0","RFA-GM-11-004,RFA-GM-11-004,RFA-GM-11-004,RFA-GM-11-004,RFA-GM-11-004"
9987453,f,w,"8719908,8554286,8723732,8552312,8554953","66500.0,67500.0,66500.0,67500.0,67500.0","RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006"
9525273,m,w,"8681331,8508880,9517668,8508876,8508866","25270000.0,25650000.0,23750000.0,25650000.0,25650000.0","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"9116944,8927066,8796932,8797263,8794123","327500.0,332500.0,332500.0,332500.0,332500.0","RFA-MH-14-214,RFA-MH-14-214,RFA-MH-14-214,RFA-MH-14-214,RFA-MH-14-214"
8856535,m,w,"10434770,9333488,9459404,10001556,9911989","428000.0,375000.0,375000.0,369000.0,369000.0","RFA-AI-18-026,RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011,RFA-HD-17-011"
7886873,m,w,"8106280,8100530,7652387,7653765,7653847","4200000.0,4200000.0,4380000.0,4380000.0,4380000.0","RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008"
10488630,f,a,"8758050,8367889,8369767,8813518,8459290","332500.0,274000.0,274000.0,1330000.0,1370000.0","RFA-AG-14-012,RFA-AG-12-008,RFA-AG-12-008,RFA-OD-12-003,RFA-OD-12-003"
9137625,f,w,"8914418,8461756,8461780,8459864,8461738","199500.0,205500.00000000003,205500.00000000003,205500.00000000003,205500.00000000003","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"9193112,9309081,10661215,10663765,10663766","524000.0,500000.0,123600.0,123600.0,123600.0","RFA-MD-15-011,RFA-MD-15-011,RFA-RM-22-008,RFA-RM-22-008,RFA-RM-22-008"
9485284,m,w,"9093029,10454558,9266288,9266285,9266292","21615000.0,19140000.0,20625000.0,20625000.0,20625000.0","RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016"
8070326,m,w,"7675611,8069270,8069252,8069253,8069256","438000.0,432000.0,432000.0,432000.0,432000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
8068031,f,w,"9484512,10150476,9969098,9969099,9982101","1187500.0,1102000.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"8520174,8907771,8899350,8459895,8460204","405000.0,399000.0,399000.0,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"8525362,8374250,8384711,8370935,8384741","270000.0,274000.0,274000.0,274000.0,274000.0","RFA-CA-11-012,RFA-CA-11-012,RFA-CA-11-012,RFA-CA-11-012,RFA-CA-11-012"
9150566,m,w,"9718314,9901569,9969469,9116546,9117248","430500.0,430500.0,430500.0,458500.0,458500.0","RFA-HG-14-004,RFA-HG-14-004,RFA-HG-14-004,RFA-HG-14-004,RFA-HG-14-004"
10478136,m,w,"10242706,10200800,9671127,9671166,9788439","232000.0,232000.0,250000.0,250000.0,246000.0","RFA-DK-17-017,RFA-DK-17-017,RFA-DK-17-017,RFA-DK-17-017,RFA-DK-17-017"
10343347,m,w,"8472824,8658198,8658196,8477358,8412142","342500.0,342500.0,342500.0,342500.0,342500.0","RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046"
8309064,f,w,"9054067,9088201,9706083,9706082,9706081","1310000.0,1310000.0,1230000.0,1230000.0,1230000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"7777218,8083148,7917485,7918029,7772423","292000.0,288000.0,288000.0,288000.0,292000.0","RFA-DA-09-009,RFA-DA-09-009,RFA-DA-09-009,RFA-DA-09-009,RFA-DA-09-009"
10116708,f,w,"10573078,10572620,10572541,10572136,10571337","721000.0,721000.0,721000.0,721000.0,721000.0","RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004"
9080334,m,w,"10626813,10215388,10642790,10124290,10124292","515000.0,580000.0,515000.0,580000.0,580000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7959811,f,h,"8360535,7959760,7959762,7959763,7959765","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001"
9114017,m,h,"9677596,10149232,10131129,10132968,10134988","615000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
