APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-multi_p_wi,APPVAL_RECS_bert-multi_p_wi,FOA_RECS_bert-multi_p_wi
8962105,m,b,"9657194,10083763,9843530,10335171,7900938","492000.0,464000.0,492000.0,428000.0,2016000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-09-007"
7885660,m,w,"8536036,9123843,8732625,8721480,8793915","685000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10350001,10350448,10570917,10573170,10532594","374500.0,374500.0,360500.0,360500.0,214000.0","RFA-ES-20-013,RFA-ES-20-013,RFA-ES-20-013,RFA-ES-20-013,RFA-ES-20-015"
9421907,f,w,"9928385,9421907,9695908,9565384,10721489","430500.0,437500.0,430500.0,437500.0,257500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-23-012"
10017961,m,w,"9978061,9637673,10159887,10457348,10469691","615000.0,625000.0,535000.0,535000.0,535000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10759550,10759735,10760002,10536567,10537743","284038.98,284038.98,284038.98,1070000.0,1070000.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-22-002,RFA-NS-22-002"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9361621,9096395,9252099,9252098,9246424","625000.0,655000.0,625000.0,625000.0,625000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"10009489,9401936,9649268,9785189,9785709","922500.0,937500.0,922500.0,922500.0,922500.0","RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017"
7551990,f,h,"10219250,10664948,10673074,10690636,10874947","869999.9999999999,772500.0,772500.0,772500.0,772500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
