APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-multi_r_wi,APPVAL_RECS_bert-multi_r_wi,FOA_RECS_bert-multi_r_wi
8962105,m,b,"8120246,8102994,8322625,8322627,7756325","1960000.0,1960000.0,1918000.0,1918000.0,2044000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8890180,8541847,9123843,8732625,8721480","665000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10474273,10582606,10159909,10159261,10136598","53500.0,51500.0,57999.99999999999,57999.99999999999,57999.99999999999","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9421907,f,w,"9890656,9565384,9421907,9695908,9928385","922500.0,437500.0,437500.0,430500.0,430500.0","RFA-AG-19-025,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002"
10017961,m,w,"10632608,10632358,10632313,10631295,10630731","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030"
9682510,f,w,"10537743,10536567,9787310,9650932,9206593","1070000.0,1070000.0,615000.0,625000.0,655000.0","RFA-NS-22-002,RFA-NS-22-002,RFA-AT-16-005,RFA-AT-16-005,RFA-AT-16-005"
8932663,m,w,"8100298,7884497,8467802,8690240,7664619","2450000.0,2520000.0,2397500.0,2362500.0,2555000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9743795,9965878,10241239,9411341,9544151","455100.0,455100.0,429200.0,462500.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10168518,10414798,9828299,9827718,10167694","869999.9999999999,802500.0,922500.0,922500.0,869999.9999999999","RFA-DK-18-503,RFA-DK-18-503,RFA-DK-18-503,RFA-DK-18-503,RFA-DK-18-503"
7551990,f,h,"10133807,10696148,10560426,10049619,10619616","246000.0,206000.0,214000.0,246000.0,206000.0","RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011"
9781466,m,w,"10402550,10003929,10402548,9562020,9562023","4060000.0,4305000.0,4060000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"8872957,9105742,9043035,9043043,9043032","1662500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"10599746,9115018,9114846,8997778,8997736","267401.39,294750.0,294750.0,299250.0,299250.0","RFA-MD-22-003,RFA-MD-15-008,RFA-MD-15-008,RFA-MD-15-003,RFA-MD-15-003"
10424380,m,a,"9493327,9843634,9843619,9843622,9843624","2250000.0,2214000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"10897684,9912431,10684552,10017652,10019329","257500.0,307500.0,267500.0,307500.0,307500.0","RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013"
7637363,m,w,"8082211,8251945,8442909,8442911,8447534","280000.0,274000.0,270000.0,270000.0,270000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8711423,8550801,8913107,8414034,8413975","997500.0,1012500.0,997500.0,1027500.0,1027500.0","RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015"
9960850,m,w,"10427953,10434165,10435197,10576950,10593160","535000.0,535000.0,535000.0,515000.0,515000.0","RFA-AI-20-077,RFA-AI-20-077,RFA-AI-20-077,RFA-AI-20-077,RFA-AI-20-077"
8119772,m,w,"7843094,7886194,8313990,8136204,8306346","730000.0,730000.0,959000.0,980000.0,959000.0","RFA-GM-06-001,RFA-GM-06-001,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
