APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_o_w,APPVAL_RECS_bert-s_o_w,FOA_RECS_bert-s_o_w
8962105,m,b,"9172674,9174325,9103741,9121688,8961416","98250.0,98250.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"10480792,10308198,10693795,7684826,7861203","534998.93,579998.84,514998.97,511000.0,511000.0","RFA-HD-21-006,RFA-HD-21-006,RFA-HD-21-006,RFA-DK-05-014,RFA-DK-05-014"
8722014,f,w,"10670913,10473182,10474138,10474152,10474231","515000.0,535000.0,535000.0,535000.0,535000.0","RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004"
9421907,f,w,"10441514,10263239,10045725,10645126,10665678","240750.0,261000.0,276750.0,257500.0,257500.0","RFA-AG-20-007,RFA-AG-20-007,RFA-AG-20-007,RFA-AG-20-044,RFA-AG-20-044"
10017961,m,w,"9749129,10435463,9566202,9582330,9774042","614998.77,534998.93,624998.75,624998.75,614998.77","RFA-DK-16-005,RFA-DK-16-005,RFA-DK-16-005,RFA-DK-16-005,RFA-DK-16-005"
9682510,f,w,"9483370,9325587,9333444,9329495,9484766","437500.0,437500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"7906005,7795108,7848336,7935029,7586521","288000.0,288000.0,288000.0,292000.0,292000.0","RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009"
8810682,m,w,"8331304,8227762,8331859,8333868,8221511","685000.0,700000.0,685000.0,685000.0,700000.0","RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002"
10686340,m,w,"10212463,10700003,9804270,9804271,9804272","1160000.0,1030000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"8197873,7555392,7551990,7847078,7847079","75350.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8514260,8468475,8469380,8469376,8460019","1027500.0,1027500.0,1012500.0,1012500.0,1012500.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
8060626,m,w,"10407838,10407837,10666477,10668992,10668993","1070000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9414450,10108951,9196546,9196919,9196921","1875000.0,1739999.9999999998,1965000.0,1965000.0,1965000.0","RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014,RFA-MD-15-014"
10424380,m,a,"8978019,9462012,9411061,9493325,9462007","2358000.0,2250000.0,2250000.0,2250000.0,2250000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"9908055,9941050,10626807,10612118,10612117","615000.0,615000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8442912,8903982,8079854,8081370,8081289","270000.0,266000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8792751,9303419,9052201,9116910,9320330","665000.0,625000.0,655000.0,655000.0,655000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"8422981,7639127,8232157,8501832,8233491","337500.0,365000.0,342500.0,342500.0,342500.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"8313990,8128675,8306346,7646064,7650793","959000.0,980000.0,959000.0,1022000.0,1022000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
9998967,m,w,"8986799,9223715,8605657,8603715,8605291","327500.0,312500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
