APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_p_w,APPVAL_RECS_bert-s_p_w,FOA_RECS_bert-s_p_w
8962105,m,b,"7753567,8322627,8102984,8120246,8316181","2044000.0,1918000.0,1960000.0,1960000.0,1918000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8336923,8531341,8732625,8721480,8793915","685000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10588560,10532594,10479044,10685294,10693955","257500.0,214000.0,214000.0,206000.0,206000.0","RFA-ES-22-001,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9421907,f,w,"9928385,9421907,9695908,9565384,7645172","430500.0,437500.0,430500.0,437500.0,438000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-06-003"
10017961,m,w,"10518967,10519808,10706514,10708816,9979867","535000.0,535000.0,515000.0,515000.0,615000.0","RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-17-011"
9682510,f,w,"10491953,10665746,10378786,10156594,10483174","615250.0,592250.0,667000.0,1230000.0,1070000.0","RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-AT-20-004,RFA-AT-20-004"
8932663,m,w,"8381396,8136686,8136684,8136682,8326210","1781000.0000000002,1872000.0,1872000.0,1872000.0,1781000.0000000002","RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002"
8810682,m,w,"10637036,9320782,9087275,8787871,8916813","721000.0,437500.0,458500.0,465500.0,465500.0","RFA-AI-22-015,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025"
10686340,m,w,"10214185,10213385,10626911,10453615,10380040","580000.0,580000.0,515000.0,535000.0,535000.0","RFA-AT-21-001,RFA-AT-21-001,RFA-AT-21-001,RFA-AT-21-001,RFA-AT-21-001"
7551990,f,h,"7847078,7742612,7555392,7558266,7551996","80300.0,79200.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9562023,9781467,9390014,9390021,9205191","4375000.0,4305000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,8046269,8043877","430500.0,406000.0,430500.0,576000.0,576000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-OD-10-010,RFA-OD-10-010"
9896674,f,a,"9506106,9966061,9254607,9604712,9615840","437500.0,430500.0,437500.0,430500.0,430500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"9940998,9198860,9941000,8977734,8977966","2214000.0,2250000.0,2214000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"9720190,9920683,10612118,10612117,10612116","615000.0,615000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"9077034,9244048,9240652,9234569,9240651","262000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
