APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_p_wi,APPVAL_RECS_bert-s_p_wi,FOA_RECS_bert-s_p_wi
8962105,m,b,"8322627,8120246,8322625,7756325,7756236","1918000.0,1960000.0,1918000.0,2044000.0,2044000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8925858,8890180,8732625,8721480,8793915","665000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8139122,7801844,8508283,8518444,8508284","1370000.0,1460000.0,1350000.0,1350000.0,1350000.0","RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013"
9421907,f,w,"9276547,9506629,9145624,9282384,9145617","312500.0,312500.0,327500.0,312500.0,327500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"9939013,9774044,9637673,9627114,9636928","615000.0,615000.0,625000.0,625000.0,625000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10759550,10759735,10760002,10592780,10709636","284038.98,284038.98,284038.98,802500.0,772500.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-TR-22-012,RFA-TR-22-012"
8932663,m,w,"8136685,8381403,8727720,8727716,7911713","1872000.0,1781000.0000000002,1755000.0,1755000.0,1898000.0","RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002"
8810682,m,w,"10078590,9667824,10326825,10673469,9844060","535000.0,615000.0,535000.0,535000.0,615000.0","RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039"
10686340,m,w,"10458400,10646373,10458160,10458161,10458162","1070000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004"
7551990,f,h,"7741712,7991380,7551996,7558266,7555392","79200.0,77000.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9205190,9390021,9562020,9562023,9548539","4375000.0,4375000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,8044994,8043877","430500.0,406000.0,430500.0,576000.0,576000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-OD-10-010,RFA-OD-10-010"
9896674,f,a,"9114846,9115018,8334556,8335426,9242173","294750.0,294750.0,1027500.0,1027500.0,982500.0","RFA-MD-15-008,RFA-MD-15-008,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005"
10424380,m,a,"9917667,9698238,9617185,9617186,9619024","2214000.0,2214000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"10215389,10626809,10612118,10612117,10612115","580000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"7798062,7806393,7794928,7638663,7798552","259200.0,259200.0,259200.0,262800.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7914248,8112678,7696442,8533716,7696682","360000.0,350000.0,365000.0,342500.0,292000.0","RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-026,RFA-RM-08-027"
9960850,m,w,"8037684,8420264,7919317,8265813,8233491","350000.0,337500.0,360000.0,342500.0,342500.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"7932151,7740575,8688286,7931910,7932085","360000.0,365000.0,332500.0,360000.0,360000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"10493359,10037769,10220134,10368699,7908721","214000.0,246000.0,232000.0,232000.0,720000.0","RFA-OD-19-021,RFA-OD-19-021,RFA-OD-19-021,RFA-OD-19-021,RFA-NS-06-004"
9935976,f,w,"8813609,8551682,9211357,8607976,9010966","664998.67,664998.67,624998.75,664998.67,654998.6900000001","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"8927819,9701993,8927904,9059090,9068923","498750.0,461250.0,498750.0,491250.0,491250.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10518914,m,w,"10021628,9869216,10684776,10683417,10251165","1476000.0,1476000.0,1236000.0,1236000.0,1392000.0","RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006"
10770832,f,w,"8876643,8722121,9660552,9512284,10372955","266000.0,266000.0,430500.0,437500.0,374500.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"9542773,9782902,9766247,9774037,9774039","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"8706767,7992670,7992673,8115993,8105084","1596000.0,1728000.0,1728000.0,1680000.0,1680000.0","RFA-AI-09-030,RFA-AI-09-030,RFA-AI-09-030,RFA-AI-09-030,RFA-AI-09-030"
8339880,m,w,"7674594,7673840,8144915,8144786,7907874","1606000.0,1606000.0,1540000.0,1540000.0,1584000.0","RFA-HD-06-010,RFA-HD-06-010,RFA-HD-06-010,RFA-HD-06-010,RFA-HD-06-010"
9592088,m,a,"9776511,9995019,10003224,10004030,9774041","399750.0,399750.0,399750.0,399750.0,399750.0","RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008"
10008967,m,w,"10684021,10288585,10288582,10684010,10459584","1030000.0,1160000.0,1160000.0,1030000.0,1070000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
10134972,f,w,"9319995,9487321,9471784,10177830,10098064","250000.0,250000.0,937500.0,869999.9999999999,869999.9999999999","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"9308965,9520297,9527150,9518897,9537515","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"10015256,9189072,9535290,9562053,9769005","61500.0,65500.0,62500.0,62500.0,61500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"8876689,8331617,8335413,8689016,8152547","1064000.0,1096000.0,1096000.0,1064000.0,1120000.0","RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","749000.0,861000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"8534528,8535305,8823037,8650816,8823045","506250.00000000006,506250.00000000006,498750.0,498750.0,498750.0","RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001"
9987453,f,w,"9172674,8959886,9174325,9103741,9121688","98250.0,99750.0,98250.0,98250.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"8843779,9263887,9038249,8705846,8681356","199500.0,187500.0,196500.0,199500.0,199500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-11-018"
10541697,m,h,"9615376,9775830,9999578,10002240,10006999","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-EB-17-005,RFA-EB-17-005,RFA-EB-17-005,RFA-EB-17-005,RFA-EB-17-005"
8856535,m,w,"9543322,9696766,9319887,9321528,9319889","1250000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
7886873,m,w,"10396487,10615591,10137292,10137289,9745240","1284000.0,1236000.0,1392000.0,1392000.0,1476000.0","RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017"
10488630,f,a,"9924496,9738177,9732844,9734842,9736194","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"8798446,9129525,9129472,9129458,9129530","199500.0,196500.0,196500.0,196500.0,196500.0","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"8113038,8322650,8324499,8238398,8536361","280000.0,274000.0,274000.0,274000.0,270000.0","RFA-LM-10-001,RFA-LM-10-001,RFA-LM-10-001,RFA-LM-10-001,RFA-LM-10-001"
9485284,m,w,"7677500,7692230,7657486,7684281,8533716","511000.0,511000.0,511000.0,511000.0,342500.0","RFA-HG-07-029,RFA-HG-07-029,RFA-HG-07-029,RFA-HG-07-029,RFA-RM-08-026"
8070326,m,w,"8811406,9242600,9257271,9268702,9226036","1995000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8068031,f,w,"10707407,10556507,10555417,10555418,10556247","257500.0,267500.0,267500.0,267500.0,267500.0","RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002"
9961343,m,w,"8722868,8520162,9114406,9116625,8520174","399000.0,405000.0,393000.0,393000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10631646,10630593,10740364,10707213,9627118","515000.0,535000.0,515000.0,515000.0,1000000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-CA-17-032"
9150566,m,w,"10588560,10159909,10004913,10005629,10401934","257500.0,57999.99999999999,61500.0,61500.0,53500.0","RFA-ES-22-001,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
10478136,m,w,"10559603,10459225,10016246,9849075,10855076","309000.0,515000.0,580000.0,615000.0,412000.0","RFA-TR-21-008,RFA-FD-19-001,RFA-FD-19-001,RFA-FD-19-001,RFA-FD-22-001"
10343347,m,w,"10343347,10347760,10557171,10569619,10586094","802500.0,802500.0,772500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9750579,9706081,9267086,9266787,9266785","1230000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"8722290,8722152,8722068,8719655,8792844","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006"
10116708,f,w,"7916504,7916483,7682549,7682546,7682550","532800.0,532800.0,540200.0,540200.0,540200.0","RFA-HL-06-006,RFA-HL-06-006,RFA-HL-06-006,RFA-HL-06-006,RFA-HL-06-006"
9080334,m,w,"8695291,8381418,8380065,8532646,8532645","532000.0,548000.0,548000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7741246,7541449,7533499,7581016,7688166","180000.0,182500.0,182500.0,182500.0,182500.0","RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004"
9114017,m,h,"9112827,8897969,9100223,8899424,8896294","707400.0,718200.0,718200.0,718200.0,718200.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8380038,m,w,"8130991,8111997,8077877,7886453,7886939","420000.0,420000.0,420000.0,432000.0,432000.0","RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001"
8468754,f,w,"9245732,8825531,9022512,8604915,8065704","3000000.0,3192000.0,3144000.0,3192000.0,720000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-10-018"
7737637,m,w,"9011505,9214310,9222699,9437652,9437665","196500.0,187500.0,187500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
8664703,m,w,"7937943,7907353,7689924,7687334,7686391","72000.0,73000.0,73000.0,73000.0,73000.0","RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002"
8377171,m,w,"8044806,7640704,7673872,7912418,8432110","350000.0,365000.0,365000.0,365000.0,350000.0","RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"8114154,7687367,7684744,7884268,7882658","350000.0,365000.0,365000.0,360000.0,360000.0","RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004"
10495240,m,w,"8433688,8554311,8433794,8434963,8433290","1370000.0,1350000.0,1370000.0,1370000.0,1370000.0","RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210"
9787108,m,w,"9700015,9527729,9904310,9926785,9926786","307500.0,312500.0,307500.0,307500.0,307500.0","RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009"
8036022,m,w,"9099754,9088344,9091419,9089966,9480205","393000.0,393000.0,393000.0,393000.0,375000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
10359813,m,w,"8460585,8325094,8454531,8484448,8470247","337500.0,342500.0,337500.0,337500.0,337500.0","RFA-MH-11-040,RFA-MH-11-040,RFA-MH-11-040,RFA-MH-11-040,RFA-MH-11-040"
9753241,m,w,"8466738,8895458,8240158,8240208,8213829","1620000.0,1596000.0,1680000.0,1680000.0,1680000.0","RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006"
8659443,m,w,"10335886,10560535,10570880,10570870,10570864","1872500.0,1802500.0,1802500.0,1802500.0,1802500.0","RFA-ES-18-002,RFA-ES-18-002,RFA-ES-18-002,RFA-ES-18-002,RFA-ES-18-002"
9706081,f,a,"10479185,10295439,10687204,10687208,10687210","1230500.0,1334000.0,1184500.0,1184500.0,1184500.0","RFA-NS-21-003,RFA-NS-21-003,RFA-NS-21-003,RFA-NS-21-003,RFA-NS-21-003"
8698446,m,w,"7626014,7630571,7617099,7576119,7642391","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-HL-06-012,RFA-HL-06-012,RFA-HL-06-012,RFA-HL-06-012,RFA-HL-06-012"
9571058,m,h,"9245567,9487704,8890209,8890202,8890211","312500.0,312500.0,332500.0,332500.0,332500.0","RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006"
9527838,m,w,"8526322,8105517,8126220,8126253,8142753","337500.0,350000.0,350000.0,350000.0,350000.0","RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017"
9994751,m,w,"7658832,7658743,7921151,7880319,7681689","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"8809724,9004613,9221293,9206146,8810480","399000.0,393000.0,375000.0,250000.0,266000.0","RFA-CA-14-006,RFA-CA-14-006,RFA-CA-14-006,RFA-CA-14-005,RFA-CA-14-005"
9355575,m,w,"10401899,10597079,10223596,9567510,9194192","267500.0,257500.0,290000.0,250000.0,262000.0","RFA-CA-20-031,RFA-CA-20-031,RFA-CA-20-031,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"7807984,7902308,8055431,8055432,8055433","1800000.0,1825000.0,1800000.0,1800000.0,1800000.0","RFA-DK-06-012,RFA-DK-06-012,RFA-DK-06-012,RFA-DK-06-012,RFA-DK-06-012"
8132845,m,w,"9564971,9564973,9959467,9993927,9419500","375000.0,375000.0,369000.0,369000.0,375000.0","RFA-MH-17-260,RFA-MH-17-260,RFA-MH-17-260,RFA-MH-17-260,RFA-MH-17-260"
9561922,m,w,"7684828,7675389,7675391,7686755,7685279","511000.0,511000.0,511000.0,511000.0,511000.0","RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014"
8710052,m,w,"8540380,8707995,8710078,8722465,8711363","4320000.0,4256000.0,4256000.0,4256000.0,4256000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"9783372,9783397,8913590,8433150,8433134","276750.0,276750.0,997500.0,675000.0,675000.0","RFA-ES-18-008,RFA-ES-18-008,RFA-ES-14-005,RFA-ES-12-004,RFA-ES-12-004"
9552433,m,b,"8576656,8911854,8576226,9119536,9552433","1350000.0,1330000.0,1350000.0,1310000.0,1250000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"7912360,7899346,8788005,8015126,7988444","1131500.0,1131500.0,997500.0,1050000.0,1050000.0","RFA-RR-05-003,RFA-RR-05-003,RFA-DK-09-005,RFA-DK-09-005,RFA-DK-09-005"
7691839,f,w,"8535523,8291435,8539617,8473170,8305527","337500.0,342500.0,337500.0,337500.0,342500.0","RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017,RFA-RM-08-017"
7914250,m,w,"8380343,8523178,8523175,8380345,8523181","1507000.0000000002,1485000.0,1485000.0,1507000.0000000002,1485000.0","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"9000607,8423713,8731165,8606717,8424255","6681000.0,6885000.0,6783000.0,6783000.0,6885000.0","RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006"
10207339,m,a,"8668834,8539737,8716619,8853216,8424847","665000.0,675000.0,665000.0,665000.0,685000.0","RFA-AA-12-008,RFA-AA-12-008,RFA-AA-12-008,RFA-AA-12-008,RFA-AA-12-008"
10302868,f,w,"10727597,10726195,10727993,10727976,10727942","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031"
8070452,m,w,"8320328,8292223,8508841,8486379,8105084","1644000.0000000002,1644000.0000000002,1620000.0,1620000.0,1680000.0","RFA-AI-09-030,RFA-AI-09-030,RFA-AI-09-030,RFA-AI-09-030,RFA-AI-09-030"
9551105,m,w,"9015041,9134900,9017205,9017206,9017204","1330000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002"
10223141,f,w,"8874104,8885651,8882257,8766909,8768636","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038"
10573185,m,w,"8334555,8230320,8231801,8232645,8477043","205500.00000000003,210000.0,210000.0,210000.0,202500.0","RFA-ES-10-009,RFA-ES-10-009,RFA-ES-10-009,RFA-ES-10-009,RFA-ES-10-009"
9257399,f,w,"9756578,9774047,8799363,9455720,9980397","468750.0,461250.0,498750.0,468750.0,461250.0","RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013"
8518235,f,w,"10057934,9533367,9514897,9323180,9323616","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
8318381,m,w,"8843054,8660719,8831722,8588708,8318508","332500.0,332500.0,332500.0,342500.0,342500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"10217977,10457412,10647740,10237358,10438743","812000.0,749000.0,721000.0,749000.0,749000.0","RFA-RM-18-007,RFA-RM-18-007,RFA-RM-18-007,RFA-RM-18-007,RFA-RM-18-007"
8120588,m,w,"9142348,9540069,8990661,9313440,9757832","23547250.0,22468750.0,23906750.0,23547250.0,22109250.0","RFA-HD-15-029,RFA-HD-15-029,RFA-HD-15-029,RFA-HD-15-029,RFA-HD-15-029"
9548127,m,w,"9228903,9229200,9548115,9544730,9229241","1048000.0,1048000.0,1000000.0,1000000.0,1048000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"8079596,8716795,8307365,8294926,8497699","350000.0,332500.0,342500.0,342500.0,337500.0","RFA-HL-10-014,RFA-HL-10-014,RFA-HL-10-014,RFA-HL-10-014,RFA-HL-10-014"
7691735,f,w,"8501615,8508998,8534229,8389405,8387986","371250.0,371250.0,371250.0,376750.00000000006,376750.00000000006","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"8540178,8723687,8310568,8933600,8933610","6750000.0,6650000.0,7000000.0,6650000.0,6650000.0","RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006"
