APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_r_w,APPVAL_RECS_bert-s_r_w,FOA_RECS_bert-s_r_w
8962105,m,b,"10571931,10610729,10424547,9893161,9894231","8240000.0,8240000.0,8560000.0,9840000.0,9840000.0","RFA-HL-20-012,RFA-HL-20-012,RFA-HL-20-012,RFA-HL-20-012,RFA-HL-20-012"
7885660,m,w,"8925858,9123843,8536037,8531341,8541847","665000.0,665000.0,685000.0,675000.0,675000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9772561,9262595,9355739,9355731,9355707","1230000.0,1310000.0,1250000.0,1250000.0,1250000.0","RFA-OD-16-004,RFA-OD-16-004,RFA-OD-16-004,RFA-OD-16-004,RFA-OD-16-004"
9421907,f,w,"9264682,9264670,9264681,9264661,9421907","458500.0,458500.0,458500.0,458500.0,437500.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-17-002"
10017961,m,w,"9627114,10242772,9775448,9939013,9637673","625000.0,580000.0,615000.0,615000.0,625000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10536567,10537743,8754186,8912367,9519544","1070000.0,1070000.0,465500.0,465500.0,437500.0","RFA-NS-22-002,RFA-NS-22-002,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"8926581,8333979,8338899,8538760,8541795","1330000.0,1370000.0,1370000.0,1350000.0,1350000.0","RFA-CA-11-002,RFA-CA-11-002,RFA-CA-11-002,RFA-CA-11-002,RFA-CA-11-002"
8810682,m,w,"9215531,8447625,8865692,8895806,8448373","375000.0,411000.00000000006,399000.0,399000.0,411000.00000000006","RFA-NR-12-004,RFA-NR-12-004,RFA-NR-12-004,RFA-NR-12-004,RFA-NR-12-004"
10686340,m,w,"9989540,10730723,10862054,10861608,10731033","369000.0,257500.0,257500.0,257500.0,257500.0","RFA-FD-19-029,RFA-FD-23-001,RFA-FD-23-001,RFA-FD-23-001,RFA-FD-23-001"
7551990,f,h,"7555392,8197875,7847078,7551990,7551992","80300.0,75350.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
