APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_wi,APPVAL_RECS_bert-x_o_wi,FOA_RECS_bert-x_o_wi
8962105,m,b,"7713293,7837629,7713174,7708092,7708480","73000.0,72000.0,73000.0,73000.0,73000.0","RFA-HL-08-008,RFA-HL-08-008,RFA-HL-08-008,RFA-HL-08-008,RFA-HL-08-008"
7885660,m,w,"7741894,7742856,8118195,8129470,8119635","365000.0,365000.0,350000.0,350000.0,350000.0","RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023"
8722014,f,w,"7551992,7847079,8197900,8197869,8204945","80300.0,80300.0,75350.0,75350.0,75350.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9421907,f,w,"10191895,10380776,10380875,10394326,10433951","348000.0,321000.0,321000.0,321000.0,321000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"8436004,8436052,8686992,10406325,9787504","6850000.000000001,6850000.000000001,6750000.0,535000.0,615000.0","RFA-DK-11-019,RFA-DK-11-019,RFA-DK-11-019,RFA-DK-17-031,RFA-DK-17-031"
9682510,f,w,"9687750,9188332,9475564,9475566,9475565","307500.0,327500.0,312500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7638021,8264290,7940064,7784269,8085944","146000.0,146000.0,146000.0,1460000.0,1400000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-08-021,RFA-CA-08-021"
8810682,m,w,"8462868,8609010,8795208,8796196,8851491","405000.0,399000.0,399000.0,399000.0,399000.0","RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006"
10686340,m,w,"9127284,8890307,8907054,8929489,8920714","1637500.0,1662500.0,1662500.0,1662500.0,1662500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8913586,9044774,8913347,9459899,9457435","124147.52,122280.64,124147.52,116680.0,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"9977806,9753093,9753823,9753822,9753821","1353000.0,1353000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8060626,m,w,"10694224,10382309,10392976,10392977,10392978","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"8377032,8077441,8079659,8080897,8103130","1301500.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003"
10424380,m,a,"9393694,9393691,9608707,9608708,9608709","1437500.0,1437500.0,1414500.0,1414500.0,1414500.0","RFA-AA-17-001,RFA-AA-17-001,RFA-AA-17-001,RFA-AA-17-001,RFA-AA-17-001"
10676778,m,w,"10215388,10183172,10612117,10612116,10602566","580000.0,580000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8442921,8442389,8251931,8251935,8448209","270000.0,270000.0,274000.0,274000.0,270000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"9491864,8792750,9535440,9529679,9330894","625000.0,665000.0,625000.0,625000.0,625000.0","RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013,RFA-HG-13-013"
9960850,m,w,"10394326,10208164,10207226,10202909,10201986","321000.0,348000.0,348000.0,348000.0,348000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
8119772,m,w,"7898652,7708096,7680230,7920822,7680243","2592000.0,2628000.0,438000.0,432000.0,438000.0","RFA-AT-08-004,RFA-AT-08-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004"
9998967,m,w,"9823754,9986687,9935964,9936155,9939445","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025,RFA-AI-18-025"
9935976,f,w,"8551682,8607976,9010966,8431983,9211357","664998.67,664998.67,654998.6900000001,674998.65,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"9323471,9924553,9350372,9339715,9321169","312500.0,307500.0,312500.0,312500.0,312500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
10518914,m,w,"10745011,10745010,10745014,10692836,10505612","741600.0,741600.0,741600.0,741600.0,770400.0","RFA-CA-22-055,RFA-CA-22-055,RFA-CA-22-055,RFA-CA-21-038,RFA-CA-21-038"
10770832,f,w,"10372955,9684606,10436179,9852303,9888974","374500.0,430500.0,374500.0,430500.0,430500.0","RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"9186925,9784806,9782896,9782897,9782898","327500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10588560,7851506,8324839,7851430,7851429","257500.0,1204500.0,1155000.0,1204500.0,1204500.0","RFA-ES-22-001,RFA-ES-06-012,RFA-ES-06-012,RFA-ES-06-012,RFA-ES-06-012"
8339880,m,w,"8724343,8565628,8565991,8566312,8725571","266000.0,270000.0,270000.0,270000.0,266000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
9592088,m,a,"10163171,9539647,9963241,9963245,9963247","869999.9999999999,937500.0,922500.0,922500.0,922500.0","RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031,RFA-DK-16-031"
10008967,m,w,"10712153,10712152,10712151,10712150,10712149","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001"
10134972,f,w,"9487321,9319995,9657079,9471784,9565687","250000.0,250000.0,922500.0,937500.0,937500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10306990,10534779,10532212,10533758,10533765","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"9831543,10205060,10655524,9966987,10450885","61500.0,57999.99999999999,51500.0,61500.0,53500.0","RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026"
7959773,f,w,"8167779,7861279,7959532,7959531,7959530","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
