APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_p_wi,APPVAL_RECS_bert-xx_p_wi,FOA_RECS_bert-xx_p_wi
8962105,m,b,"9767857,10208941,9936066,9962481,9576667","430500.0,406000.0,430500.0,430500.0,437500.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"8925858,8336923,8732625,8721480,8793915","665000.0,685000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8079186,7759365,8374608,8319440,8139122","1440000.0,1460000.0,1370000.0,1370000.0,1370000.0","RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013,RFA-HL-08-013"
9421907,f,w,"9565384,9695908,9928385,9421907,10652347","437500.0,430500.0,430500.0,437500.0,824000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-020"
10017961,m,w,"10643941,10653995,10434857,10435518,10453756","515000.0,515000.0,535000.0,535000.0,535000.0","RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014,RFA-DK-19-014"
9682510,f,w,"10709636,10592780,8703019,8703020,8381100","772500.0,802500.0,1662500.0,1662500.0,1712500.0000000002","RFA-TR-22-012,RFA-TR-22-012,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002"
8932663,m,w,"10544320,10130683,10322155,10360627,10441141","513970.0,578840.0,533930.0,533930.0,533930.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9658412,9361621,9900737,9900738,9658416","615000.0,625000.0,615000.0,615000.0,615000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"9894579,10168185,10016836,10018101,10018872","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-OD-19-015,RFA-OD-19-015,RFA-OD-19-015,RFA-OD-19-015,RFA-OD-19-015"
7551990,f,h,"9962092,10578704,10210397,10171851,10598566","922500.0,772500.0,869999.9999999999,869999.9999999999,772500.0","RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
