APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_w,APPVAL_RECS_bert-xx_r_w,FOA_RECS_bert-xx_r_w
8962105,m,b,"9103741,8961416,9172674,9174325,9121688","98250.0,99750.0,98250.0,98250.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"9514218,9729825,9354508,9357655,9354506","625000.0,615000.0,625000.0,625000.0,625000.0","RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036"
8722014,f,w,"10835247,10835461,10835463,10835464,10835681","875500.0,875500.0,875500.0,875500.0,875500.0","RFA-ES-23-007,RFA-ES-23-007,RFA-ES-23-007,RFA-ES-23-007,RFA-ES-23-007"
9421907,f,w,"9695908,9928385,9421907,9565384,7645025","430500.0,430500.0,437500.0,437500.0,438000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-06-003"
10017961,m,w,"8866869,8545836,8336912,8334506,8530645","665000.0,675000.0,685000.0,685000.0,685000.0","RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013,RFA-DK-10-013"
9682510,f,w,"8877411,8877412,8496735,8877408,8877413","1662500.0,1662500.0,1687500.0,1662500.0,1662500.0","RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002"
8932663,m,w,"10232132,9767930,9446577,9444900,9446623","869999.9999999999,937500.0,937500.0,937500.0,937500.0","RFA-CA-17-009,RFA-CA-17-009,RFA-CA-17-009,RFA-CA-17-009,RFA-CA-17-009"
8810682,m,w,"9252101,9361623,9252099,9096396,9658414","625000.0,625000.0,625000.0,655000.0,615000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"10213385,10214185,10380040,10453615,10626911","580000.0,580000.0,535000.0,535000.0,515000.0","RFA-AT-21-001,RFA-AT-21-001,RFA-AT-21-001,RFA-AT-21-001,RFA-AT-21-001"
7551990,f,h,"10641509,10171852,9955598,10210397,10355532","772500.0,869999.9999999999,922500.0,869999.9999999999,802500.0","RFA-ES-22-002,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
