APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_wi,APPVAL_RECS_bert-xx_r_wi,FOA_RECS_bert-xx_r_wi
8962105,m,b,"9962486,10321397,10107125,10106662,10106342","434892.33,410142.36,410142.36,410142.36,410142.36","RFA-HL-18-023,RFA-HL-18-023,RFA-HL-18-023,RFA-HL-18-023,RFA-HL-18-023"
7885660,m,w,"8531341,9123843,8541847,8732625,8721480","675000.0,665000.0,675000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9242790,9280944,9281749,9318340,9281744","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010"
9421907,f,w,"9421907,9928385,9565384,9695908,10430544","437500.0,430500.0,437500.0,430500.0,321000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-22-002"
10017961,m,w,"9774044,9939013,9978061,10469691,9989832","615000.0,615000.0,615000.0,535000.0,615000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10592780,10709636,8754186,9101967,9293252","802500.0,772500.0,465500.0,458500.0,437500.0","RFA-TR-22-012,RFA-TR-22-012,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"8122622,8294476,8128554,7692693,7692671","1080000.0,1027500.0,1050000.0,1095000.0,1080000.0","RFA-CA-08-012,RFA-CA-08-012,RFA-CA-08-012,RFA-CA-08-012,RFA-CA-08-011"
8810682,m,w,"10241239,9965878,9544151,9743795,9411341","429200.0,455100.0,462500.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"7658184,7657333,7849039,7862568,7897916","365000.0,365000.0,360000.0,360000.0,360000.0","RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004"
7551990,f,h,"10582554,10171852,9948263,10381734,10355532","772500.0,869999.9999999999,922500.0,802500.0,802500.0","RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
9781466,m,w,"8051776,7817070,8051715,8051716,8051717","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001"
8060626,m,w,"9961761,10633119,10633110,10618220,10618215","1230000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"8876120,8875343,8876086,7628360,7911472","266000.0,266000.0,266000.0,584000.0,584000.0","RFA-MD-14-003,RFA-MD-14-003,RFA-MD-14-003,RFA-MD-07-003,RFA-MD-07-003"
10424380,m,a,"10646281,10646271,10055952,10055950,10055949","1184500.0,1184500.0,1334000.0,1334000.0,1334000.0","RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001"
10676778,m,w,"10193445,10310529,10193969,10192247,10191573","580000.0,535000.0,580000.0,580000.0,580000.0","RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003,RFA-HS-20-003"
7637363,m,w,"9903408,9078445,9234570,9244044,9229560","246000.0,262000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"10533648,9397506,9623311,9607558,9607557","347750.0,406250.0,399750.0,399750.0,399750.0","RFA-RM-15-013,RFA-RM-15-013,RFA-RM-15-013,RFA-RM-15-013,RFA-RM-15-013"
9960850,m,w,"10125837,10574601,10383653,10468080,9838705","3712000.0,3296000.0,3424000.0,3424000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7919077,7846463,8114182,7739524,8688286","292000.0,292000.0,350000.0,365000.0,332500.0","RFA-AI-06-021,RFA-AI-06-021,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"7886632,7934089,7915850,7936481,7918558","432000.0,432000.0,438000.0,438000.0,438000.0","RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019"
9935976,f,w,"9211357,8431983,9010966,8607976,8551682","624998.75,674998.65,654998.6900000001,664998.67,664998.67","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"7666812,7672502,7678038,7673749,7900269","584000.0,584000.0,584000.0,584000.0,584000.0","RFA-ES-05-005,RFA-ES-05-005,RFA-ES-05-005,RFA-ES-05-005,RFA-ES-05-005"
10518914,m,w,"8685205,8495704,9063479,9060905,8675808","997500.0,1012500.0,982500.0,982500.0,997500.0","RFA-CA-12-006,RFA-CA-12-006,RFA-CA-12-006,RFA-CA-12-006,RFA-CA-12-006"
10770832,f,w,"8876643,8722121,9888974,9684606,9660552","266000.0,266000.0,430500.0,430500.0,430500.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"9783800,9564876,9547391,9868107,9547412","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9753672,9753662,9753619,9752938,9929586","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-ES-18-006,RFA-ES-18-006,RFA-ES-18-006,RFA-ES-18-006,RFA-ES-18-006"
8339880,m,w,"9069722,9555037,8768977,8769774,8769634","262000.0,250000.0,266000.0,266000.0,266000.0","RFA-AG-14-013,RFA-AG-14-013,RFA-AG-14-013,RFA-AG-14-013,RFA-AG-14-013"
9592088,m,a,"10451808,10670199,10296363,10730758,10731254","535000.0,515000.0,580000.0,875500.0,952750.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-22-505,RFA-DK-22-504"
10008967,m,w,"10288585,10684021,10288582,10459581,10459584","1160000.0,1030000.0,1160000.0,1070000.0,1070000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
10134972,f,w,"7692271,7555583,7862326,8442735,8442525","1460000.0,1460000.0,1440000.0,5400000.0,5400000.0","RFA-MH-08-111,RFA-MH-08-110,RFA-MH-08-110,RFA-MH-13-010,RFA-MH-13-010"
8988958,f,b,"8702176,9070567,9070574,9070679,9069859","1596000.0,1572000.0,1572000.0,1572000.0,1572000.0","RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001,RFA-ES-12-001"
8535751,m,w,"9769005,9535290,9987622,10015256,9189072","61500.0,62500.0,61500.0,61500.0,65500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"7798339,7798326,7797933,10064481,10434857","4171428.78,4171428.78,4171428.78,615000.0,535000.0","RFA-DK-08-006,RFA-DK-08-006,RFA-DK-08-006,RFA-DK-19-014,RFA-DK-19-014"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","749000.0,861000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"9822752,9598167,9821966,9821365,10056153","369000.0,375000.0,369000.0,369000.0,369000.0","RFA-DA-18-004,RFA-DA-18-004,RFA-DA-18-004,RFA-DA-18-004,RFA-DA-18-004"
9987453,f,w,"8962105,9172674,9103741,9121688,8961416","99750.0,98250.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"9038249,8705846,8843779,9263887,9011505","196500.0,199500.0,199500.0,187500.0,196500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-14-006"
10541697,m,h,"7931241,7643794,7682983,9116945,8797263","292000.0,292000.0,292000.0,327500.0,332500.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-MH-14-214,RFA-MH-14-214"
8856535,m,w,"7737691,8317625,7914339,7927151,7929510","219000.0,205500.00000000003,216000.0,216000.0,216000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
7886873,m,w,"7931490,7931618,7931155,7931147,8707400","486180.0,486180.0,486180.0,486180.0,887110.0","RFA-DP-05-071,RFA-DP-05-071,RFA-DP-05-071,RFA-DP-05-071,RFA-CA-09-026"
10488630,f,a,"10666025,10666871,10667123,10665204,9738384","515000.0,515000.0,515000.0,206000.0,123000.0","RFA-AG-23-010,RFA-AG-23-010,RFA-AG-23-010,RFA-AG-23-011,RFA-AG-19-003"
9137625,f,w,"9748859,9748854,9748857,9748858,9546415","184500.0,184500.0,184500.0,184500.0,187500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"9193112,9309081,9144438,9036603,10375078","524000.0,500000.0,65500.0,66500.0,145000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-LM-15-002,RFA-LM-15-002,RFA-FD-21-027"
9485284,m,w,"8149989,8149991,8020738,8021062,8928619","210000.0,210000.0,216000.0,216000.0,266000.0","RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-14-001"
8070326,m,w,"8923142,8490299,8487364,8499254,8487363","399000.0,405000.0,405000.0,405000.0,405000.0","RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032"
8068031,f,w,"9570695,9932817,9571050,9570706,9572427","1187500.0,1168500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"8729423,8459125,8458449,8460204,8459895","399000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"7934079,8379404,8546165,8546175,8137231","401500.0,376750.00000000006,376750.00000000006,376750.00000000006,396000.0","RFA-CA-08-001,RFA-CA-08-001,RFA-CA-08-001,RFA-CA-08-001,RFA-CA-08-001"
9150566,m,w,"10457286,9730528,9377378,10455670,10445249","802500.0,922500.0,937500.0,802500.0,802500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
10478136,m,w,"8929214,9325596,9348664,9353473,9324754","1662500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
10343347,m,w,"10347760,10348223,10557171,10569619,10586094","802500.0,802500.0,772500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"10458120,10038236,10038022,10038021,10038020","802500.0,922500.0,922500.0,922500.0,922500.0","RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023"
10744343,f,a,"8754205,8828665,8626066,8607174,8432582","1330000.0,1330000.0,1330000.0,1330000.0,1350000.0","RFA-DC-12-004,RFA-DC-12-004,RFA-DC-12-004,RFA-DC-12-004,RFA-DC-12-004"
10116708,f,w,"10147148,10406336,10147151,10147149,10147144","6913599.999999999,6377200.0,6913599.999999999,6913599.999999999,6913599.999999999","RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014"
9080334,m,w,"8053805,8379535,8468650,8508075,8452191","576000.0,548000.0,540000.0,540000.0,540000.0","RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003,RFA-AR-08-003"
7959811,f,h,"10245901,10236832,10245406,10245416,10245780","348000.0,348000.0,348000.0,348000.0,348000.0","RFA-RM-20-012,RFA-RM-20-012,RFA-RM-20-012,RFA-RM-20-012,RFA-RM-20-012"
9114017,m,h,"10131122,9940679,10149232,10169232,9287826","580000.0,615000.0,580000.0,580000.0,625000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"8268769,8857268,8365249,8365239,8365240","685000.0,2660000.0,2800000.0,2800000.0,2800000.0","RFA-RR-11-004,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001"
8468754,f,w,"8825531,8604915,9022512,9245732,9591911","3192000.0,3192000.0,3144000.0,3000000.0,437500.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-18-018"
7737637,m,w,"7929510,7737691,7927151,7936261,7914339","216000.0,219000.0,216000.0,216000.0,216000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
8664703,m,w,"8365074,8364985,8365075,8092542,8365013","3266666.2,3266666.2,3266666.2,3266666.2,3266666.2","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"7796669,7640704,7582243,8136500,8044806","360000.0,365000.0,365000.0,350000.0,350000.0","RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"7687367,7684744,8114154,7884268,7882658","365000.0,365000.0,350000.0,360000.0,360000.0","RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004"
10495240,m,w,"8330544,8644947,8456143,9623982,9935976","308250.0,299250.0,303750.0,281250.0,276750.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-18-605,RFA-MH-18-605"
9787108,m,w,"9360837,10153611,9904310,9528438,9926786","312500.0,290000.0,307500.0,312500.0,307500.0","RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009"
8036022,m,w,"9233913,9257271,9223649,9223655,9268701","1875000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
10359813,m,w,"7662434,7666099,7678381,10026287,9861790","584000.0,584000.0,584000.0,369000.0,369000.0","RFA-DA-05-006,RFA-DA-05-006,RFA-DA-05-006,RFA-MH-19-400,RFA-MH-19-400"
9753241,m,w,"8727823,8895458,8240208,8213829,8239654","1620000.0,1596000.0,1680000.0,1680000.0,1680000.0","RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006"
8659443,m,w,"10353153,10352510,10352968,10352967,10352966","1872500.0,1872500.0,1872500.0,1872500.0,1872500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9706081,f,a,"10057082,10266150,10266154,10489299,10489295","615000.0,11020000.0,11020000.0,9785000.0,9785000.0","RFA-NS-20-005,RFA-NS-20-013,RFA-NS-20-013,RFA-NS-20-013,RFA-NS-20-013"
