APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxx_o_w,APPVAL_RECS_bert-xxx_o_w,FOA_RECS_bert-xxx_o_w
8962105,m,b,"7847386,8064733,8448215,8242797,8244481","720000.0,700000.0,675000.0,685000.0,685000.0","RFA-HL-10-002,RFA-HL-10-002,RFA-HL-10-002,RFA-HL-10-002,RFA-HL-10-002"
7885660,m,w,"10667635,10062648,10488593,10494057,10494074","324450.0,387450.0,337050.0,337050.0,337050.0","RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
8722014,f,w,"8768204,8768514,8769006,8767346,9312392","1330000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002"
9421907,f,w,"9565384,9695908,9421907,9928385,10207946","437500.0,430500.0,437500.0,430500.0,348000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-21-002"
10017961,m,w,"9148193,9146936,8994668,8995457,8995465","1310000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010,RFA-DK-14-010"
9682510,f,w,"8609905,9114442,9533909,9114438,9111683","675000.0,393000.0,375000.0,393000.0,393000.0","RFA-HS-13-001,RFA-NR-14-001,RFA-NR-14-001,RFA-NR-14-001,RFA-NR-14-001"
8932663,m,w,"7664619,7884497,8100298,8467802,8690240","2555000.0,2520000.0,2450000.0,2397500.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9186484,9191342,9616809,9004780,9004778","375000.0,375000.0,369000.0,393000.0,393000.0","RFA-AI-14-062,RFA-AI-14-062,RFA-AI-14-062,RFA-AI-14-062,RFA-AI-14-062"
10686340,m,w,"8936529,9308035,9338321,9343075,9342658","1662500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"10203965,10445226,9962151,10172904,9385374","290000.0,267500.0,290000.0,290000.0,312500.0","RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004"
9781466,m,w,"8458383,8460020,8460021,8013407,8013406","1027500.0,1012500.0,1012500.0,1080000.0,1080000.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
8060626,m,w,"8639535,8133612,8458584,8473855,8473860","1662500.0,1800000.0,1687500.0,1687500.0,1687500.0","RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008"
